,year,words
0,1919,['authoritarian']
1,1922,['authoritarian']
2,1928,['authoritarian']
3,1908,"['bureaucracy', 'authoritarian']"
4,1916,['authoritarian']
5,1913,['authoritarian']
6,1906,['authoritarian']
7,1924,['authoritarian']
8,1900,"['bureaucracy', 'authoritarian']"
9,1934,['authoritarian']
10,1903,"['bureaucracy', 'authoritarian']"
11,1921,['authoritarian']
12,1917,"['authoritarian', 'communism']"
13,1923,['authoritarian']
14,1905,['authoritarian']
15,1914,['authoritarian']
16,1912,"['bureaucracy', 'authoritarian']"
17,1935,['authoritarian']
18,1929,['authoritarian']
19,1911,"['bureaucracy', 'authoritarian']"
20,1933,['authoritarian']
21,1904,"['bureaucracy', 'authoritarian']"
22,1907,['authoritarian']
23,1926,['authoritarian']
24,1920,['authoritarian']
25,1932,['authoritarian']
26,1902,"['bureaucracy', 'authoritarian']"
27,1931,['authoritarian']
28,1918,"['authoritarian', 'communism']"
29,1925,['authoritarian']
30,1910,['authoritarian']
31,1915,"['authoritarian', 'communism']"
32,1901,"['bureaucracy', 'authoritarian']"
33,1930,['authoritarian']
34,1927,['authoritarian']
35,1936,['authoritarian']
36,1909,['authoritarian']
