,year,cosine_similarity
0,1985,[[0.65833827]]
1,1943,[[0.65804186]]
2,1993,[[0.70899738]]
3,1995,[[0.68781774]]
4,1958,[[0.69408181]]
5,1983,[[0.71811912]]
6,1919,[[0.65932355]]
7,1975,[[0.73243174]]
8,1960,[[0.66365586]]
9,1922,[[0.64866806]]
10,1928,[[0.66018146]]
11,2006,[[0.69807424]]
12,1972,[[0.73345939]]
13,1908,[[0.64091744]]
14,1916,[[0.63713894]]
15,1913,[[0.58238061]]
16,1987,[[0.68673322]]
17,1971,[[0.7095204]]
18,1906,[[0.59772522]]
19,1924,[[0.64231861]]
20,1955,[[0.71044662]]
21,1954,[[0.65869169]]
22,1956,[[0.67638693]]
23,1900,[[0.65701766]]
24,1948,[[0.66013535]]
25,2004,[[0.67036925]]
26,1978,[[0.69055463]]
27,1999,[[0.73503405]]
28,1998,[[0.70245127]]
29,1934,[[0.6991559]]
30,1997,[[0.68565512]]
31,2001,[[0.70279826]]
32,1991,[[0.74070696]]
33,1903,[[0.66119294]]
34,1962,[[0.72566967]]
35,1970,[[0.70698699]]
36,1921,[[0.64127741]]
37,1917,[[0.65079356]]
38,1923,[[0.6472114]]
39,1949,[[0.66643522]]
40,1905,[[0.61415617]]
41,1914,[[0.61952681]]
42,2009,[[0.68556843]]
43,1912,[[0.65614333]]
44,1994,[[0.7103936]]
45,1935,[[0.65287863]]
46,1984,[[0.69077537]]
47,1952,[[0.72520363]]
48,1989,[[0.71180812]]
49,1929,[[0.65730143]]
50,2005,[[0.72919244]]
51,1996,[[0.72855179]]
52,1911,[[0.6491429]]
53,1933,[[0.67802757]]
54,1982,[[0.6743154]]
55,1904,[[0.66403749]]
56,1964,[[0.68349574]]
57,1941,[[0.66255085]]
58,1979,[[0.69097879]]
59,1907,[[0.6494386]]
60,1992,[[0.69976678]]
61,1926,[[0.62859412]]
62,1976,[[0.69512012]]
63,1986,[[0.67017534]]
64,1957,[[0.72467443]]
65,1947,[[0.68643153]]
66,1920,[[0.64414847]]
67,1968,[[0.6651558]]
68,1946,[[0.68899202]]
69,1961,[[0.72633424]]
70,2002,[[0.72036068]]
71,1932,[[0.62822005]]
72,1980,[[0.68328577]]
73,1977,[[0.66835125]]
74,1902,[[0.59611452]]
75,1931,[[0.59386511]]
76,2007,[[0.67726351]]
77,1918,[[0.6442794]]
78,1990,[[0.69049972]]
79,1939,[[0.69247812]]
80,1925,[[0.631352]]
81,1910,[[0.58976281]]
82,1944,[[0.63788495]]
83,1940,[[0.69977329]]
84,1945,[[0.6907981]]
85,1969,[[0.69690769]]
86,1973,[[0.7116368]]
87,2003,[[0.74392742]]
88,1959,[[0.66506548]]
89,1966,[[0.67634485]]
90,1915,[[0.6399961]]
91,1942,[[0.69247818]]
92,1951,[[0.66866731]]
93,1901,[[0.63693083]]
94,1930,[[0.66510396]]
95,1967,[[0.66862153]]
96,1963,[[0.69006394]]
97,1981,[[0.69549014]]
98,1938,[[0.68553232]]
99,1974,[[0.7231647]]
100,2000,[[0.72076308]]
101,1950,[[0.66458051]]
102,1927,[[0.66488448]]
103,1937,[[0.71990615]]
104,1936,[[0.73253834]]
105,2008,[[0.72333711]]
106,1965,[[0.74676265]]
107,1909,[[0.66463556]]
108,1988,[[0.69642069]]
109,1953,[[0.64080839]]
