,year,words
0,1985,"['anarchism', 'libertarianism']"
1,1943,"['anarchism', 'libertarianism']"
2,1993,"['anarchism', 'libertarianism']"
3,1995,['libertarianism']
4,1958,"['anarchism', 'libertarianism']"
5,1983,['libertarianism']
6,1919,"['libertarianism', 'pluralism']"
7,1975,['libertarianism']
8,1960,"['anarchism', 'libertarianism']"
9,1922,"['anarchism', 'libertarianism', 'pluralism']"
10,1928,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
11,2006,['libertarianism']
12,1972,['libertarianism']
13,1908,"['anarchism', 'libertarianism', 'pluralism']"
14,1916,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
15,1913,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
16,1987,"['anarchism', 'libertarianism']"
17,1971,['libertarianism']
18,1906,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
19,1924,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
20,1955,"['anarchism', 'libertarianism', 'pluralism']"
21,1954,"['anarchism', 'libertarianism', 'pluralism']"
22,1956,"['anarchism', 'libertarianism']"
23,1900,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
24,1948,['libertarianism']
25,2004,"['anarchism', 'libertarianism']"
26,1978,['libertarianism']
27,1999,['libertarianism']
28,1998,"['anarchism', 'libertarianism']"
29,1934,"['anarchism', 'libertarianism', 'pluralism']"
30,1997,['libertarianism']
31,2001,"['anarchism', 'libertarianism']"
32,1991,"['anarchism', 'libertarianism']"
33,1903,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
34,1962,"['anarchism', 'libertarianism', 'pluralism']"
35,1970,['libertarianism']
36,1921,"['anarchism', 'libertarianism', 'pluralism']"
37,1917,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
38,1923,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
39,1949,"['anarchism', 'libertarianism']"
40,1905,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'pluralism']"
41,1914,"['libertarianism', 'federalism', 'pluralism']"
42,2009,"['anarchism', 'libertarianism']"
43,1912,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
44,1994,['libertarianism']
45,1935,"['anarchism', 'libertarianism']"
46,1984,"['anarchism', 'libertarianism']"
47,1952,"['anarchism', 'libertarianism', 'pluralism']"
48,1989,['libertarianism']
49,1929,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
50,2005,['libertarianism']
51,1996,['libertarianism']
52,1911,"['libertarianism', 'liberalism', 'federalism', 'pluralism']"
53,1933,"['libertarianism', 'pluralism']"
54,1982,['libertarianism']
55,1904,"['anarchism', 'libertarianism', 'pluralism']"
56,1964,['libertarianism']
57,1941,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
58,1979,['libertarianism']
59,1907,"['anarchism', 'libertarianism', 'federalism']"
60,1992,['libertarianism']
61,1926,"['libertarianism', 'pluralism']"
62,1976,['libertarianism']
63,1986,['libertarianism']
64,1957,"['anarchism', 'libertarianism']"
65,1947,"['anarchism', 'libertarianism', 'pluralism']"
66,1920,"['anarchism', 'libertarianism', 'pluralism']"
67,1968,"['anarchism', 'libertarianism']"
68,1946,"['anarchism', 'libertarianism', 'pluralism']"
69,1961,"['anarchism', 'libertarianism']"
70,2002,['libertarianism']
71,1932,"['anarchism', 'libertarianism', 'pluralism']"
72,1980,['libertarianism']
73,1977,['libertarianism']
74,1902,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
75,1931,"['libertarianism', 'pluralism']"
76,2007,"['anarchism', 'libertarianism']"
77,1918,"['libertarianism', 'federalism', 'pluralism']"
78,1990,"['anarchism', 'libertarianism']"
79,1939,"['anarchism', 'libertarianism', 'pluralism']"
80,1925,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
81,1910,"['anarchism', 'libertarianism', 'pluralism']"
82,1944,"['anarchism', 'libertarianism', 'pluralism']"
83,1940,"['libertarianism', 'federalism', 'pluralism']"
84,1945,"['anarchism', 'libertarianism', 'pluralism']"
85,1969,['libertarianism']
86,1973,['libertarianism']
87,2003,"['anarchism', 'libertarianism']"
88,1959,"['anarchism', 'libertarianism', 'pluralism']"
89,1966,"['anarchism', 'libertarianism']"
90,1915,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
91,1942,"['anarchism', 'libertarianism', 'pluralism']"
92,1951,"['anarchism', 'libertarianism', 'pluralism']"
93,1901,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
94,1930,"['libertarianism', 'pluralism']"
95,1967,['libertarianism']
96,1963,['libertarianism']
97,1981,"['anarchism', 'libertarianism']"
98,1938,"['anarchism', 'libertarianism', 'pluralism']"
99,1974,"['anarchism', 'libertarianism']"
100,2000,"['anarchism', 'libertarianism']"
101,1950,"['anarchism', 'libertarianism', 'pluralism']"
102,1927,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
103,1937,"['anarchism', 'libertarianism', 'pluralism']"
104,1936,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
105,2008,"['anarchism', 'libertarianism']"
106,1965,"['anarchism', 'libertarianism']"
107,1909,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
108,1988,"['anarchism', 'libertarianism']"
109,1953,"['anarchism', 'libertarianism', 'pluralism']"
