,year,cosine_similarity
0,1985,[[0.58066059]]
1,1943,[[0.59446176]]
2,1993,[[0.62153199]]
3,1995,[[0.60886996]]
4,1958,[[0.60332388]]
5,1983,[[0.59911265]]
6,1919,[[0.59366045]]
7,1975,[[0.63506811]]
8,1960,[[0.60556113]]
9,1922,[[0.56759504]]
10,1928,[[0.59419222]]
11,2006,[[0.63672618]]
12,1972,[[0.59800563]]
13,1908,[[0.6176573]]
14,1916,[[0.59738736]]
15,1913,[[0.56696982]]
16,1987,[[0.63770886]]
17,1971,[[0.58754507]]
18,1906,[[0.57379696]]
19,1924,[[0.56404851]]
20,1955,[[0.59274667]]
21,1954,[[0.5569615]]
22,1956,[[0.59983848]]
23,1900,[[0.38300296]]
24,1948,[[0.61192756]]
25,2004,[[0.66499191]]
26,1978,[[0.60290964]]
27,1999,[[0.67980133]]
28,1998,[[0.62292568]]
29,1934,[[0.66995955]]
30,1997,[[0.60872416]]
31,2001,[[0.67318065]]
32,1991,[[0.64711151]]
33,1903,[[0.56793252]]
34,1962,[[0.63592464]]
35,1970,[[0.6248409]]
36,1921,[[0.60818785]]
37,1917,[[0.56934209]]
38,1923,[[0.61993114]]
39,1949,[[0.58988933]]
40,1905,[[0.51041191]]
41,1914,[[0.60186618]]
42,2009,[[0.63535402]]
43,1912,[[0.59772729]]
44,1994,[[0.61246931]]
45,1935,[[0.61230231]]
46,1984,[[0.62909177]]
47,1952,[[0.63031669]]
48,1989,[[0.58741632]]
49,1929,[[0.63157817]]
50,2005,[[0.66617296]]
51,1996,[[0.6505163]]
52,1911,[[0.57985964]]
53,1933,[[0.63903868]]
54,1982,[[0.65208105]]
55,1904,[[0.56507946]]
56,1964,[[0.56260224]]
57,1941,[[0.58677956]]
58,1979,[[0.64068305]]
59,1907,[[0.59585101]]
60,1992,[[0.61929298]]
61,1926,[[0.58521009]]
62,1976,[[0.64437142]]
63,1986,[[0.58927598]]
64,1957,[[0.57548196]]
65,1947,[[0.61434607]]
66,1920,[[0.63178028]]
67,1968,[[0.63066311]]
68,1946,[[0.59684445]]
69,1961,[[0.5900395]]
70,2002,[[0.64644683]]
71,1932,[[0.62248183]]
72,1980,[[0.59331991]]
73,1977,[[0.63524053]]
74,1902,[[0.57726773]]
75,1931,[[0.59256748]]
76,2007,[[0.64821152]]
77,1918,[[0.60634005]]
78,1990,[[0.61584416]]
79,1939,[[0.62990463]]
80,1925,[[0.63365472]]
81,1910,[[0.50928469]]
82,1944,[[0.60217038]]
83,1940,[[0.60530494]]
84,1945,[[0.59236075]]
85,1969,[[0.60057597]]
86,1973,[[0.64550305]]
87,2003,[[0.68013633]]
88,1959,[[0.61099055]]
89,1966,[[0.58642803]]
90,1915,[[0.6209942]]
91,1942,[[0.57281951]]
92,1951,[[0.63007601]]
93,1901,[[0.56071983]]
94,1930,[[0.59824006]]
95,1967,[[0.58433798]]
96,1963,[[0.57302714]]
97,1981,[[0.60778705]]
98,1938,[[0.60157404]]
99,1974,[[0.62978181]]
100,2000,[[0.64664013]]
101,1950,[[0.65492399]]
102,1927,[[0.65158279]]
103,1937,[[0.61425215]]
104,1936,[[0.63244075]]
105,2008,[[0.6555005]]
106,1965,[[0.62922547]]
107,1909,[[0.55006768]]
108,1988,[[0.62563861]]
109,1953,[[0.60605288]]
