,year,words
0,1985,['globalization']
1,1943,['globalization']
2,1958,['globalization']
3,1983,['globalization']
4,1919,"['industrialization', 'modernization', 'globalization']"
5,1975,['globalization']
6,1960,['globalization']
7,1922,"['industrialization', 'modernization', 'globalization']"
8,1928,['globalization']
9,1972,['globalization']
10,1908,"['industrialization', 'modernization', 'globalization']"
11,1916,"['industrialization', 'modernization', 'globalization']"
12,1913,"['industrialization', 'modernization', 'globalization']"
13,1987,['globalization']
14,1971,['globalization']
15,1906,"['industrialization', 'modernization', 'globalization']"
16,1924,"['industrialization', 'modernization', 'globalization']"
17,1955,['globalization']
18,1954,['globalization']
19,1956,['globalization']
20,1900,"['industrialization', 'modernization', 'globalization', 'capitalism']"
21,1948,['globalization']
22,1978,['globalization']
23,1934,['globalization']
24,1903,"['industrialization', 'modernization', 'globalization']"
25,1962,['globalization']
26,1970,['globalization']
27,1921,"['industrialization', 'modernization', 'globalization']"
28,1917,"['industrialization', 'modernization', 'globalization']"
29,1923,"['industrialization', 'modernization', 'globalization']"
30,1949,['globalization']
31,1905,"['industrialization', 'modernization', 'globalization']"
32,1914,"['industrialization', 'modernization', 'globalization']"
33,1912,"['industrialization', 'modernization', 'globalization']"
34,1935,['globalization']
35,1984,['globalization']
36,1952,['globalization']
37,1929,"['modernization', 'globalization']"
38,1911,"['industrialization', 'modernization', 'globalization']"
39,1933,['globalization']
40,1982,['globalization']
41,1904,"['industrialization', 'modernization', 'globalization']"
42,1964,['globalization']
43,1941,['globalization']
44,1979,['globalization']
45,1907,"['industrialization', 'modernization', 'globalization']"
46,1926,"['industrialization', 'modernization', 'globalization']"
47,1976,['globalization']
48,1986,['globalization']
49,1957,['globalization']
50,1947,['globalization']
51,1920,"['industrialization', 'modernization', 'globalization']"
52,1968,['globalization']
53,1946,['globalization']
54,1961,['globalization']
55,1932,['globalization']
56,1980,['globalization']
57,1977,['globalization']
58,1902,"['industrialization', 'modernization', 'globalization']"
59,1931,['globalization']
60,1918,"['industrialization', 'modernization', 'globalization']"
61,1939,['globalization']
62,1925,"['industrialization', 'modernization', 'globalization']"
63,1910,"['industrialization', 'modernization', 'globalization']"
64,1944,['globalization']
65,1940,['globalization']
66,1945,['globalization']
67,1969,['globalization']
68,1973,['globalization']
69,1959,['globalization']
70,1966,['globalization']
71,1915,"['industrialization', 'modernization', 'globalization']"
72,1942,['globalization']
73,1951,['globalization']
74,1901,"['industrialization', 'modernization', 'globalization']"
75,1930,['globalization']
76,1967,['globalization']
77,1963,['globalization']
78,1981,['globalization']
79,1938,['globalization']
80,1974,['globalization']
81,1950,['globalization']
82,1927,"['modernization', 'globalization']"
83,1937,['globalization']
84,1936,['globalization']
85,1965,['globalization']
86,1909,"['industrialization', 'modernization', 'globalization']"
87,1953,['globalization']
