,year,cosine_similarity
0,1985,[[0.52000934]]
1,1943,[[0.52618147]]
2,1993,[[0.52352526]]
3,1995,[[0.5646015]]
4,1958,[[0.51485507]]
5,1983,[[0.51765544]]
6,1919,[[0.55425705]]
7,1975,[[0.52192367]]
8,1960,[[0.50313372]]
9,1922,[[0.55900205]]
10,1928,[[0.57059298]]
11,2006,[[0.55050818]]
12,1972,[[0.53765601]]
13,1908,[[0.57342021]]
14,1916,[[0.56620886]]
15,1913,[[0.56405193]]
16,1987,[[0.54586989]]
17,1971,[[0.51068868]]
18,1906,[[0.52844154]]
19,1924,[[0.56512013]]
20,1955,[[0.54552118]]
21,1954,[[0.53214797]]
22,1956,[[0.59943784]]
23,1900,[[0.60130507]]
24,1948,[[0.51475067]]
25,2004,[[0.56128853]]
26,1978,[[0.51179694]]
27,1999,[[0.563338]]
28,1998,[[0.54882616]]
29,1934,[[0.56562326]]
30,1997,[[0.54388003]]
31,2001,[[0.58523947]]
32,1991,[[0.56855178]]
33,1903,[[0.59654433]]
34,1962,[[0.52226295]]
35,1970,[[0.52071193]]
36,1921,[[0.54279471]]
37,1917,[[0.58683466]]
38,1923,[[0.55515628]]
39,1949,[[0.52023086]]
40,1905,[[0.58359646]]
41,1914,[[0.56944212]]
42,2009,[[0.56390953]]
43,1912,[[0.54832601]]
44,1994,[[0.56000022]]
45,1935,[[0.53994849]]
46,1984,[[0.54211406]]
47,1952,[[0.59476559]]
48,1989,[[0.50805988]]
49,1929,[[0.54196783]]
50,2005,[[0.58222819]]
51,1996,[[0.55917252]]
52,1911,[[0.58122254]]
53,1933,[[0.59060077]]
54,1982,[[0.52296356]]
55,1904,[[0.56787008]]
56,1964,[[0.51188051]]
57,1941,[[0.48244361]]
58,1979,[[0.54752825]]
59,1907,[[0.54785108]]
60,1992,[[0.53894849]]
61,1926,[[0.56350789]]
62,1976,[[0.54473883]]
63,1986,[[0.50543212]]
64,1957,[[0.55059439]]
65,1947,[[0.5344049]]
66,1920,[[0.57414407]]
67,1968,[[0.50137557]]
68,1946,[[0.50358827]]
69,1961,[[0.5662935]]
70,2002,[[0.57132249]]
71,1932,[[0.57218881]]
72,1980,[[0.54858198]]
73,1977,[[0.5301944]]
74,1902,[[0.57410675]]
75,1931,[[0.55974134]]
76,2007,[[0.55674413]]
77,1918,[[0.56450129]]
78,1990,[[0.53465371]]
79,1939,[[0.55988245]]
80,1925,[[0.59407726]]
81,1910,[[0.54492582]]
82,1944,[[0.52287564]]
83,1940,[[0.53105907]]
84,1945,[[0.53916779]]
85,1969,[[0.54135261]]
86,1973,[[0.56043744]]
87,2003,[[0.56836834]]
88,1959,[[0.50573055]]
89,1966,[[0.54870035]]
90,1915,[[0.56188474]]
91,1942,[[0.52256014]]
92,1951,[[0.52837452]]
93,1901,[[0.53042707]]
94,1930,[[0.51724955]]
95,1967,[[0.53545454]]
96,1963,[[0.52938363]]
97,1981,[[0.5250612]]
98,1938,[[0.54787064]]
99,1974,[[0.53271628]]
100,2000,[[0.54427099]]
101,1950,[[0.57414212]]
102,1927,[[0.55955047]]
103,1937,[[0.57980187]]
104,1936,[[0.57905006]]
105,2008,[[0.58828761]]
106,1965,[[0.54102421]]
107,1909,[[0.56299217]]
108,1988,[[0.54584623]]
109,1953,[[0.52256348]]
