,year,words
0,1985,['bullish']
1,1943,['bullish']
2,1993,['bullish']
3,1995,['bullish']
4,1958,['bullish']
5,1983,['bullish']
6,1919,['bullish']
7,1975,['bullish']
8,1960,['bullish']
9,1922,['bullish']
10,1928,['bullish']
11,2006,['bullish']
12,1972,['bullish']
13,1908,['bullish']
14,1916,['bullish']
15,1913,['bullish']
16,1987,['bullish']
17,1971,['bullish']
18,1906,['bullish']
19,1924,['bullish']
20,1955,['bullish']
21,1954,['bullish']
22,1956,['bullish']
23,1900,['bullish']
24,1948,['bullish']
25,2004,['bullish']
26,1978,['bullish']
27,1999,['bullish']
28,1998,['bullish']
29,1934,['bullish']
30,1997,['bullish']
31,2001,['bullish']
32,1991,['bullish']
33,1903,['bullish']
34,1962,['bullish']
35,1970,['bullish']
36,1921,['bullish']
37,1917,['bullish']
38,1923,['bullish']
39,1949,['bullish']
40,1905,['bullish']
41,1914,['bullish']
42,2009,['bullish']
43,1912,['bullish']
44,1994,['bullish']
45,1935,['bullish']
46,1984,['bullish']
47,1952,['bullish']
48,1989,['bullish']
49,1929,['bullish']
50,2005,['bullish']
51,1996,['bullish']
52,1911,['bullish']
53,1933,['bullish']
54,1982,['bullish']
55,1904,['bullish']
56,1964,['bullish']
57,1941,['bullish']
58,1979,['bullish']
59,1907,['bullish']
60,1992,['bullish']
61,1926,['bullish']
62,1976,['bullish']
63,1986,['bullish']
64,1957,['bullish']
65,1947,['bullish']
66,1920,['bullish']
67,1968,['bullish']
68,1946,['bullish']
69,1961,['bullish']
70,2002,['bullish']
71,1932,['bullish']
72,1980,['bullish']
73,1977,['bullish']
74,1902,['bullish']
75,1931,['bullish']
76,2007,['bullish']
77,1918,['bullish']
78,1990,['bullish']
79,1939,['bullish']
80,1925,['bullish']
81,1910,['bullish']
82,1944,['bullish']
83,1940,['bullish']
84,1945,['bullish']
85,1969,['bullish']
86,1973,['bullish']
87,2003,['bullish']
88,1959,['bullish']
89,1966,['bullish']
90,1915,['bullish']
91,1942,['bullish']
92,1951,['bullish']
93,1901,['bullish']
94,1930,['bullish']
95,1967,['bullish']
96,1963,['bullish']
97,1981,['bullish']
98,1938,['bullish']
99,1974,['bullish']
100,2000,['bullish']
101,1950,['bullish']
102,1927,['bullish']
103,1937,['bullish']
104,1936,['bullish']
105,2008,['bullish']
106,1965,['bullish']
107,1909,['bullish']
108,1988,['bullish']
109,1953,['bullish']
