,year,cosine_similarity
0,1985,[[0.70384858]]
1,1943,[[0.67337178]]
2,1993,[[0.74162267]]
3,1995,[[0.74555974]]
4,1958,[[0.67547394]]
5,1983,[[0.71232376]]
6,1919,[[0.65922035]]
7,1975,[[0.70411145]]
8,1960,[[0.71354778]]
9,1922,[[0.67784947]]
10,1928,[[0.61344865]]
11,2006,[[0.73709023]]
12,1972,[[0.70268353]]
13,1908,[[0.66686705]]
14,1916,[[0.6572325]]
15,1913,[[0.62926753]]
16,1987,[[0.71915612]]
17,1971,[[0.68254881]]
18,1906,[[0.61420128]]
19,1924,[[0.66862716]]
20,1955,[[0.68003918]]
21,1954,[[0.66981309]]
22,1956,[[0.74084686]]
23,1900,[[0.70971497]]
24,1948,[[0.70447252]]
25,2004,[[0.72625625]]
26,1978,[[0.67188991]]
27,1999,[[0.77337984]]
28,1998,[[0.70680789]]
29,1934,[[0.71271637]]
30,1997,[[0.7095967]]
31,2001,[[0.74569454]]
32,1991,[[0.7519773]]
33,1903,[[0.68819265]]
34,1962,[[0.71468992]]
35,1970,[[0.7384243]]
36,1921,[[0.67436394]]
37,1917,[[0.69702344]]
38,1923,[[0.63580449]]
39,1949,[[0.6811441]]
40,1905,[[0.68962483]]
41,1914,[[0.67981957]]
42,2009,[[0.71322145]]
43,1912,[[0.68843674]]
44,1994,[[0.74172915]]
45,1935,[[0.64696597]]
46,1984,[[0.75085579]]
47,1952,[[0.69965549]]
48,1989,[[0.73899068]]
49,1929,[[0.62744998]]
50,2005,[[0.73538275]]
51,1996,[[0.76840313]]
52,1911,[[0.67736554]]
53,1933,[[0.65841122]]
54,1982,[[0.70822097]]
55,1904,[[0.64942524]]
56,1964,[[0.70809478]]
57,1941,[[0.62980234]]
58,1979,[[0.69891182]]
59,1907,[[0.70056665]]
60,1992,[[0.7597114]]
61,1926,[[0.63382442]]
62,1976,[[0.73119879]]
63,1986,[[0.70368896]]
64,1957,[[0.72112398]]
65,1947,[[0.68570448]]
66,1920,[[0.67131785]]
67,1968,[[0.71490318]]
68,1946,[[0.67039237]]
69,1961,[[0.69359192]]
70,2002,[[0.77135112]]
71,1932,[[0.67666098]]
72,1980,[[0.74433897]]
73,1977,[[0.70751379]]
74,1902,[[0.64452992]]
75,1931,[[0.61414023]]
76,2007,[[0.71931769]]
77,1918,[[0.66161976]]
78,1990,[[0.68608562]]
79,1939,[[0.70877892]]
80,1925,[[0.69226481]]
81,1910,[[0.68647032]]
82,1944,[[0.68504717]]
83,1940,[[0.65821306]]
84,1945,[[0.6937671]]
85,1969,[[0.68756336]]
86,1973,[[0.70777188]]
87,2003,[[0.74305277]]
88,1959,[[0.70213659]]
89,1966,[[0.73110211]]
90,1915,[[0.65733493]]
91,1942,[[0.68329848]]
92,1951,[[0.66427908]]
93,1901,[[0.68842297]]
94,1930,[[0.6392744]]
95,1967,[[0.70823288]]
96,1963,[[0.70778554]]
97,1981,[[0.75708913]]
98,1938,[[0.71264221]]
99,1974,[[0.71069186]]
100,2000,[[0.72184726]]
101,1950,[[0.69720824]]
102,1927,[[0.66911074]]
103,1937,[[0.68532539]]
104,1936,[[0.70927329]]
105,2008,[[0.74988185]]
106,1965,[[0.70846879]]
107,1909,[[0.61766964]]
108,1988,[[0.71378292]]
109,1953,[[0.69175991]]
