,year,words
0,1985,['environmentalism']
1,1943,['environmentalism']
2,1958,['environmentalism']
3,1983,['environmentalism']
4,1919,['environmentalism']
5,1975,['environmentalism']
6,1960,['environmentalism']
7,1922,['environmentalism']
8,1928,['environmentalism']
9,1972,['environmentalism']
10,1908,['environmentalism']
11,1916,['environmentalism']
12,1913,['environmentalism']
13,1987,['environmentalism']
14,1971,['environmentalism']
15,1906,['environmentalism']
16,1924,['environmentalism']
17,1955,['environmentalism']
18,1954,['environmentalism']
19,1956,['environmentalism']
20,1900,['environmentalism']
21,1948,['environmentalism']
22,1978,['environmentalism']
23,1998,['environmentalism']
24,1934,['environmentalism']
25,1991,['environmentalism']
26,1903,['environmentalism']
27,1962,['environmentalism']
28,1970,['environmentalism']
29,1921,['environmentalism']
30,1917,['environmentalism']
31,1923,['environmentalism']
32,1949,['environmentalism']
33,1905,['environmentalism']
34,1914,['environmentalism']
35,1912,['environmentalism']
36,1935,['environmentalism']
37,1984,['environmentalism']
38,1952,['environmentalism']
39,1989,['environmentalism']
40,1929,['environmentalism']
41,1911,['environmentalism']
42,1933,['environmentalism']
43,1982,['environmentalism']
44,1904,['environmentalism']
45,1964,['environmentalism']
46,1941,['environmentalism']
47,1979,['environmentalism']
48,1907,['environmentalism']
49,1926,['environmentalism']
50,1976,['environmentalism']
51,1986,['environmentalism']
52,1957,['environmentalism']
53,1947,['environmentalism']
54,1920,['environmentalism']
55,1968,['environmentalism']
56,1946,['environmentalism']
57,1961,['environmentalism']
58,1932,['environmentalism']
59,1980,['environmentalism']
60,1977,['environmentalism']
61,1902,['environmentalism']
62,1931,['environmentalism']
63,1918,['environmentalism']
64,1990,['environmentalism']
65,1939,['environmentalism']
66,1925,['environmentalism']
67,1910,['environmentalism']
68,1944,['environmentalism']
69,1940,['environmentalism']
70,1945,['environmentalism']
71,1969,['environmentalism']
72,1973,['environmentalism']
73,1959,['environmentalism']
74,1966,['environmentalism']
75,1915,['environmentalism']
76,1942,['environmentalism']
77,1951,['environmentalism']
78,1901,['environmentalism']
79,1930,['environmentalism']
80,1967,['environmentalism']
81,1963,['environmentalism']
82,1981,['environmentalism']
83,1938,['environmentalism']
84,1974,['environmentalism']
85,1950,['environmentalism']
86,1927,['environmentalism']
87,1937,['environmentalism']
88,1936,['environmentalism']
89,2008,['environmentalism']
90,1965,['environmentalism']
91,1909,['environmentalism']
92,1988,['environmentalism']
93,1953,['environmentalism']
