,year,cosine_similarity
0,1985,[[0.56853237]]
1,1943,[[0.45475242]]
2,1993,[[0.58209823]]
3,1995,[[0.56205088]]
4,1958,[[0.42473511]]
5,1983,[[0.56079205]]
6,1919,[[0.46112801]]
7,1975,[[0.60480794]]
8,1960,[[0.38793031]]
9,1922,[[0.53822102]]
10,1928,[[0.46737572]]
11,2006,[[0.59405027]]
12,1972,[[0.53677529]]
13,1908,[[0.51590247]]
14,1916,[[0.51227295]]
15,1913,[[0.54492408]]
16,1987,[[0.56216314]]
17,1971,[[0.56313794]]
18,1906,[[0.47064057]]
19,1924,[[0.49136439]]
20,1955,[[0.44852502]]
21,1954,[[0.43146382]]
22,1956,[[0.48349787]]
23,1900,[[0.54065179]]
24,1948,[[0.43489018]]
25,2004,[[0.61156735]]
26,1978,[[0.56496987]]
27,1999,[[0.59778073]]
28,1998,[[0.61205507]]
29,1934,[[0.49757796]]
30,1997,[[0.58503165]]
31,2001,[[0.55371309]]
32,1991,[[0.60061035]]
33,1903,[[0.54084682]]
34,1962,[[0.41171088]]
35,1970,[[0.54126028]]
36,1921,[[0.44281292]]
37,1917,[[0.52646591]]
38,1923,[[0.53371323]]
39,1949,[[0.42201777]]
40,1905,[[0.52912531]]
41,1914,[[0.48321936]]
42,2009,[[0.46041303]]
43,1912,[[0.53141656]]
44,1994,[[0.567904]]
45,1935,[[0.46441189]]
46,1984,[[0.59649978]]
47,1952,[[0.43547155]]
48,1989,[[0.57305369]]
49,1929,[[0.51817435]]
50,2005,[[0.56049894]]
51,1996,[[0.58350907]]
52,1911,[[0.56117647]]
53,1933,[[0.52353458]]
54,1982,[[0.58453317]]
55,1904,[[0.60230339]]
56,1964,[[0.53735741]]
57,1941,[[0.42225567]]
58,1979,[[0.57772259]]
59,1907,[[0.54913747]]
60,1992,[[0.59631502]]
61,1926,[[0.52321336]]
62,1976,[[0.56741369]]
63,1986,[[0.60785921]]
64,1957,[[0.44880575]]
65,1947,[[0.41772855]]
66,1920,[[0.49727659]]
67,1968,[[0.56108038]]
68,1946,[[0.39308452]]
69,1961,[[0.41208478]]
70,2002,[[0.60905897]]
71,1932,[[0.42639859]]
72,1980,[[0.57417402]]
73,1977,[[0.57706719]]
74,1902,[[0.53753816]]
75,1931,[[0.46751053]]
76,2007,[[0.58131588]]
77,1918,[[0.50695872]]
78,1990,[[0.54680552]]
79,1939,[[0.47827362]]
80,1925,[[0.51907356]]
81,1910,[[0.51923811]]
82,1944,[[0.43045752]]
83,1940,[[0.48739506]]
84,1945,[[0.45153153]]
85,1969,[[0.534079]]
86,1973,[[0.57106973]]
87,2003,[[0.55842187]]
88,1959,[[0.42871326]]
89,1966,[[0.43071418]]
90,1915,[[0.50383954]]
91,1942,[[0.43987527]]
92,1951,[[0.38421908]]
93,1901,[[0.46843031]]
94,1930,[[0.47178795]]
95,1967,[[0.56183267]]
96,1963,[[0.45049473]]
97,1981,[[0.56782926]]
98,1938,[[0.4852252]]
99,1974,[[0.57391269]]
100,2000,[[0.55923729]]
101,1950,[[0.43926296]]
102,1927,[[0.45709462]]
103,1937,[[0.5140829]]
104,1936,[[0.48297571]]
105,2008,[[0.56457371]]
106,1965,[[0.43927409]]
107,1909,[[0.58983879]]
108,1988,[[0.55681553]]
109,1953,[[0.37806634]]
