,year,words
0,1985,['bearish']
1,1943,"['underdevelopment', 'bearish']"
2,1993,['bearish']
3,1995,['bearish']
4,1958,"['underdevelopment', 'bearish']"
5,1983,['bearish']
6,1919,"['underdevelopment', 'bearish']"
7,1975,['bearish']
8,1960,"['underdevelopment', 'bearish']"
9,1922,"['underdevelopment', 'bearish']"
10,1928,"['underdevelopment', 'bearish']"
11,2006,['bearish']
12,1972,['bearish']
13,1908,"['underdevelopment', 'unemployment', 'bearish']"
14,1916,"['underdevelopment', 'bearish']"
15,1913,"['underdevelopment', 'recession', 'bearish']"
16,1987,['bearish']
17,1971,['bearish']
18,1906,"['underdevelopment', 'unemployment', 'recession', 'bearish']"
19,1924,"['underdevelopment', 'bearish']"
20,1955,"['underdevelopment', 'bearish']"
21,1954,"['underdevelopment', 'bearish']"
22,1956,"['underdevelopment', 'bearish']"
23,1900,"['underdevelopment', 'unemployment', 'recession', 'bearish']"
24,1948,"['underdevelopment', 'bearish']"
25,2004,['bearish']
26,1978,['bearish']
27,1999,['bearish']
28,1998,['bearish']
29,1934,"['underdevelopment', 'bearish']"
30,1997,['bearish']
31,2001,['bearish']
32,1991,['bearish']
33,1903,"['underdevelopment', 'unemployment', 'bearish']"
34,1962,"['underdevelopment', 'bearish']"
35,1970,['bearish']
36,1921,"['underdevelopment', 'bearish']"
37,1917,"['underdevelopment', 'bearish']"
38,1923,"['underdevelopment', 'bearish']"
39,1949,"['underdevelopment', 'bearish']"
40,1905,"['underdevelopment', 'unemployment', 'bearish']"
41,1914,"['underdevelopment', 'bearish']"
42,2009,"['underdevelopment', 'bearish']"
43,1912,"['underdevelopment', 'bearish']"
44,1994,['bearish']
45,1935,"['underdevelopment', 'bearish']"
46,1984,['bearish']
47,1952,"['underdevelopment', 'bearish']"
48,1989,['bearish']
49,1929,"['underdevelopment', 'bearish']"
50,2005,['bearish']
51,1996,['bearish']
52,1911,"['underdevelopment', 'bearish']"
53,1933,"['underdevelopment', 'bearish']"
54,1982,['bearish']
55,1904,"['underdevelopment', 'bearish']"
56,1964,['bearish']
57,1941,"['underdevelopment', 'bearish']"
58,1979,['bearish']
59,1907,"['underdevelopment', 'bearish']"
60,1992,['bearish']
61,1926,"['underdevelopment', 'bearish']"
62,1976,['bearish']
63,1986,['bearish']
64,1957,"['underdevelopment', 'bearish']"
65,1947,"['underdevelopment', 'bearish']"
66,1920,"['underdevelopment', 'bearish']"
67,1968,['bearish']
68,1946,"['underdevelopment', 'bearish']"
69,1961,"['underdevelopment', 'bearish']"
70,2002,['bearish']
71,1932,"['underdevelopment', 'bearish']"
72,1980,['bearish']
73,1977,['bearish']
74,1902,"['underdevelopment', 'unemployment', 'bearish']"
75,1931,"['underdevelopment', 'bearish']"
76,2007,['bearish']
77,1918,"['underdevelopment', 'bearish']"
78,1990,['bearish']
79,1939,"['underdevelopment', 'bearish']"
80,1925,"['underdevelopment', 'bearish']"
81,1910,"['underdevelopment', 'bearish']"
82,1944,"['underdevelopment', 'bearish']"
83,1940,"['underdevelopment', 'bearish']"
84,1945,"['underdevelopment', 'bearish']"
85,1969,['bearish']
86,1973,['bearish']
87,2003,['bearish']
88,1959,"['underdevelopment', 'bearish']"
89,1966,"['underdevelopment', 'bearish']"
90,1915,"['underdevelopment', 'bearish']"
91,1942,"['underdevelopment', 'bearish']"
92,1951,"['underdevelopment', 'bearish']"
93,1901,"['underdevelopment', 'unemployment', 'recession', 'bearish']"
94,1930,"['underdevelopment', 'bearish']"
95,1967,['bearish']
96,1963,"['underdevelopment', 'bearish']"
97,1981,['bearish']
98,1938,"['underdevelopment', 'bearish']"
99,1974,['bearish']
100,2000,['bearish']
101,1950,"['underdevelopment', 'bearish']"
102,1927,"['underdevelopment', 'bearish']"
103,1937,"['underdevelopment', 'bearish']"
104,1936,"['underdevelopment', 'bearish']"
105,2008,['bearish']
106,1965,"['underdevelopment', 'bearish']"
107,1909,"['underdevelopment', 'bearish']"
108,1988,['bearish']
109,1953,"['underdevelopment', 'bearish']"
