,year,cosine_similarity
0,1985,[[0.63805674]]
1,1943,[[0.51601749]]
2,1993,[[0.56178963]]
3,1995,[[0.63239686]]
4,1958,[[0.55759418]]
5,1983,[[0.64019962]]
6,1919,[[0.53428826]]
7,1975,[[0.63894216]]
8,1960,[[0.49892873]]
9,1922,[[0.54576141]]
10,1928,[[0.46805976]]
11,2006,[[0.6293453]]
12,1972,[[0.61871748]]
13,1908,[[0.53384986]]
14,1916,[[0.43210203]]
15,1913,[[0.52011963]]
16,1987,[[0.6383135]]
17,1971,[[0.61846763]]
18,1906,[[0.47633902]]
19,1924,[[0.51774363]]
20,1955,[[0.48699234]]
21,1954,[[0.48630233]]
22,1956,[[0.61005029]]
23,1900,[[0.52468589]]
24,1948,[[0.61855695]]
25,2004,[[0.56094129]]
26,1978,[[0.58644051]]
27,1999,[[0.63379354]]
28,1998,[[0.60864851]]
29,1934,[[0.54171997]]
30,1997,[[0.61531474]]
31,2001,[[0.60156645]]
32,1991,[[0.64872307]]
33,1903,[[0.5254101]]
34,1962,[[0.60246964]]
35,1970,[[0.61999466]]
36,1921,[[0.5236001]]
37,1917,[[0.55146151]]
38,1923,[[0.51463719]]
39,1949,[[0.53779638]]
40,1905,[[0.52715871]]
41,1914,[[0.52158514]]
42,2009,[[0.58505586]]
43,1912,[[0.42795001]]
44,1994,[[0.60793775]]
45,1935,[[0.55511323]]
46,1984,[[0.63084896]]
47,1952,[[0.60313761]]
48,1989,[[0.62585629]]
49,1929,[[0.49317595]]
50,2005,[[0.62780635]]
51,1996,[[0.63124828]]
52,1911,[[0.51300887]]
53,1933,[[0.50118459]]
54,1982,[[0.61598581]]
55,1904,[[0.49057941]]
56,1964,[[0.59802374]]
57,1941,[[0.49926979]]
58,1979,[[0.63701473]]
59,1907,[[0.49362344]]
60,1992,[[0.61542312]]
61,1926,[[0.53838818]]
62,1976,[[0.6247269]]
63,1986,[[0.58812311]]
64,1957,[[0.59828062]]
65,1947,[[0.63734404]]
66,1920,[[0.49322446]]
67,1968,[[0.64450193]]
68,1946,[[0.62282072]]
69,1961,[[0.60102087]]
70,2002,[[0.62582834]]
71,1932,[[0.50953064]]
72,1980,[[0.6446715]]
73,1977,[[0.64529101]]
74,1902,[[0.4552372]]
75,1931,[[0.50755823]]
76,2007,[[0.64223365]]
77,1918,[[0.53868862]]
78,1990,[[0.59447279]]
79,1939,[[0.46189453]]
80,1925,[[0.50820576]]
81,1910,[[0.49697176]]
82,1944,[[0.50149045]]
83,1940,[[0.43902171]]
84,1945,[[0.59029144]]
85,1969,[[0.64916466]]
86,1973,[[0.62403993]]
87,2003,[[0.50785631]]
88,1959,[[0.58058982]]
89,1966,[[0.59014933]]
90,1915,[[0.52936516]]
91,1942,[[0.47482566]]
92,1951,[[0.59703241]]
93,1901,[[0.45156854]]
94,1930,[[0.49823167]]
95,1967,[[0.62248855]]
96,1963,[[0.5895997]]
97,1981,[[0.60162884]]
98,1938,[[0.53225854]]
99,1974,[[0.58674848]]
100,2000,[[0.61266748]]
101,1950,[[0.48012235]]
102,1927,[[0.49601077]]
103,1937,[[0.5240227]]
104,1936,[[0.50928797]]
105,2008,[[0.63438431]]
106,1965,[[0.63235778]]
107,1909,[[0.477815]]
108,1988,[[0.55100812]]
109,1953,[[0.50002374]]
