,year,words
0,1985,"['la souveraineté', 'autoritaire']"
1,1943,"['bureaucratie', 'la souveraineté', 'autoritaire']"
2,1993,"['la souveraineté', 'autoritaire']"
3,1995,"['la souveraineté', 'autoritaire']"
4,1958,"['la souveraineté', 'autoritaire']"
5,1983,['la souveraineté']
6,1919,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
7,1975,"['la souveraineté', 'autoritaire']"
8,1960,"['bureaucratie', 'la souveraineté']"
9,1922,"['bureaucratie', 'la souveraineté', 'autoritaire']"
10,1928,"['bureaucratie', 'la souveraineté', 'autoritaire']"
11,2006,['la souveraineté']
12,1972,['la souveraineté']
13,1908,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
14,1916,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
15,1913,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
16,1987,"['la souveraineté', 'autoritaire']"
17,1971,"['la souveraineté', 'autoritaire']"
18,1906,"['bureaucratie', 'la souveraineté', 'dictature', 'autoritaire', 'communisme']"
19,1924,"['bureaucratie', 'la souveraineté', 'autoritaire']"
20,1955,"['bureaucratie', 'la souveraineté', 'autoritaire']"
21,1954,"['bureaucratie', 'la souveraineté', 'autoritaire']"
22,1956,['la souveraineté']
23,1900,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
24,1948,"['la souveraineté', 'autoritaire']"
25,2004,"['la souveraineté', 'autoritaire']"
26,1978,"['la souveraineté', 'autoritaire']"
27,1999,"['la souveraineté', 'autoritaire']"
28,1998,['la souveraineté']
29,1934,"['bureaucratie', 'la souveraineté', 'autoritaire']"
30,1997,['la souveraineté']
31,2001,['la souveraineté']
32,1991,['la souveraineté']
33,1903,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
34,1962,['la souveraineté']
35,1970,['la souveraineté']
36,1921,"['bureaucratie', 'la souveraineté', 'autoritaire']"
37,1917,"['la souveraineté', 'autoritaire', 'communisme']"
38,1923,"['bureaucratie', 'la souveraineté', 'autoritaire']"
39,1949,"['la souveraineté', 'autoritaire']"
40,1905,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
41,1914,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
42,2009,"['la souveraineté', 'autoritaire']"
43,1912,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
44,1994,['la souveraineté']
45,1935,"['bureaucratie', 'la souveraineté', 'autoritaire']"
46,1984,"['la souveraineté', 'autoritaire']"
47,1952,"['la souveraineté', 'autoritaire']"
48,1989,['la souveraineté']
49,1929,"['bureaucratie', 'la souveraineté', 'autoritaire']"
50,2005,"['la souveraineté', 'autoritaire']"
51,1996,"['la souveraineté', 'autoritaire']"
52,1911,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
53,1933,"['bureaucratie', 'la souveraineté', 'autoritaire']"
54,1982,"['la souveraineté', 'autoritaire']"
55,1904,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
56,1964,"['la souveraineté', 'autoritaire']"
57,1941,"['bureaucratie', 'la souveraineté', 'autoritaire']"
58,1979,['la souveraineté']
59,1907,"['bureaucratie', 'la souveraineté', 'dictature', 'autoritaire', 'communisme']"
60,1992,['la souveraineté']
61,1926,"['bureaucratie', 'la souveraineté', 'autoritaire']"
62,1976,['la souveraineté']
63,1986,"['la souveraineté', 'autoritaire']"
64,1957,"['la souveraineté', 'autoritaire']"
65,1947,['la souveraineté']
66,1920,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
67,1968,"['la souveraineté', 'autoritaire']"
68,1946,"['la souveraineté', 'autoritaire']"
69,1961,"['la souveraineté', 'autoritaire']"
70,2002,['la souveraineté']
71,1932,"['bureaucratie', 'la souveraineté', 'autoritaire']"
72,1980,['la souveraineté']
73,1977,"['la souveraineté', 'autoritaire']"
74,1902,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
75,1931,"['bureaucratie', 'la souveraineté', 'autoritaire']"
76,2007,"['la souveraineté', 'autoritaire']"
77,1918,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
78,1990,"['la souveraineté', 'autoritaire']"
79,1939,"['bureaucratie', 'la souveraineté', 'autoritaire']"
80,1925,"['bureaucratie', 'la souveraineté', 'autoritaire']"
81,1910,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
82,1944,"['bureaucratie', 'la souveraineté', 'autoritaire']"
83,1940,"['bureaucratie', 'la souveraineté', 'autoritaire']"
84,1945,['la souveraineté']
85,1969,['la souveraineté']
86,1973,['la souveraineté']
87,2003,"['bureaucratie', 'la souveraineté']"
88,1959,"['la souveraineté', 'autoritaire']"
89,1966,['la souveraineté']
90,1915,"['la souveraineté', 'autoritaire', 'communisme']"
91,1942,"['bureaucratie', 'la souveraineté']"
92,1951,"['la souveraineté', 'autoritaire']"
93,1901,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
94,1930,"['bureaucratie', 'la souveraineté', 'autoritaire']"
95,1967,['la souveraineté']
96,1963,"['la souveraineté', 'autoritaire']"
97,1981,"['la souveraineté', 'autoritaire']"
98,1938,"['bureaucratie', 'la souveraineté', 'autoritaire']"
99,1974,['la souveraineté']
100,2000,['la souveraineté']
101,1950,"['bureaucratie', 'la souveraineté', 'autoritaire']"
102,1927,"['bureaucratie', 'la souveraineté', 'autoritaire']"
103,1937,"['bureaucratie', 'la souveraineté', 'autoritaire']"
104,1936,"['bureaucratie', 'la souveraineté', 'autoritaire']"
105,2008,['la souveraineté']
106,1965,"['la souveraineté', 'autoritaire']"
107,1909,"['bureaucratie', 'la souveraineté', 'autoritaire', 'communisme']"
108,1988,['la souveraineté']
109,1953,"['bureaucratie', 'la souveraineté', 'autoritaire']"
