,year,cosine_similarity
0,1985,[[0.65804004]]
1,1943,[[0.6706326]]
2,1993,[[0.63806508]]
3,1995,[[0.6650853]]
4,1958,[[0.58353604]]
5,1983,[[0.70547001]]
6,1919,[[0.40634083]]
7,1975,[[0.62106449]]
8,1960,[[0.63511357]]
9,1922,[[0.61427394]]
10,1928,[[0.62400746]]
11,2006,[[0.68454054]]
12,1972,[[0.67031317]]
13,1908,[[0.71505607]]
14,1916,[[0.55324075]]
15,1913,[[0.67827025]]
16,1987,[[0.68158997]]
17,1971,[[0.61919693]]
18,1906,[[0.6059798]]
19,1924,[[0.5773808]]
20,1955,[[0.62089173]]
21,1954,[[0.65588794]]
22,1956,[[0.62018087]]
23,1900,[[0.62213102]]
24,1948,[[0.66106899]]
25,2004,[[0.65356358]]
26,1978,[[0.64293024]]
27,1999,[[0.66122327]]
28,1998,[[0.64749153]]
29,1934,[[0.6715686]]
30,1997,[[0.65981531]]
31,2001,[[0.65831434]]
32,1991,[[0.68066387]]
33,1903,[[0.58836297]]
34,1962,[[0.64386102]]
35,1970,[[0.60668732]]
36,1921,[[0.68912239]]
37,1917,[[0.63998688]]
38,1923,[[0.68085578]]
39,1949,[[0.64520848]]
40,1905,[[0.67714358]]
41,1914,[[0.72348608]]
42,2009,[[0.66424297]]
43,1912,[[0.59153245]]
44,1994,[[0.67249249]]
45,1935,[[0.73241798]]
46,1984,[[0.69486531]]
47,1952,[[0.61398929]]
48,1989,[[0.68959572]]
49,1929,[[0.65195061]]
50,2005,[[0.6718167]]
51,1996,[[0.68822382]]
52,1911,[[0.62589478]]
53,1933,[[0.64501245]]
54,1982,[[0.66876604]]
55,1904,[[0.6541659]]
56,1964,[[0.61850129]]
57,1941,[[0.66525391]]
58,1979,[[0.65229324]]
59,1907,[[0.64092736]]
60,1992,[[0.66136646]]
61,1926,[[0.56682024]]
62,1976,[[0.66612046]]
63,1986,[[0.66971908]]
64,1957,[[0.61317124]]
65,1947,[[0.63403745]]
66,1920,[[0.56776199]]
67,1968,[[0.61097184]]
68,1946,[[0.67139285]]
69,1961,[[0.5995272]]
70,2002,[[0.69855597]]
71,1932,[[0.62362686]]
72,1980,[[0.67999138]]
73,1977,[[0.68178361]]
74,1902,[[0.65142656]]
75,1931,[[0.73086707]]
76,2007,[[0.67559368]]
77,1918,[[0.64621262]]
78,1990,[[0.67329929]]
79,1939,[[0.69139486]]
80,1925,[[0.66778677]]
81,1910,[[0.66559317]]
82,1944,[[0.66139714]]
83,1940,[[0.65719999]]
84,1945,[[0.6738355]]
85,1969,[[0.63605283]]
86,1973,[[0.63529884]]
87,2003,[[0.62396261]]
88,1959,[[0.62073706]]
89,1966,[[0.62288728]]
90,1915,[[0.49009984]]
91,1942,[[0.65907829]]
92,1951,[[0.64915167]]
93,1901,[[0.70155517]]
94,1930,[[0.65576095]]
95,1967,[[0.68766171]]
96,1963,[[0.64034771]]
97,1981,[[0.62364035]]
98,1938,[[0.65159245]]
99,1974,[[0.59318827]]
100,2000,[[0.69044523]]
101,1950,[[0.64102615]]
102,1927,[[0.5656612]]
103,1937,[[0.68767676]]
104,1936,[[0.69867221]]
105,2008,[[0.68615201]]
106,1965,[[0.62398143]]
107,1909,[[0.66088988]]
108,1988,[[0.68496316]]
109,1953,[[0.63178804]]
