,year,words
0,1985,"['anarchisme', 'libertarisme', 'fédéralisme']"
1,1943,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
2,1993,"['anarchisme', 'libertarisme']"
3,1995,"['anarchisme', 'libertarisme']"
4,1958,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
5,1983,"['anarchisme', 'libertarisme']"
6,1919,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'individualisme', 'pluralisme']"
7,1975,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
8,1960,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
9,1922,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'pluralisme']"
10,1928,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
11,2006,"['anarchisme', 'libertarisme', 'fédéralisme']"
12,1972,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
13,1908,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
14,1916,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'pluralisme']"
15,1913,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
16,1987,"['anarchisme', 'libertarisme', 'fédéralisme']"
17,1971,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
18,1906,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'pluralisme']"
19,1924,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'pluralisme']"
20,1955,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
21,1954,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
22,1956,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
23,1900,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'pluralisme']"
24,1948,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
25,2004,"['anarchisme', 'libertarisme']"
26,1978,"['anarchisme', 'libertarisme', 'fédéralisme']"
27,1999,"['anarchisme', 'libertarisme', 'fédéralisme']"
28,1998,"['anarchisme', 'libertarisme', 'fédéralisme']"
29,1934,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
30,1997,"['anarchisme', 'libertarisme', 'fédéralisme']"
31,2001,"['anarchisme', 'libertarisme', 'fédéralisme']"
32,1991,"['anarchisme', 'libertarisme', 'fédéralisme']"
33,1903,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'pluralisme']"
34,1962,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
35,1970,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
36,1921,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
37,1917,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
38,1923,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
39,1949,"['anarchisme', 'libertarisme', 'fédéralisme']"
40,1905,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
41,1914,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
42,2009,"['anarchisme', 'libertarisme', 'fédéralisme']"
43,1912,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'pluralisme']"
44,1994,"['anarchisme', 'libertarisme']"
45,1935,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
46,1984,"['anarchisme', 'libertarisme', 'fédéralisme']"
47,1952,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
48,1989,"['anarchisme', 'libertarisme', 'fédéralisme']"
49,1929,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
50,2005,"['anarchisme', 'libertarisme']"
51,1996,"['anarchisme', 'libertarisme', 'fédéralisme']"
52,1911,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'pluralisme']"
53,1933,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
54,1982,"['anarchisme', 'libertarisme', 'fédéralisme']"
55,1904,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
56,1964,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
57,1941,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
58,1979,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
59,1907,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'pluralisme']"
60,1992,"['anarchisme', 'libertarisme']"
61,1926,"['anarchisme', 'libertarisme', 'fédéralisme', 'individualisme', 'pluralisme']"
62,1976,"['anarchisme', 'libertarisme', 'fédéralisme']"
63,1986,"['anarchisme', 'libertarisme', 'fédéralisme']"
64,1957,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
65,1947,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
66,1920,"['anarchisme', 'libertarisme', 'libéralisme', 'fédéralisme', 'pluralisme']"
67,1968,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
68,1946,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
69,1961,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
70,2002,"['anarchisme', 'libertarisme', 'fédéralisme']"
71,1932,"['anarchisme', 'libertarisme', 'fédéralisme', 'individualisme', 'pluralisme']"
72,1980,"['anarchisme', 'libertarisme', 'fédéralisme']"
73,1977,"['anarchisme', 'libertarisme', 'fédéralisme']"
74,1902,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
75,1931,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
76,2007,"['anarchisme', 'libertarisme']"
77,1918,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
78,1990,"['anarchisme', 'libertarisme']"
79,1939,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
80,1925,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
81,1910,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
82,1944,"['anarchisme', 'libertarisme', 'fédéralisme', 'pluralisme']"
