,year,cosine_similarity
0,1985,[[0.61820826]]
1,1943,[[0.61882476]]
2,1993,[[0.61142575]]
3,1995,[[0.63957331]]
4,1958,[[0.58985426]]
5,1983,[[0.63627902]]
6,1919,[[0.54874311]]
7,1975,[[0.56755587]]
8,1960,[[0.62127964]]
9,1922,[[0.6383711]]
10,1928,[[0.63478261]]
11,2006,[[0.65979166]]
12,1972,[[0.58853971]]
13,1908,[[0.63444681]]
14,1916,[[0.36153101]]
15,1913,[[0.62580801]]
16,1987,[[0.60093655]]
17,1971,[[0.59759215]]
18,1906,[[0.46558897]]
19,1924,[[0.60171566]]
20,1955,[[0.60189136]]
21,1954,[[0.63143242]]
22,1956,[[0.59194468]]
23,1900,[[0.49479388]]
24,1948,[[0.62866127]]
25,2004,[[0.6381778]]
26,1978,[[0.56738211]]
27,1999,[[0.6961302]]
28,1998,[[0.63427911]]
29,1934,[[0.64024568]]
30,1997,[[0.62850551]]
31,2001,[[0.6364772]]
32,1991,[[0.65787835]]
33,1903,[[0.62470677]]
34,1962,[[0.57081313]]
35,1970,[[0.62935095]]
36,1921,[[0.50799642]]
37,1917,[[0.35741775]]
38,1923,[[0.56704399]]
39,1949,[[0.55949538]]
40,1905,[[0.34804447]]
41,1914,[[0.4297839]]
42,2009,[[0.6748005]]
43,1912,[[0.46272891]]
44,1994,[[0.61565753]]
45,1935,[[0.69452922]]
46,1984,[[0.65229507]]
47,1952,[[0.63296239]]
48,1989,[[0.6447803]]
49,1929,[[0.59607499]]
50,2005,[[0.6675709]]
51,1996,[[0.67871641]]
52,1911,[[0.39950279]]
53,1933,[[0.6011478]]
54,1982,[[0.59900807]]
55,1904,[[0.42014165]]
56,1964,[[0.60132081]]
57,1941,[[0.64137394]]
58,1979,[[0.62939619]]
59,1907,[[0.55266905]]
60,1992,[[0.62845856]]
61,1926,[[0.53836053]]
62,1976,[[0.62338117]]
63,1986,[[0.63810418]]
64,1957,[[0.6115934]]
65,1947,[[0.59171965]]
66,1920,[[0.60444922]]
67,1968,[[0.63336294]]
68,1946,[[0.61285038]]
69,1961,[[0.5422364]]
70,2002,[[0.63629463]]
71,1932,[[0.65564033]]
72,1980,[[0.5967266]]
73,1977,[[0.60757008]]
74,1902,[[0.4636744]]
75,1931,[[0.69336303]]
76,2007,[[0.6498325]]
77,1918,[[0.45204633]]
78,1990,[[0.64390679]]
79,1939,[[0.64573616]]
80,1925,[[0.60030253]]
81,1910,[[0.37968104]]
82,1944,[[0.58751]]
83,1940,[[0.64415909]]
84,1945,[[0.60568088]]
85,1969,[[0.57291297]]
86,1973,[[0.63124258]]
87,2003,[[0.60782354]]
88,1959,[[0.51929399]]
89,1966,[[0.61237094]]
90,1915,[[0.41592137]]
91,1942,[[0.5914822]]
92,1951,[[0.64982659]]
93,1901,[[0.57979685]]
94,1930,[[0.63199382]]
95,1967,[[0.59456234]]
96,1963,[[0.58802021]]
97,1981,[[0.57632141]]
98,1938,[[0.56334844]]
99,1974,[[0.58745778]]
100,2000,[[0.65567155]]
101,1950,[[0.59391886]]
102,1927,[[0.67033359]]
103,1937,[[0.64670737]]
104,1936,[[0.68398446]]
105,2008,[[0.68349807]]
106,1965,[[0.61578677]]
107,1909,[[0.39178435]]
108,1988,[[0.62511791]]
109,1953,[[0.56046231]]
