,year,words
0,1985,['mondialisation']
1,1943,"['modernisation', 'mondialisation']"
2,1958,['mondialisation']
3,1983,['mondialisation']
4,1919,"['industrialisation', 'modernisation', 'mondialisation']"
5,1975,['mondialisation']
6,1960,['mondialisation']
7,1922,"['industrialisation', 'modernisation', 'mondialisation']"
8,1928,"['modernisation', 'mondialisation']"
9,1972,['mondialisation']
10,1908,"['industrialisation', 'modernisation', 'mondialisation']"
11,1916,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
12,1913,"['industrialisation', 'modernisation', 'mondialisation']"
13,1987,['mondialisation']
14,1971,['mondialisation']
15,1906,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
16,1924,"['industrialisation', 'modernisation', 'mondialisation']"
17,1955,['mondialisation']
18,1954,['mondialisation']
19,1956,['mondialisation']
20,1900,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
21,1948,['mondialisation']
22,1978,['mondialisation']
23,1934,"['modernisation', 'mondialisation']"
24,1903,"['industrialisation', 'modernisation', 'mondialisation']"
25,1962,['mondialisation']
26,1970,['mondialisation']
27,1921,"['industrialisation', 'modernisation', 'mondialisation']"
28,1917,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
29,1923,"['industrialisation', 'modernisation', 'mondialisation']"
30,1949,['mondialisation']
31,1905,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
32,1914,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
33,1912,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
34,1935,"['modernisation', 'mondialisation']"
35,1984,['mondialisation']
36,1952,['mondialisation']
37,1929,"['modernisation', 'mondialisation']"
38,1911,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
39,1933,['mondialisation']
40,1982,['mondialisation']
41,1904,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
42,1964,['mondialisation']
43,1941,"['modernisation', 'mondialisation']"
44,1979,['mondialisation']
45,1907,"['industrialisation', 'modernisation', 'mondialisation']"
46,1926,"['industrialisation', 'modernisation', 'mondialisation']"
47,1976,['mondialisation']
48,1986,['mondialisation']
49,1957,['mondialisation']
50,1947,['mondialisation']
51,1920,"['industrialisation', 'modernisation', 'mondialisation']"
52,1968,['mondialisation']
53,1946,['mondialisation']
54,1961,['mondialisation']
55,1932,"['modernisation', 'mondialisation']"
56,1980,['mondialisation']
57,1977,['mondialisation']
58,1902,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
59,1931,"['modernisation', 'mondialisation']"
60,1918,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
61,1990,['mondialisation']
62,1939,['mondialisation']
63,1925,"['industrialisation', 'modernisation', 'mondialisation']"
64,1910,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
65,1944,['mondialisation']
66,1940,['mondialisation']
67,1945,['mondialisation']
68,1969,['mondialisation']
69,1973,['mondialisation']
70,1959,['mondialisation']
71,1966,['mondialisation']
72,1915,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
73,1942,['mondialisation']
74,1951,['mondialisation']
75,1901,"['industrialisation', 'modernisation', 'mondialisation']"
76,1930,"['modernisation', 'mondialisation']"
77,1967,['mondialisation']
78,1963,['mondialisation']
79,1938,['mondialisation']
80,1974,['mondialisation']
81,1950,['mondialisation']
82,1927,"['modernisation', 'mondialisation']"
83,1937,['mondialisation']
84,1936,"['modernisation', 'mondialisation']"
85,1965,['mondialisation']
86,1909,"['industrialisation', 'modernisation', 'mondialisation', 'capitalisme']"
87,1953,['mondialisation']
