,year,cosine_similarity
0,1985,[[0.4899966]]
1,1943,[[0.47290018]]
2,1993,[[0.50192038]]
3,1995,[[0.52332344]]
4,1958,[[0.49016563]]
5,1983,[[0.52323695]]
6,1919,[[0.45258795]]
7,1975,[[0.48740873]]
8,1960,[[0.50536656]]
9,1922,[[0.45831675]]
10,1928,[[0.43138187]]
11,2006,[[0.5136147]]
12,1972,[[0.5379378]]
13,1908,[[0.45200405]]
14,1916,[[0.44836836]]
15,1913,[[0.47860934]]
16,1987,[[0.4988771]]
17,1971,[[0.47784159]]
18,1906,[[0.50855088]]
19,1924,[[0.48388388]]
20,1955,[[0.44755999]]
21,1954,[[0.50676988]]
22,1956,[[0.4443016]]
23,1900,[[0.48551522]]
24,1948,[[0.48333505]]
25,2004,[[0.53756475]]
26,1978,[[0.45839625]]
27,1999,[[0.53403595]]
28,1998,[[0.55258833]]
29,1934,[[0.46872699]]
30,1997,[[0.48419267]]
31,2001,[[0.50325997]]
32,1991,[[0.46066321]]
33,1903,[[0.49747504]]
34,1962,[[0.4835113]]
35,1970,[[0.50931637]]
36,1921,[[0.45766374]]
37,1917,[[0.40897199]]
38,1923,[[0.44700542]]
39,1949,[[0.43771813]]
40,1905,[[0.44122161]]
41,1914,[[0.471257]]
42,2009,[[0.51600698]]
43,1912,[[0.49587674]]
44,1994,[[0.52569575]]
45,1935,[[0.53092697]]
46,1984,[[0.57901105]]
47,1952,[[0.47800609]]
48,1989,[[0.49859471]]
49,1929,[[0.42694547]]
50,2005,[[0.5375917]]
51,1996,[[0.53942844]]
52,1911,[[0.41862088]]
53,1933,[[0.46921939]]
54,1982,[[0.49653233]]
55,1904,[[0.52019747]]
56,1964,[[0.52031658]]
57,1941,[[0.44015753]]
58,1979,[[0.5140306]]
59,1907,[[0.50260133]]
60,1992,[[0.53673112]]
61,1926,[[0.40939153]]
62,1976,[[0.50771523]]
63,1986,[[0.51733794]]
64,1957,[[0.45349367]]
65,1947,[[0.51010941]]
66,1920,[[0.4771223]]
67,1968,[[0.52041434]]
68,1946,[[0.38299308]]
69,1961,[[0.46051627]]
70,2002,[[0.49750533]]
71,1932,[[0.49007459]]
72,1980,[[0.48382159]]
73,1977,[[0.50732037]]
74,1902,[[0.44004862]]
75,1931,[[0.4725787]]
76,2007,[[0.54931267]]
77,1918,[[0.48060113]]
78,1990,[[0.52847514]]
79,1939,[[0.51331135]]
80,1925,[[0.47171182]]
81,1910,[[0.4218264]]
82,1944,[[0.43941695]]
83,1940,[[0.45437855]]
84,1945,[[0.5120424]]
85,1969,[[0.41976088]]
86,1973,[[0.53181357]]
87,2003,[[0.48258236]]
88,1959,[[0.47615084]]
89,1966,[[0.50197989]]
90,1915,[[0.42217783]]
91,1942,[[0.44219849]]
92,1951,[[0.44933842]]
93,1901,[[0.4871992]]
94,1930,[[0.45249387]]
95,1967,[[0.49370304]]
96,1963,[[0.44246279]]
97,1981,[[0.50484365]]
98,1938,[[0.48282341]]
99,1974,[[0.49303114]]
100,2000,[[0.56950271]]
101,1950,[[0.47267162]]
102,1927,[[0.46976629]]
103,1937,[[0.43817631]]
104,1936,[[0.4669177]]
105,2008,[[0.55960376]]
106,1965,[[0.52243045]]
107,1909,[[0.46043867]]
108,1988,[[0.5377028]]
109,1953,[[0.46596657]]
