,year,words
0,1985,"['la prospérité', 'boom', 'haussier']"
1,1943,"['la prospérité', 'boom', 'haussier']"
2,1993,"['la prospérité', 'boom', 'haussier']"
3,1995,"['la prospérité', 'boom', 'haussier']"
4,1958,"['la prospérité', 'boom', 'haussier']"
5,1983,"['la prospérité', 'boom', 'haussier']"
6,1919,"['la prospérité', 'boom', 'haussier']"
7,1975,"['la prospérité', 'boom', 'haussier']"
8,1960,"['la prospérité', 'boom', 'haussier']"
9,1922,"['la prospérité', 'boom', 'haussier']"
10,1928,"['la prospérité', 'boom', 'haussier']"
11,2006,"['la prospérité', 'boom', 'haussier']"
12,1972,"['la prospérité', 'boom', 'haussier']"
13,1908,"['la prospérité', 'boom', 'haussier']"
14,1916,"['la prospérité', 'boom', 'haussier']"
15,1913,"['la prospérité', 'boom', 'haussier']"
16,1987,"['la prospérité', 'boom', 'haussier']"
17,1971,"['la prospérité', 'boom', 'haussier']"
18,1906,"['la prospérité', 'boom', 'haussier']"
19,1924,"['la prospérité', 'boom', 'haussier']"
20,1955,"['la prospérité', 'boom', 'haussier']"
21,1954,"['la prospérité', 'boom', 'haussier']"
22,1956,"['la prospérité', 'boom', 'haussier']"
23,1900,"['la prospérité', 'boom', 'haussier']"
24,1948,"['la prospérité', 'boom', 'haussier']"
25,2004,"['la prospérité', 'boom', 'haussier']"
26,1978,"['la prospérité', 'boom', 'haussier']"
27,1999,"['la prospérité', 'boom', 'haussier']"
28,1998,"['la prospérité', 'haussier']"
29,1934,"['la prospérité', 'boom', 'haussier']"
30,1997,"['la prospérité', 'haussier']"
31,2001,"['la prospérité', 'boom', 'haussier']"
32,1991,"['la prospérité', 'boom', 'haussier']"
33,1903,"['la prospérité', 'boom', 'haussier']"
34,1962,"['la prospérité', 'boom', 'haussier']"
35,1970,"['la prospérité', 'boom', 'haussier']"
36,1921,"['la prospérité', 'boom', 'haussier']"
37,1917,"['la prospérité', 'boom', 'haussier']"
38,1923,"['la prospérité', 'boom', 'haussier']"
39,1949,"['la prospérité', 'boom', 'haussier']"
40,1905,"['la prospérité', 'boom', 'haussier']"
41,1914,"['la prospérité', 'boom', 'haussier']"
42,2009,"['la prospérité', 'boom', 'haussier']"
43,1912,"['la prospérité', 'boom', 'haussier']"
44,1994,"['la prospérité', 'boom', 'haussier']"
