,year,cosine_similarity
0,1985,[[0.64114367]]
1,1943,[[0.62868361]]
2,1993,[[0.64255514]]
3,1995,[[0.68107007]]
4,1958,[[0.62729869]]
5,1983,[[0.65291371]]
6,1919,[[0.66114447]]
7,1975,[[0.65831329]]
8,1960,[[0.64270231]]
9,1922,[[0.66562127]]
10,1928,[[0.64725634]]
11,2006,[[0.65044441]]
12,1972,[[0.64177776]]
13,1908,[[0.70445924]]
14,1916,[[0.62955985]]
15,1913,[[0.63798439]]
16,1987,[[0.64213963]]
17,1971,[[0.63007553]]
18,1906,[[0.69783558]]
19,1924,[[0.66777113]]
20,1955,[[0.61660486]]
21,1954,[[0.64535254]]
22,1956,[[0.64961112]]
23,1900,[[0.71188046]]
24,1948,[[0.71479662]]
25,2004,[[0.63213407]]
26,1978,[[0.63316241]]
27,1999,[[0.66992982]]
28,1998,[[0.63705134]]
29,1934,[[0.63547609]]
30,1997,[[0.63706731]]
31,2001,[[0.6721428]]
32,1991,[[0.67862435]]
33,1903,[[0.68686253]]
34,1962,[[0.63672554]]
35,1970,[[0.61724572]]
36,1921,[[0.65824367]]
37,1917,[[0.60614372]]
38,1923,[[0.62930854]]
39,1949,[[0.6480575]]
40,1905,[[0.6590671]]
41,1914,[[0.65082837]]
42,2009,[[0.67576644]]
43,1912,[[0.66663041]]
44,1994,[[0.65997112]]
45,1935,[[0.70675338]]
46,1984,[[0.66686895]]
47,1952,[[0.66868635]]
48,1989,[[0.67072491]]
49,1929,[[0.6088249]]
50,2005,[[0.69224224]]
51,1996,[[0.66341732]]
52,1911,[[0.64672764]]
53,1933,[[0.62335481]]
54,1982,[[0.66768667]]
55,1904,[[0.62644761]]
56,1964,[[0.68994537]]
57,1941,[[0.60375684]]
58,1979,[[0.69332358]]
59,1907,[[0.70983407]]
60,1992,[[0.66304238]]
61,1926,[[0.62377247]]
62,1976,[[0.62429213]]
63,1986,[[0.7027212]]
64,1957,[[0.64178986]]
65,1947,[[0.68027603]]
66,1920,[[0.68972231]]
67,1968,[[0.69235178]]
68,1946,[[0.66300656]]
69,1961,[[0.661811]]
70,2002,[[0.63089528]]
71,1932,[[0.64355628]]
72,1980,[[0.64965279]]
73,1977,[[0.64444959]]
74,1902,[[0.6263208]]
75,1931,[[0.68559136]]
76,2007,[[0.69760576]]
77,1918,[[0.6627258]]
78,1990,[[0.6438651]]
79,1939,[[0.69862954]]
80,1925,[[0.67725837]]
81,1910,[[0.61087403]]
82,1944,[[0.61961325]]
83,1940,[[0.63493076]]
84,1945,[[0.6431431]]
85,1969,[[0.63944269]]
86,1973,[[0.68538103]]
87,2003,[[0.63616127]]
88,1959,[[0.62691385]]
89,1966,[[0.64374886]]
90,1915,[[0.57311426]]
91,1942,[[0.56378]]
92,1951,[[0.64231499]]
93,1901,[[0.69174754]]
94,1930,[[0.68173049]]
95,1967,[[0.66223292]]
96,1963,[[0.68585617]]
97,1981,[[0.69164751]]
98,1938,[[0.67338758]]
99,1974,[[0.56864507]]
100,2000,[[0.71793797]]
101,1950,[[0.66718829]]
102,1927,[[0.61367845]]
103,1937,[[0.66265629]]
104,1936,[[0.66436167]]
105,2008,[[0.66881026]]
106,1965,[[0.67738109]]
107,1909,[[0.6151966]]
108,1988,[[0.65558988]]
109,1953,[[0.62679475]]
