,year,words
0,1985,"['environnementalisme', 'bien-être']"
1,1943,"['environnementalisme', 'bien-être']"
2,1993,"['environnementalisme', 'bien-être']"
3,1995,"['environnementalisme', 'bien-être']"
4,1958,"['environnementalisme', 'bien-être']"
5,1983,"['environnementalisme', 'bien-être']"
6,1919,"['environnementalisme', 'bien-être']"
7,1975,"['environnementalisme', 'bien-être']"
8,1960,"['environnementalisme', 'bien-être']"
9,1922,"['environnementalisme', 'bien-être']"
10,1928,"['environnementalisme', 'bien-être']"
11,2006,"['environnementalisme', 'bien-être']"
12,1972,"['environnementalisme', 'bien-être']"
13,1908,"['environnementalisme', 'bien-être']"
14,1916,"['environnementalisme', 'bien-être']"
15,1913,"['environnementalisme', 'bien-être']"
16,1987,"['environnementalisme', 'bien-être']"
17,1971,"['environnementalisme', 'bien-être']"
18,1906,"['environnementalisme', 'bien-être']"
19,1924,"['environnementalisme', 'bien-être']"
20,1955,"['environnementalisme', 'bien-être']"
21,1954,"['environnementalisme', 'bien-être']"
22,1956,"['environnementalisme', 'bien-être']"
23,1900,"['environnementalisme', 'bien-être']"
24,1948,"['environnementalisme', 'bien-être']"
25,2004,"['environnementalisme', 'bien-être']"
26,1978,"['environnementalisme', 'bien-être']"
27,1999,"['environnementalisme', 'bien-être']"
28,1998,"['environnementalisme', 'bien-être']"
29,1934,"['environnementalisme', 'bien-être']"
30,1997,"['environnementalisme', 'bien-être']"
31,2001,"['environnementalisme', 'bien-être']"
32,1991,"['environnementalisme', 'bien-être']"
33,1903,"['environnementalisme', 'bien-être']"
34,1962,"['environnementalisme', 'bien-être']"
35,1970,"['environnementalisme', 'bien-être']"
36,1921,"['environnementalisme', 'bien-être']"
37,1917,"['environnementalisme', 'bien-être']"
38,1923,"['environnementalisme', 'bien-être']"
39,1949,"['environnementalisme', 'bien-être']"
40,1905,"['environnementalisme', 'bien-être']"
41,1914,"['environnementalisme', 'bien-être']"
42,2009,"['environnementalisme', 'bien-être']"
43,1912,"['environnementalisme', 'bien-être']"
44,1994,"['environnementalisme', 'bien-être']"
45,1935,"['environnementalisme', 'bien-être']"
46,1984,"['environnementalisme', 'bien-être']"
47,1952,"['environnementalisme', 'bien-être']"
48,1989,"['environnementalisme', 'bien-être']"
49,1929,"['environnementalisme', 'bien-être']"
50,2005,"['environnementalisme', 'bien-être']"
51,1996,"['environnementalisme', 'bien-être']"
52,1911,"['environnementalisme', 'bien-être']"
53,1933,"['environnementalisme', 'bien-être']"
54,1982,"['environnementalisme', 'bien-être']"
55,1904,"['environnementalisme', 'bien-être']"
56,1964,"['environnementalisme', 'bien-être']"
57,1941,"['environnementalisme', 'bien-être']"
58,1979,"['environnementalisme', 'bien-être']"
59,1907,"['environnementalisme', 'bien-être']"
60,1992,"['environnementalisme', 'bien-être']"
61,1926,"['environnementalisme', 'bien-être']"
62,1976,"['environnementalisme', 'bien-être']"
63,1986,"['environnementalisme', 'bien-être']"
64,1957,"['environnementalisme', 'bien-être']"
65,1947,"['environnementalisme', 'bien-être']"
66,1920,"['environnementalisme', 'bien-être']"
67,1968,"['environnementalisme', 'bien-être']"
68,1946,"['environnementalisme', 'bien-être']"
69,1961,"['environnementalisme', 'bien-être']"
70,2002,"['environnementalisme', 'bien-être']"
71,1932,"['environnementalisme', 'bien-être']"
72,1980,"['environnementalisme', 'bien-être']"
73,1977,"['environnementalisme', 'bien-être']"
74,1902,"['environnementalisme', 'bien-être']"
75,1931,"['environnementalisme', 'bien-être']"
76,2007,"['environnementalisme', 'bien-être']"
77,1918,"['environnementalisme', 'bien-être']"
78,1990,"['environnementalisme', 'bien-être']"
79,1939,"['environnementalisme', 'bien-être']"
80,1925,"['environnementalisme', 'bien-être']"
81,1910,"['environnementalisme', 'bien-être']"
82,1944,"['environnementalisme', 'bien-être']"
83,1940,"['environnementalisme', 'bien-être']"
84,1945,"['environnementalisme', 'bien-être']"
85,1969,"['environnementalisme', 'bien-être']"
86,1973,"['environnementalisme', 'bien-être']"
87,2003,"['environnementalisme', 'bien-être']"
88,1959,"['environnementalisme', 'bien-être']"
89,1966,"['environnementalisme', 'bien-être']"
90,1915,"['environnementalisme', 'bien-être']"
91,1942,"['environnementalisme', 'bien-être']"
92,1951,"['environnementalisme', 'bien-être']"
93,1901,"['environnementalisme', 'bien-être']"
94,1930,"['environnementalisme', 'bien-être']"
95,1967,"['environnementalisme', 'bien-être']"
96,1963,"['environnementalisme', 'bien-être']"
97,1981,"['environnementalisme', 'bien-être']"
98,1938,"['environnementalisme', 'bien-être']"
99,1974,"['environnementalisme', 'bien-être']"
100,2000,"['environnementalisme', 'bien-être']"
101,1950,"['environnementalisme', 'bien-être']"
102,1927,"['environnementalisme', 'bien-être']"
103,1937,"['environnementalisme', 'bien-être']"
104,1936,"['environnementalisme', 'bien-être']"
105,2008,"['environnementalisme', 'bien-être']"
106,1965,"['environnementalisme', 'bien-être']"
107,1909,"['environnementalisme', 'bien-être']"
108,1988,"['environnementalisme', 'bien-être']"
109,1953,"['environnementalisme', 'bien-être']"
