,year,cosine_similarity
0,1985,[[0.52230928]]
1,1943,[[0.53096594]]
2,1993,[[0.52559576]]
3,1995,[[0.51029398]]
4,1958,[[0.553706]]
5,1983,[[0.54657284]]
6,1919,[[0.52425517]]
7,1975,[[0.50961017]]
8,1960,[[0.5024924]]
9,1922,[[0.54893223]]
10,1928,[[0.47442775]]
11,2006,[[0.49256705]]
12,1972,[[0.56672298]]
13,1908,[[0.5787968]]
14,1916,[[0.44880838]]
15,1913,[[0.59554304]]
16,1987,[[0.49474009]]
17,1971,[[0.49007978]]
18,1906,[[0.55571305]]
19,1924,[[0.55201733]]
20,1955,[[0.5105227]]
21,1954,[[0.55922972]]
22,1956,[[0.48240683]]
23,1900,[[0.58790917]]
24,1948,[[0.52831888]]
25,2004,[[0.49885518]]
26,1978,[[0.42788545]]
27,1999,[[0.50216346]]
28,1998,[[0.50729465]]
29,1934,[[0.52535049]]
30,1997,[[0.48048812]]
31,2001,[[0.41456223]]
32,1991,[[0.48873947]]
33,1903,[[0.58686674]]
34,1962,[[0.58356885]]
35,1970,[[0.50290621]]
36,1921,[[0.57575201]]
37,1917,[[0.5254886]]
38,1923,[[0.48054385]]
39,1949,[[0.47941156]]
40,1905,[[0.55281885]]
41,1914,[[0.67038923]]
42,2009,[[0.48672172]]
43,1912,[[0.61264107]]
44,1994,[[0.42213761]]
45,1935,[[0.50518563]]
46,1984,[[0.53882134]]
47,1952,[[0.52664412]]
48,1989,[[0.48087448]]
49,1929,[[0.56711482]]
50,2005,[[0.46266424]]
51,1996,[[0.51234777]]
52,1911,[[0.55049483]]
53,1933,[[0.48303597]]
54,1982,[[0.50506326]]
55,1904,[[0.55648791]]
56,1964,[[0.54618352]]
57,1941,[[0.58166437]]
58,1979,[[0.53298169]]
59,1907,[[0.58185598]]
60,1992,[[0.53254849]]
61,1926,[[0.59049106]]
62,1976,[[0.56727816]]
63,1986,[[0.47497287]]
64,1957,[[0.4287985]]
65,1947,[[0.52452862]]
66,1920,[[0.56730339]]
67,1968,[[0.52787449]]
68,1946,[[0.525502]]
69,1961,[[0.5070028]]
70,2002,[[0.45129135]]
71,1932,[[0.51198321]]
72,1980,[[0.48218693]]
73,1977,[[0.51765919]]
74,1902,[[0.51180588]]
75,1931,[[0.55280768]]
76,2007,[[0.45924615]]
77,1918,[[0.60487876]]
78,1990,[[0.55250304]]
79,1939,[[0.52389966]]
80,1925,[[0.45605091]]
81,1910,[[0.53436072]]
82,1944,[[0.47289529]]
83,1940,[[0.46616212]]
84,1945,[[0.52898789]]
85,1969,[[0.55075514]]
86,1973,[[0.5331717]]
87,2003,[[0.41477491]]
88,1959,[[0.42743802]]
89,1966,[[0.52209574]]
90,1915,[[0.46711687]]
91,1942,[[0.53848276]]
92,1951,[[0.42954289]]
93,1901,[[0.58323208]]
94,1930,[[0.54076672]]
95,1967,[[0.53542092]]
96,1963,[[0.52169728]]
97,1981,[[0.47468624]]
98,1938,[[0.39057209]]
99,1974,[[0.43568824]]
100,2000,[[0.49089206]]
101,1950,[[0.50374966]]
102,1927,[[0.46951766]]
103,1937,[[0.53531912]]
104,1936,[[0.50259596]]
105,2008,[[0.50657886]]
106,1965,[[0.53323551]]
107,1909,[[0.5198012]]
108,1988,[[0.49969028]]
109,1953,[[0.51994124]]
