,year,words
0,1985,"['sous-développement', 'baissier']"
1,1943,"['sous-développement', 'récession', 'baissier']"
2,1993,"['sous-développement', 'baissier']"
3,1995,"['sous-développement', 'baissier']"
4,1958,"['sous-développement', 'baissier']"
5,1983,"['sous-développement', 'baissier']"
6,1919,"['sous-développement', 'stagnation', 'récession', 'baissier']"
7,1975,"['sous-développement', 'baissier']"
8,1960,"['sous-développement', 'baissier']"
9,1922,"['sous-développement', 'récession', 'baissier']"
10,1928,"['sous-développement', 'stagnation', 'récession', 'baissier']"
11,2006,"['sous-développement', 'baissier']"
12,1972,"['sous-développement', 'baissier']"
13,1908,"['sous-développement', 'récession', 'baissier']"
14,1916,"['sous-développement', 'stagnation', 'récession', 'baissier']"
15,1913,"['sous-développement', 'stagnation', 'récession', 'baissier']"
16,1987,"['sous-développement', 'baissier']"
17,1971,"['sous-développement', 'récession', 'baissier']"
18,1906,"['sous-développement', 'stagnation', 'récession', 'baissier']"
19,1924,"['sous-développement', 'stagnation', 'récession', 'baissier']"
20,1955,"['sous-développement', 'récession', 'baissier']"
21,1954,"['sous-développement', 'récession', 'baissier']"
22,1956,"['sous-développement', 'récession', 'baissier']"
23,1900,"['sous-développement', 'récession', 'baissier']"
24,1948,"['sous-développement', 'récession', 'baissier']"
25,2004,"['sous-développement', 'baissier']"
26,1978,"['sous-développement', 'baissier']"
27,1999,"['sous-développement', 'baissier']"
28,1998,"['sous-développement', 'baissier']"
29,1934,"['sous-développement', 'récession', 'baissier']"
30,1997,"['sous-développement', 'baissier']"
31,2001,"['sous-développement', 'baissier']"
32,1991,"['sous-développement', 'baissier']"
33,1903,"['sous-développement', 'stagnation', 'récession', 'baissier']"
34,1962,"['sous-développement', 'baissier']"
35,1970,"['sous-développement', 'baissier']"
36,1921,"['sous-développement', 'récession', 'baissier']"
37,1917,"['sous-développement', 'récession', 'baissier']"
38,1923,"['sous-développement', 'stagnation', 'récession', 'baissier']"
39,1949,"['sous-développement', 'récession', 'baissier']"
40,1905,"['sous-développement', 'récession', 'baissier']"
41,1914,"['sous-développement', 'récession', 'baissier']"
42,2009,"['sous-développement', 'baissier']"
43,1912,"['sous-développement', 'récession', 'baissier']"
44,1994,"['sous-développement', 'baissier']"
45,1935,"['sous-développement', 'stagnation', 'récession', 'baissier']"
46,1984,"['sous-développement', 'baissier']"
47,1952,"['sous-développement', 'récession', 'baissier']"
48,1989,"['sous-développement', 'baissier']"
49,1929,"['sous-développement', 'récession', 'baissier']"
50,2005,"['sous-développement', 'baissier']"
51,1996,"['sous-développement', 'baissier']"
52,1911,"['sous-développement', 'récession', 'baissier']"
53,1933,"['sous-développement', 'récession', 'baissier']"
54,1982,"['sous-développement', 'baissier']"
55,1904,"['sous-développement', 'stagnation', 'récession', 'baissier']"
56,1964,"['sous-développement', 'récession', 'baissier']"
57,1941,"['sous-développement', 'récession', 'baissier']"
58,1979,"['sous-développement', 'baissier']"
59,1907,"['sous-développement', 'récession', 'baissier']"
60,1992,"['sous-développement', 'baissier']"
61,1926,"['sous-développement', 'récession', 'baissier']"
62,1976,"['sous-développement', 'baissier']"
63,1986,"['sous-développement', 'baissier']"
64,1957,"['sous-développement', 'récession', 'baissier']"
65,1947,"['sous-développement', 'récession', 'baissier']"
66,1920,"['sous-développement', 'récession', 'baissier']"
67,1968,"['sous-développement', 'baissier']"
68,1946,"['sous-développement', 'récession', 'baissier']"
69,1961,"['sous-développement', 'baissier']"
70,2002,"['sous-développement', 'baissier']"
71,1932,"['sous-développement', 'récession', 'baissier']"
72,1980,"['sous-développement', 'baissier']"
73,1977,"['sous-développement', 'baissier']"
74,1902,"['sous-développement', 'stagnation', 'récession', 'baissier']"
75,1931,"['sous-développement', 'récession', 'baissier']"
76,2007,"['sous-développement', 'stagnation', 'baissier']"
77,1918,"['sous-développement', 'récession', 'baissier']"
78,1990,"['sous-développement', 'baissier']"
79,1939,"['sous-développement', 'stagnation', 'récession', 'baissier']"
80,1925,"['sous-développement', 'stagnation', 'récession', 'baissier']"
81,1910,"['sous-développement', 'récession', 'baissier']"
82,1944,"['sous-développement', 'stagnation', 'récession', 'baissier']"
83,1940,"['sous-développement', 'stagnation', 'récession', 'baissier']"
84,1945,"['sous-développement', 'récession', 'baissier']"
85,1969,"['sous-développement', 'baissier']"
86,1973,"['sous-développement', 'baissier']"
87,2003,"['sous-développement', 'baissier']"
88,1959,"['sous-développement', 'baissier']"
89,1966,"['sous-développement', 'baissier']"
90,1915,"['sous-développement', 'récession', 'baissier']"
91,1942,"['sous-développement', 'récession', 'baissier']"
92,1951,"['sous-développement', 'stagnation', 'récession', 'baissier']"
93,1901,"['sous-développement', 'récession', 'baissier']"
94,1930,"['sous-développement', 'récession', 'baissier']"
95,1967,"['sous-développement', 'récession', 'baissier']"
96,1963,"['sous-développement', 'baissier']"
97,1981,"['sous-développement', 'baissier']"
98,1938,"['sous-développement', 'stagnation', 'récession', 'baissier']"
99,1974,"['sous-développement', 'baissier']"
100,2000,"['sous-développement', 'baissier']"
101,1950,"['sous-développement', 'récession', 'baissier']"
102,1927,"['sous-développement', 'stagnation', 'récession', 'baissier']"
103,1937,"['sous-développement', 'récession', 'baissier']"
104,1936,"['sous-développement', 'stagnation', 'récession', 'baissier']"
105,2008,"['sous-développement', 'baissier']"
106,1965,"['sous-développement', 'baissier']"
107,1909,"['sous-développement', 'récession', 'baissier']"
108,1988,"['sous-développement', 'baissier']"
109,1953,"['sous-développement', 'récession', 'baissier']"
