,year,cosine_similarity
0,1985,[[0.78203354]]
1,1943,[[0.66229282]]
2,1993,[[0.74802648]]
3,1995,[[0.75905981]]
4,1958,[[0.68389539]]
5,1983,[[0.72717442]]
6,1919,[[0.73023907]]
7,1975,[[0.75995937]]
8,1960,[[0.77560725]]
9,1922,[[0.69676991]]
10,1928,[[0.68786518]]
11,2006,[[0.63480205]]
12,1972,[[0.7957531]]
13,1908,[[0.67214356]]
14,1916,[[0.65348445]]
15,1913,[[0.63678731]]
16,1987,[[0.74292522]]
17,1971,[[0.70927593]]
18,1906,[[0.68895919]]
19,1924,[[0.6285904]]
20,1955,[[0.66877703]]
21,1954,[[0.71891396]]
22,1956,[[0.65896279]]
23,1900,[[0.66592311]]
24,1948,[[0.64955268]]
25,2004,[[0.72939394]]
26,1978,[[0.75406302]]
27,1999,[[0.72528744]]
28,1998,[[0.7301286]]
29,1934,[[0.77853634]]
30,1997,[[0.70302422]]
31,2001,[[0.69135308]]
32,1991,[[0.75402532]]
33,1903,[[0.69573152]]
34,1962,[[0.74911363]]
35,1970,[[0.73774307]]
36,1921,[[0.58167838]]
37,1917,[[0.70952288]]
38,1923,[[0.72914353]]
39,1949,[[0.69560032]]
40,1905,[[0.7280792]]
41,1914,[[0.68633585]]
42,2009,[[0.66438613]]
43,1912,[[0.66825718]]
44,1994,[[0.71858022]]
45,1935,[[0.64929869]]
46,1984,[[0.77080595]]
47,1952,[[0.61247876]]
48,1989,[[0.74297868]]
49,1929,[[0.72648617]]
50,2005,[[0.67204789]]
51,1996,[[0.71313643]]
52,1911,[[0.68251092]]
53,1933,[[0.66267183]]
54,1982,[[0.71331585]]
55,1904,[[0.69474747]]
56,1964,[[0.76592338]]
57,1941,[[0.6966063]]
58,1979,[[0.76126564]]
59,1907,[[0.64459293]]
60,1992,[[0.72553356]]
61,1926,[[0.70700206]]
62,1976,[[0.77385694]]
63,1986,[[0.78850725]]
64,1957,[[0.63491514]]
65,1947,[[0.70021889]]
66,1920,[[0.77242029]]
67,1968,[[0.73526065]]
68,1946,[[0.65268154]]
69,1961,[[0.68500353]]
70,2002,[[0.71148458]]
71,1932,[[0.70802537]]
72,1980,[[0.78042504]]
73,1977,[[0.77203464]]
74,1902,[[0.68561295]]
75,1931,[[0.70101045]]
76,2007,[[0.67689354]]
77,1918,[[0.67096661]]
78,1990,[[0.76462896]]
79,1939,[[0.58487852]]
80,1925,[[0.72562522]]
81,1910,[[0.66312777]]
82,1944,[[0.67496891]]
83,1940,[[0.63775389]]
84,1945,[[0.73821526]]
85,1969,[[0.70852575]]
86,1973,[[0.76062584]]
87,2003,[[0.71121277]]
88,1959,[[0.72810726]]
89,1966,[[0.77443871]]
90,1915,[[0.70809309]]
91,1942,[[0.59581269]]
92,1951,[[0.75624727]]
93,1901,[[0.70575574]]
94,1930,[[0.71719446]]
95,1967,[[0.69240299]]
96,1963,[[0.74055341]]
97,1981,[[0.7339818]]
98,1938,[[0.62551784]]
99,1974,[[0.72649674]]
100,2000,[[0.70291768]]
101,1950,[[0.66758215]]
102,1927,[[0.69203898]]
103,1937,[[0.66342358]]
104,1936,[[0.68175894]]
105,2008,[[0.71331209]]
106,1965,[[0.69156951]]
107,1909,[[0.69749821]]
108,1988,[[0.74021073]]
109,1953,[[0.60355812]]
