,year,cosine_similarity
0,1985,[[0.598112]]
1,1943,[[0.52060829]]
2,1993,[[0.63129687]]
3,1995,[[0.60741824]]
4,1958,[[0.62187187]]
5,1983,[[0.64617177]]
6,1919,[[0.56374388]]
7,1975,[[0.6181157]]
8,1960,[[0.57521816]]
9,1922,[[0.55560414]]
10,1928,[[0.54752521]]
11,2006,[[0.6041103]]
12,1972,[[0.61111715]]
13,1908,[[0.55450809]]
14,1916,[[0.56276505]]
15,1913,[[0.57538382]]
16,1987,[[0.56991744]]
17,1971,[[0.59076346]]
18,1906,[[0.54708831]]
19,1924,[[0.55914544]]
20,1955,[[0.59206686]]
21,1954,[[0.59225184]]
22,1956,[[0.60359327]]
23,1900,[[0.57771953]]
24,1948,[[0.61051437]]
25,2004,[[0.61916452]]
26,1978,[[0.62363129]]
27,1999,[[0.63202873]]
28,1998,[[0.62687822]]
29,1934,[[0.59609583]]
30,1997,[[0.6216119]]
31,2001,[[0.61987375]]
32,1991,[[0.62666349]]
33,1903,[[0.5215867]]
34,1962,[[0.62206516]]
35,1970,[[0.61650617]]
36,1921,[[0.54467425]]
37,1917,[[0.54958973]]
38,1923,[[0.55304946]]
39,1949,[[0.60710458]]
40,1905,[[0.63635615]]
41,1914,[[0.55084845]]
42,2009,[[0.58541566]]
43,1912,[[0.46798606]]
44,1994,[[0.61577304]]
45,1935,[[0.60134308]]
46,1984,[[0.61783274]]
47,1952,[[0.58806778]]
48,1989,[[0.61223927]]
49,1929,[[0.56227242]]
50,2005,[[0.62203057]]
51,1996,[[0.61124489]]
52,1911,[[0.49691475]]
53,1933,[[0.61574307]]
54,1982,[[0.59248535]]
55,1904,[[0.49060172]]
56,1964,[[0.60386203]]
57,1941,[[0.54853357]]
58,1979,[[0.64058236]]
59,1907,[[0.57735137]]
60,1992,[[0.59156933]]
61,1926,[[0.5195796]]
62,1976,[[0.61737999]]
63,1986,[[0.617697]]
64,1957,[[0.5428131]]
65,1947,[[0.50701504]]
66,1920,[[0.52793974]]
67,1968,[[0.65880215]]
68,1946,[[0.57711929]]
69,1961,[[0.60379859]]
70,2002,[[0.61650962]]
71,1932,[[0.56404915]]
72,1980,[[0.61757432]]
73,1977,[[0.63448134]]
74,1902,[[0.50019382]]
75,1931,[[0.54605071]]
76,2007,[[0.62626262]]
77,1918,[[0.5509395]]
78,1990,[[0.62284758]]
79,1939,[[0.61392936]]
80,1925,[[0.55478906]]
81,1910,[[0.58085794]]
82,1944,[[0.54732691]]
83,1940,[[0.5389835]]
84,1945,[[0.58494093]]
85,1969,[[0.60472653]]
86,1973,[[0.62616518]]
87,2003,[[0.60087193]]
88,1959,[[0.59747299]]
89,1966,[[0.61790552]]
90,1915,[[0.53830612]]
91,1942,[[0.51233846]]
92,1951,[[0.54389518]]
93,1901,[[0.54525846]]
94,1930,[[0.54376029]]
95,1967,[[0.60866147]]
96,1963,[[0.63582109]]
97,1981,[[0.58462479]]
98,1938,[[0.60571476]]
99,1974,[[0.59511747]]
100,2000,[[0.62056917]]
101,1950,[[0.58887815]]
102,1927,[[0.5123696]]
103,1937,[[0.59401218]]
104,1936,[[0.60777452]]
105,2008,[[0.66020732]]
106,1965,[[0.60178658]]
107,1909,[[0.52666656]]
108,1988,[[0.63248053]]
109,1953,[[0.60555758]]
