,year,words
0,1943,"['authoritarian', 'communism']"
1,1993,['authoritarian']
2,1958,"['bureaucracy', 'authoritarian']"
3,1983,['communism']
4,1919,"['authoritarian', 'communism']"
5,1975,['authoritarian']
6,1960,['authoritarian']
7,1922,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
8,1928,"['bureaucracy', 'authoritarian', 'communism']"
9,2006,"['bureaucracy', 'authoritarian']"
10,1972,['authoritarian']
11,1908,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
12,1916,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
13,1913,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
14,1987,['authoritarian']
15,1971,['authoritarian']
16,1906,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
17,1924,"['bureaucracy', 'authoritarian', 'communism']"
18,1955,"['bureaucracy', 'authoritarian']"
19,1954,"['bureaucracy', 'authoritarian', 'communism']"
20,1956,"['bureaucracy', 'authoritarian', 'communism']"
21,1900,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
22,1948,"['bureaucracy', 'authoritarian', 'communism']"
23,2004,['authoritarian']
24,1978,['authoritarian']
25,1934,"['authoritarian', 'communism']"
26,1997,['authoritarian']
27,2001,['authoritarian']
28,1991,['authoritarian']
29,1903,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
30,1962,"['authoritarian', 'communism']"
31,1970,['authoritarian']
32,1921,"['bureaucracy', 'authoritarian', 'communism']"
33,1917,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
34,1923,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
35,1949,"['bureaucracy', 'authoritarian', 'communism']"
36,1905,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
37,1914,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
38,1912,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
39,1994,['authoritarian']
40,1935,"['bureaucracy', 'authoritarian', 'communism']"
41,1984,['authoritarian']
42,1952,"['bureaucracy', 'authoritarian']"
43,1989,['authoritarian']
44,1929,"['bureaucracy', 'authoritarian', 'communism']"
45,1996,['authoritarian']
46,1911,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
47,1933,"['bureaucracy', 'authoritarian', 'communism']"
48,1982,['authoritarian']
49,1904,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
50,1964,['authoritarian']
51,1941,"['authoritarian', 'communism']"
52,1979,['authoritarian']
53,1907,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
54,1992,['authoritarian']
55,1926,"['bureaucracy', 'authoritarian', 'communism']"
56,1976,['authoritarian']
57,1986,['authoritarian']
58,1957,"['bureaucracy', 'authoritarian', 'communism']"
59,1947,"['authoritarian', 'communism']"
60,1920,"['dictatorship', 'authoritarian', 'communism']"
61,1968,['authoritarian']
62,1946,"['bureaucracy', 'authoritarian', 'communism']"
63,1961,"['bureaucracy', 'authoritarian', 'communism']"
64,1932,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
65,1980,['authoritarian']
66,1977,['authoritarian']
67,1902,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
68,1931,"['bureaucracy', 'authoritarian', 'communism']"
69,2007,"['bureaucracy', 'authoritarian']"
70,1918,"['dictatorship', 'authoritarian', 'communism']"
71,1990,['authoritarian']
72,1939,"['bureaucracy', 'authoritarian', 'communism']"
73,1925,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
74,1910,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
75,1944,"['authoritarian', 'communism']"
76,1940,"['bureaucracy', 'authoritarian', 'communism']"
77,1945,"['authoritarian', 'communism']"
78,1969,['authoritarian']
79,1973,['authoritarian']
80,1959,"['authoritarian', 'communism']"
81,1966,"['authoritarian', 'communism']"
82,1915,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
83,1942,"['bureaucracy', 'authoritarian']"
84,1951,['authoritarian']
85,1901,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
86,1930,"['bureaucracy', 'authoritarian', 'communism']"
87,1967,['bureaucracy']
88,1963,['authoritarian']
89,1981,['authoritarian']
90,1938,"['bureaucracy', 'authoritarian', 'communism']"
91,1974,"['authoritarian', 'communism']"
92,2000,['authoritarian']
93,1950,"['bureaucracy', 'authoritarian']"
94,1927,"['bureaucracy', 'authoritarian', 'communism']"
95,1937,"['bureaucracy', 'authoritarian']"
96,1936,"['bureaucracy', 'authoritarian', 'communism']"
97,1965,"['bureaucracy', 'authoritarian']"
98,1909,"['bureaucracy', 'dictatorship', 'authoritarian', 'communism']"
99,1988,['authoritarian']
100,1953,"['bureaucracy', 'authoritarian', 'communism']"
