,year,cosine_similarity
0,1985,[[0.5257648]]
1,1943,[[0.45847422]]
2,1993,[[0.67457157]]
3,1995,[[0.66961249]]
4,1958,[[0.56058589]]
5,1983,[[0.48780095]]
6,1919,[[0.54801639]]
7,1975,[[0.48662219]]
8,1960,[[0.5000016]]
9,1922,[[0.53371948]]
10,1928,[[0.53070263]]
11,2006,[[0.64729834]]
12,1972,[[0.53469395]]
13,1908,[[0.49812762]]
14,1916,[[0.49322151]]
15,1913,[[0.52469809]]
16,1987,[[0.64926259]]
17,1971,[[0.53143704]]
18,1906,[[0.53456781]]
19,1924,[[0.50093279]]
20,1955,[[0.57008905]]
21,1954,[[0.54947159]]
22,1956,[[0.54453655]]
23,1900,[[0.51630737]]
24,1948,[[0.4972412]]
25,2004,[[0.70624351]]
26,1978,[[0.48993854]]
27,1999,[[0.71936662]]
28,1998,[[0.66809755]]
29,1934,[[0.50891483]]
30,1997,[[0.75575149]]
31,2001,[[0.7356875]]
32,1991,[[0.72646397]]
33,1903,[[0.5336485]]
34,1962,[[0.71638297]]
35,1970,[[0.55396086]]
36,1921,[[0.54356091]]
37,1917,[[0.51403038]]
38,1923,[[0.56621673]]
39,1949,[[0.52545166]]
40,1905,[[0.5447103]]
41,1914,[[0.5471528]]
42,2009,[[0.70133141]]
43,1912,[[0.50699972]]
44,1994,[[0.7467491]]
45,1935,[[0.49245254]]
46,1984,[[0.68107999]]
47,1952,[[0.53197113]]
48,1989,[[0.76167798]]
49,1929,[[0.56199356]]
50,2005,[[0.69738059]]
51,1996,[[0.747797]]
52,1911,[[0.55227027]]
53,1933,[[0.55187613]]
54,1982,[[0.5002058]]
55,1904,[[0.57674764]]
56,1964,[[0.65022757]]
57,1941,[[0.51267777]]
58,1979,[[0.51836906]]
59,1907,[[0.47812344]]
60,1992,[[0.72941108]]
61,1926,[[0.5416727]]
62,1976,[[0.70379399]]
63,1986,[[0.67127967]]
64,1957,[[0.51149933]]
65,1947,[[0.68595761]]
66,1920,[[0.52246112]]
67,1968,[[0.47811175]]
68,1946,[[0.4996373]]
69,1961,[[0.51959322]]
70,2002,[[0.70692483]]
71,1932,[[0.56964195]]
72,1980,[[0.53359297]]
73,1977,[[0.53614709]]
74,1902,[[0.48684497]]
75,1931,[[0.54100806]]
76,2007,[[0.66886345]]
77,1918,[[0.44206101]]
78,1990,[[0.76273944]]
79,1939,[[0.49209501]]
80,1925,[[0.56543646]]
81,1910,[[0.47649194]]
82,1944,[[0.4365212]]
83,1940,[[0.49767209]]
84,1945,[[0.55771358]]
85,1969,[[0.74774767]]
86,1973,[[0.68638164]]
87,2003,[[0.70681403]]
88,1959,[[0.52717674]]
89,1966,[[0.50555111]]
90,1915,[[0.54630107]]
91,1942,[[0.4264657]]
92,1951,[[0.52289037]]
93,1901,[[0.56782227]]
94,1930,[[0.57992035]]
95,1967,[[0.50775307]]
96,1963,[[0.56143524]]
97,1981,[[0.7557166]]
98,1938,[[0.5094241]]
99,1974,[[0.53517567]]
100,2000,[[0.75006153]]
101,1950,[[0.55167208]]
102,1927,[[0.48401171]]
103,1937,[[0.52372122]]
104,1936,[[0.55431726]]
105,2008,[[0.69560755]]
106,1965,[[0.50318344]]
107,1909,[[0.52797149]]
108,1988,[[0.79193938]]
109,1953,[[0.49355305]]
