,year,words
0,1985,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
1,1943,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
2,1993,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
3,1995,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'pluralism']"
4,1958,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
5,1983,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
6,1919,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
7,1975,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
8,1960,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
9,1922,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
10,1928,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
11,2006,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
12,1972,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
13,1908,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
14,1916,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
15,1913,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
16,1987,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'pluralism']"
17,1971,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
18,1906,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
19,1924,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
20,1955,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
21,1954,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
22,1956,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
23,1900,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
24,1948,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
25,2004,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
26,1978,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
27,1999,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
28,1998,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
29,1934,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
30,1997,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
31,2001,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
32,1991,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
33,1903,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
34,1962,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
35,1970,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
36,1921,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
37,1917,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
38,1923,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
39,1949,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
40,1905,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
41,1914,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
42,2009,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
43,1912,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
44,1994,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
45,1935,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
46,1984,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
47,1952,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
48,1989,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
49,1929,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
50,2005,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
51,1996,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
52,1911,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
53,1933,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
54,1982,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
55,1904,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
56,1964,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
57,1941,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
58,1979,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
59,1907,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
60,1992,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
61,1926,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
62,1976,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
63,1986,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
64,1957,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
65,1947,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
66,1920,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
67,1968,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
68,1946,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
69,1961,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
70,2002,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
71,1932,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
