,year,cosine_similarity
0,1985,[[0.78752636]]
1,1943,[[0.73238583]]
2,1993,[[0.73385945]]
3,1995,[[0.76373407]]
4,1958,[[0.7841691]]
5,1983,[[0.77786363]]
6,1919,[[0.56922298]]
7,1975,[[0.77122497]]
8,1960,[[0.77743247]]
9,1922,[[0.55267539]]
10,1928,[[0.70696601]]
11,2006,[[0.74538303]]
12,1972,[[0.77289114]]
13,1908,[[0.56910377]]
14,1916,[[0.5067767]]
15,1913,[[0.537981]]
16,1987,[[0.76308855]]
17,1971,[[0.75400913]]
18,1906,[[0.57719237]]
19,1924,[[0.59191268]]
20,1955,[[0.72842353]]
21,1954,[[0.7231142]]
22,1956,[[0.74420228]]
23,1900,[[0.59534695]]
24,1948,[[0.72110795]]
25,2004,[[0.75940683]]
26,1978,[[0.776285]]
27,1999,[[0.78036123]]
28,1998,[[0.74672205]]
29,1934,[[0.76549678]]
30,1997,[[0.76022581]]
31,2001,[[0.77986206]]
32,1991,[[0.77776871]]
33,1903,[[0.61499012]]
34,1962,[[0.79628544]]
35,1970,[[0.80362915]]
36,1921,[[0.50556944]]
37,1917,[[0.49394469]]
38,1923,[[0.75659906]]
39,1949,[[0.76986883]]
40,1905,[[0.52630166]]
41,1914,[[0.56422181]]
42,2009,[[0.76074902]]
43,1912,[[0.58855041]]
44,1994,[[0.76415536]]
45,1935,[[0.69692637]]
46,1984,[[0.77435231]]
47,1952,[[0.67468718]]
48,1989,[[0.73912182]]
49,1929,[[0.5707641]]
50,2005,[[0.73725967]]
51,1996,[[0.7258417]]
52,1911,[[0.56945103]]
53,1933,[[0.77388412]]
54,1982,[[0.76005469]]
55,1904,[[0.59358033]]
56,1964,[[0.75614277]]
57,1941,[[0.73178149]]
58,1979,[[0.77627048]]
59,1907,[[0.55186221]]
60,1992,[[0.73518201]]
61,1926,[[0.55953487]]
62,1976,[[0.76749899]]
63,1986,[[0.76902496]]
64,1957,[[0.7096501]]
65,1947,[[0.72805877]]
66,1920,[[0.74572346]]
67,1968,[[0.75468799]]
68,1946,[[0.69362224]]
69,1961,[[0.70140236]]
70,2002,[[0.71273867]]
71,1932,[[0.72973192]]
72,1980,[[0.80217326]]
73,1977,[[0.74683122]]
74,1902,[[0.55758024]]
75,1931,[[0.75689164]]
76,2007,[[0.76430886]]
77,1918,[[0.43789388]]
78,1990,[[0.76272634]]
79,1939,[[0.70445213]]
80,1925,[[0.58796683]]
81,1910,[[0.62499419]]
82,1944,[[0.70275576]]
83,1940,[[0.67300295]]
84,1945,[[0.68933778]]
85,1969,[[0.78471808]]
86,1973,[[0.8010418]]
87,2003,[[0.73566314]]
88,1959,[[0.7410644]]
89,1966,[[0.74291]]
90,1915,[[0.53350352]]
91,1942,[[0.69794365]]
92,1951,[[0.70550026]]
93,1901,[[0.57869158]]
94,1930,[[0.76554663]]
95,1967,[[0.79958495]]
96,1963,[[0.72646519]]
97,1981,[[0.79627945]]
98,1938,[[0.69147781]]
99,1974,[[0.72131468]]
100,2000,[[0.77240845]]
101,1950,[[0.79277219]]
102,1927,[[0.72403337]]
103,1937,[[0.78300472]]
104,1936,[[0.78048252]]
105,2008,[[0.77743745]]
106,1965,[[0.79008557]]
107,1909,[[0.53692317]]
108,1988,[[0.83642244]]
109,1953,[[0.67072433]]
