,year,words
0,1985,['globalization']
1,1943,"['industrialization', 'modernization', 'globalization']"
2,1993,['globalization']
3,1958,"['modernization', 'globalization']"
4,1983,['globalization']
5,1919,"['industrialization', 'modernization', 'globalization', 'capitalism']"
6,1975,['globalization']
7,1960,"['modernization', 'globalization']"
8,1922,"['industrialization', 'modernization', 'globalization', 'capitalism']"
9,1928,"['industrialization', 'modernization', 'globalization']"
10,2006,['modernization']
11,1972,"['modernization', 'globalization']"
12,1908,"['industrialization', 'modernization', 'globalization', 'capitalism']"
13,1916,"['industrialization', 'modernization', 'globalization', 'capitalism']"
14,1913,"['industrialization', 'modernization', 'globalization', 'capitalism']"
15,1987,['globalization']
16,1971,"['modernization', 'globalization']"
17,1906,"['industrialization', 'modernization', 'globalization', 'capitalism']"
18,1924,"['industrialization', 'modernization', 'globalization', 'capitalism']"
19,1955,"['industrialization', 'modernization', 'globalization']"
20,1954,"['industrialization', 'modernization', 'globalization']"
21,1956,"['industrialization', 'modernization', 'globalization']"
22,1900,"['industrialization', 'modernization', 'globalization', 'capitalism']"
23,1948,"['industrialization', 'modernization', 'globalization']"
24,1978,['globalization']
25,1934,"['industrialization', 'modernization', 'globalization']"
26,1991,['globalization']
27,1903,"['industrialization', 'modernization', 'globalization', 'capitalism']"
28,1962,"['modernization', 'globalization']"
29,1970,"['modernization', 'globalization']"
30,1921,"['industrialization', 'modernization', 'globalization', 'capitalism']"
31,1917,"['industrialization', 'modernization', 'globalization', 'capitalism']"
32,1923,"['industrialization', 'modernization', 'globalization']"
33,1949,"['industrialization', 'modernization', 'globalization']"
34,1905,"['industrialization', 'modernization', 'globalization', 'capitalism']"
35,1914,"['industrialization', 'modernization', 'globalization', 'capitalism']"
36,1912,"['industrialization', 'modernization', 'globalization', 'capitalism']"
37,1994,['globalization']
38,1935,"['industrialization', 'modernization', 'globalization']"
39,1984,['globalization']
40,1952,"['industrialization', 'modernization', 'globalization']"
41,1989,['globalization']
42,1929,"['industrialization', 'modernization', 'globalization', 'capitalism']"
43,1911,"['industrialization', 'modernization', 'globalization', 'capitalism']"
44,1933,"['industrialization', 'modernization', 'globalization']"
45,1982,['globalization']
46,1904,"['industrialization', 'modernization', 'globalization', 'capitalism']"
47,1964,"['industrialization', 'modernization', 'globalization']"
48,1941,"['modernization', 'globalization']"
49,1979,['globalization']
50,1907,"['industrialization', 'modernization', 'globalization', 'capitalism']"
51,1992,['globalization']
52,1926,"['industrialization', 'modernization', 'globalization', 'capitalism']"
53,1976,['globalization']
54,1986,['globalization']
55,1957,"['industrialization', 'modernization', 'globalization']"
56,1947,"['industrialization', 'modernization', 'globalization']"
57,1920,"['industrialization', 'modernization', 'globalization']"
58,1968,"['modernization', 'globalization']"
59,1946,"['industrialization', 'modernization', 'globalization']"
60,1961,"['industrialization', 'modernization', 'globalization']"
61,1932,"['industrialization', 'modernization', 'globalization']"
62,1980,['globalization']
63,1977,"['modernization', 'globalization']"
64,1902,"['industrialization', 'modernization', 'globalization', 'capitalism']"
65,1931,"['industrialization', 'modernization', 'globalization']"
66,2007,['modernization']
67,1918,"['industrialization', 'modernization', 'globalization', 'capitalism']"
68,1990,['globalization']
69,1939,"['industrialization', 'modernization', 'globalization']"
70,1925,"['industrialization', 'modernization', 'globalization', 'capitalism']"
71,1910,"['industrialization', 'modernization', 'globalization', 'capitalism']"
72,1944,"['industrialization', 'modernization', 'globalization']"
73,1940,"['industrialization', 'modernization', 'globalization']"
74,1945,"['industrialization', 'modernization', 'globalization']"
75,1969,['globalization']
76,1973,"['modernization', 'globalization']"
77,1959,"['modernization', 'globalization']"
78,1966,"['industrialization', 'modernization', 'globalization']"
79,1915,"['industrialization', 'modernization', 'globalization', 'capitalism']"
80,1942,"['modernization', 'globalization']"
81,1951,"['industrialization', 'modernization', 'globalization']"
82,1901,"['industrialization', 'modernization', 'globalization', 'capitalism']"
83,1930,"['industrialization', 'modernization', 'globalization']"
84,1967,"['modernization', 'globalization']"
85,1963,"['industrialization', 'modernization', 'globalization']"
86,1981,['globalization']
87,1938,"['industrialization', 'modernization', 'globalization']"
88,1974,['globalization']
89,1950,"['modernization', 'globalization']"
90,1927,"['industrialization', 'modernization', 'globalization']"
91,1937,"['industrialization', 'modernization', 'globalization']"
92,1936,"['industrialization', 'modernization', 'globalization']"
93,2008,['modernization']
94,1965,"['modernization', 'globalization']"
95,1909,"['industrialization', 'modernization', 'globalization', 'capitalism']"
96,1988,['globalization']
97,1953,"['industrialization', 'modernization', 'globalization']"
