,year,cosine_similarity
0,1985,[[0.72270053]]
1,1943,[[0.67645008]]
2,1993,[[0.66266096]]
3,1995,[[0.70996055]]
4,1958,[[0.74344737]]
5,1983,[[0.6853971]]
6,1919,[[0.71725885]]
7,1975,[[0.71230825]]
8,1960,[[0.70920795]]
9,1922,[[0.72148143]]
10,1928,[[0.71132964]]
11,2006,[[0.67255614]]
12,1972,[[0.67531557]]
13,1908,[[0.69254337]]
14,1916,[[0.7175825]]
15,1913,[[0.71404758]]
16,1987,[[0.68292426]]
17,1971,[[0.67370781]]
18,1906,[[0.75862207]]
19,1924,[[0.69545966]]
20,1955,[[0.75818456]]
21,1954,[[0.71837977]]
22,1956,[[0.7194177]]
23,1900,[[0.72280721]]
24,1948,[[0.65021249]]
25,2004,[[0.6443862]]
26,1978,[[0.69789376]]
27,1999,[[0.69355439]]
28,1998,[[0.66015091]]
29,1934,[[0.74442518]]
30,1997,[[0.73488943]]
31,2001,[[0.68634944]]
32,1991,[[0.69748948]]
33,1903,[[0.71746341]]
34,1962,[[0.70276577]]
35,1970,[[0.70044631]]
36,1921,[[0.66655861]]
37,1917,[[0.77267148]]
38,1923,[[0.75117182]]
39,1949,[[0.74249649]]
40,1905,[[0.7443337]]
41,1914,[[0.72270379]]
42,2009,[[0.66861539]]
43,1912,[[0.72767793]]
44,1994,[[0.63519308]]
45,1935,[[0.67406834]]
46,1984,[[0.67080079]]
47,1952,[[0.70587939]]
48,1989,[[0.6992694]]
49,1929,[[0.79027519]]
50,2005,[[0.64873678]]
51,1996,[[0.66465051]]
52,1911,[[0.67989965]]
53,1933,[[0.72928071]]
54,1982,[[0.66096198]]
55,1904,[[0.71086834]]
56,1964,[[0.70246838]]
57,1941,[[0.68948585]]
58,1979,[[0.68035414]]
59,1907,[[0.68034369]]
60,1992,[[0.7004995]]
61,1926,[[0.76863079]]
62,1976,[[0.70543288]]
63,1986,[[0.68146599]]
64,1957,[[0.66855302]]
65,1947,[[0.70354952]]
66,1920,[[0.76207993]]
67,1968,[[0.70016835]]
68,1946,[[0.71287766]]
69,1961,[[0.6924111]]
70,2002,[[0.62456348]]
71,1932,[[0.71137377]]
72,1980,[[0.71621808]]
73,1977,[[0.72822129]]
74,1902,[[0.7345413]]
75,1931,[[0.76523009]]
76,2007,[[0.69995067]]
77,1918,[[0.65370394]]
78,1990,[[0.71061277]]
79,1939,[[0.68012714]]
80,1925,[[0.769088]]
81,1910,[[0.70866108]]
82,1944,[[0.6584709]]
83,1940,[[0.65519812]]
84,1945,[[0.6654796]]
85,1969,[[0.70485949]]
86,1973,[[0.70631828]]
87,2003,[[0.69681648]]
88,1959,[[0.6940115]]
89,1966,[[0.74113707]]
90,1915,[[0.73401967]]
91,1942,[[0.6466044]]
92,1951,[[0.70577517]]
93,1901,[[0.73183815]]
94,1930,[[0.72882748]]
95,1967,[[0.72636065]]
96,1963,[[0.72532088]]
97,1981,[[0.67673846]]
98,1938,[[0.66907924]]
99,1974,[[0.67742168]]
100,2000,[[0.67408375]]
101,1950,[[0.69030366]]
102,1927,[[0.71118153]]
103,1937,[[0.71264894]]
104,1936,[[0.71698057]]
105,2008,[[0.71711138]]
106,1965,[[0.76016502]]
107,1909,[[0.74857657]]
108,1988,[[0.65025191]]
109,1953,[[0.66937094]]
