,year,cosine_similarity
0,1985,[[0.81354969]]
1,1943,[[0.78529291]]
2,1993,[[0.77533706]]
3,1995,[[0.77026165]]
4,1958,[[0.81119638]]
5,1983,[[0.78288871]]
6,1919,[[0.79895715]]
7,1975,[[0.82462762]]
8,1960,[[0.82240463]]
9,1922,[[0.75718082]]
10,1928,[[0.8072402]]
11,2006,[[0.78060778]]
12,1972,[[0.82707754]]
13,1908,[[0.70748664]]
14,1916,[[0.72057134]]
15,1913,[[0.76235755]]
16,1987,[[0.78935752]]
17,1971,[[0.80871883]]
18,1906,[[0.77032613]]
19,1924,[[0.69140587]]
20,1955,[[0.85387733]]
21,1954,[[0.80962655]]
22,1956,[[0.81595065]]
23,1900,[[0.78792298]]
24,1948,[[0.74828888]]
25,2004,[[0.77718808]]
26,1978,[[0.78271714]]
27,1999,[[0.81790646]]
28,1998,[[0.7882]]
29,1934,[[0.82023284]]
30,1997,[[0.7903175]]
31,2001,[[0.80310992]]
32,1991,[[0.80727387]]
33,1903,[[0.72113024]]
34,1962,[[0.81737134]]
35,1970,[[0.80548804]]
36,1921,[[0.71481101]]
37,1917,[[0.77644201]]
38,1923,[[0.79169721]]
39,1949,[[0.86459446]]
40,1905,[[0.7495925]]
41,1914,[[0.76593317]]
42,2009,[[0.76784807]]
43,1912,[[0.72665923]]
44,1994,[[0.78008215]]
45,1935,[[0.76654241]]
46,1984,[[0.80028872]]
47,1952,[[0.73398366]]
48,1989,[[0.8141723]]
49,1929,[[0.77763875]]
50,2005,[[0.79630199]]
51,1996,[[0.78932296]]
52,1911,[[0.76219709]]
53,1933,[[0.82501715]]
54,1982,[[0.78542909]]
55,1904,[[0.72944943]]
56,1964,[[0.80201349]]
57,1941,[[0.76775305]]
58,1979,[[0.81315411]]
59,1907,[[0.75818167]]
60,1992,[[0.80822313]]
61,1926,[[0.74736664]]
62,1976,[[0.7744414]]
63,1986,[[0.82766638]]
64,1957,[[0.83402212]]
65,1947,[[0.77325028]]
66,1920,[[0.76989286]]
67,1968,[[0.76640321]]
68,1946,[[0.76592113]]
69,1961,[[0.82459195]]
70,2002,[[0.74628359]]
71,1932,[[0.78544781]]
72,1980,[[0.82145559]]
73,1977,[[0.83280168]]
74,1902,[[0.74190743]]
75,1931,[[0.8286345]]
76,2007,[[0.81241097]]
77,1918,[[0.68871322]]
78,1990,[[0.80313419]]
79,1939,[[0.70277238]]
80,1925,[[0.78121799]]
81,1910,[[0.70875512]]
82,1944,[[0.73311124]]
83,1940,[[0.77124034]]
84,1945,[[0.79730014]]
85,1969,[[0.82266775]]
86,1973,[[0.81728713]]
87,2003,[[0.7939226]]
88,1959,[[0.78722806]]
89,1966,[[0.8144955]]
90,1915,[[0.78747927]]
91,1942,[[0.76507121]]
92,1951,[[0.79463922]]
93,1901,[[0.76184967]]
94,1930,[[0.87084075]]
95,1967,[[0.80113933]]
96,1963,[[0.82317439]]
97,1981,[[0.80181903]]
98,1938,[[0.78598571]]
99,1974,[[0.7832524]]
100,2000,[[0.73848086]]
101,1950,[[0.78213893]]
102,1927,[[0.79481384]]
103,1937,[[0.840114]]
104,1936,[[0.83119404]]
105,2008,[[0.81337455]]
106,1965,[[0.78573994]]
107,1909,[[0.7691881]]
108,1988,[[0.78879853]]
109,1953,[[0.80893398]]
