,year,words
0,1985,['environmentalism']
1,1943,['environmentalism']
2,1993,['environmentalism']
3,1995,['environmentalism']
4,1958,['environmentalism']
5,1983,['environmentalism']
6,1919,['environmentalism']
7,1975,['environmentalism']
8,1960,['environmentalism']
9,1922,"['socialism', 'environmentalism']"
10,1928,['environmentalism']
11,2006,['environmentalism']
12,1972,['environmentalism']
13,1908,"['socialism', 'environmentalism']"
14,1916,"['socialism', 'environmentalism']"
15,1913,"['socialism', 'environmentalism']"
16,1987,['environmentalism']
17,1971,['environmentalism']
18,1906,"['socialism', 'environmentalism']"
19,1924,"['socialism', 'environmentalism']"
20,1955,['environmentalism']
21,1954,['environmentalism']
22,1956,['environmentalism']
23,1900,"['socialism', 'environmentalism']"
24,1948,['environmentalism']
25,2004,['environmentalism']
26,1978,['environmentalism']
27,1999,['environmentalism']
28,1998,['environmentalism']
29,1934,['environmentalism']
30,1997,['environmentalism']
31,2001,['environmentalism']
32,1991,['environmentalism']
33,1903,"['socialism', 'environmentalism']"
34,1962,['environmentalism']
35,1970,['environmentalism']
36,1921,"['socialism', 'environmentalism']"
37,1917,"['socialism', 'environmentalism']"
38,1923,"['socialism', 'environmentalism']"
39,1949,['environmentalism']
40,1905,"['socialism', 'environmentalism']"
41,1914,"['socialism', 'environmentalism']"
42,2009,['environmentalism']
43,1912,"['socialism', 'environmentalism']"
44,1994,['environmentalism']
45,1935,['environmentalism']
46,1984,['environmentalism']
47,1952,['environmentalism']
48,1989,['environmentalism']
49,1929,"['socialism', 'environmentalism']"
50,2005,['environmentalism']
51,1996,['environmentalism']
52,1911,"['socialism', 'environmentalism']"
53,1933,['environmentalism']
54,1982,['environmentalism']
55,1904,"['socialism', 'environmentalism']"
56,1964,['environmentalism']
57,1941,['environmentalism']
58,1979,['environmentalism']
59,1907,"['socialism', 'environmentalism']"
60,1992,['environmentalism']
61,1926,"['socialism', 'environmentalism']"
62,1976,['environmentalism']
63,1986,['environmentalism']
64,1957,['environmentalism']
65,1947,['environmentalism']
66,1920,"['socialism', 'environmentalism']"
67,1968,['environmentalism']
68,1946,['environmentalism']
69,1961,['environmentalism']
70,2002,['environmentalism']
71,1932,"['socialism', 'environmentalism']"
72,1980,['environmentalism']
73,1977,['environmentalism']
74,1902,"['socialism', 'environmentalism']"
75,1931,['environmentalism']
76,2007,['environmentalism']
77,1918,"['socialism', 'environmentalism']"
78,1990,['environmentalism']
79,1939,['environmentalism']
80,1925,"['socialism', 'environmentalism']"
81,1910,"['socialism', 'environmentalism']"
82,1944,['environmentalism']
83,1940,['environmentalism']
84,1945,['environmentalism']
85,1969,['environmentalism']
86,1973,['environmentalism']
87,2003,['environmentalism']
88,1959,['environmentalism']
89,1966,['environmentalism']
90,1915,"['socialism', 'environmentalism']"
91,1942,['environmentalism']
92,1951,['environmentalism']
93,1901,"['socialism', 'environmentalism']"
94,1930,['environmentalism']
95,1967,['environmentalism']
96,1963,['environmentalism']
97,1981,['environmentalism']
98,1938,['environmentalism']
99,1974,['environmentalism']
100,2000,['environmentalism']
101,1950,['environmentalism']
102,1927,['environmentalism']
103,1937,['environmentalism']
104,1936,['environmentalism']
105,2008,['environmentalism']
106,1965,['environmentalism']
107,1909,"['socialism', 'environmentalism']"
108,1988,['environmentalism']
109,1953,['environmentalism']
