,year,cosine_similarity
0,1985,[[0.64254669]]
1,1943,[[0.66115632]]
2,1993,[[0.61805341]]
3,1995,[[0.67007791]]
4,1958,[[0.74361177]]
5,1983,[[0.6390428]]
6,1919,[[0.]]
7,1975,[[0.68011789]]
8,1960,[[0.66314137]]
9,1922,[[0.8200381]]
10,1928,[[0.72620436]]
11,2006,[[0.64093941]]
12,1972,[[0.62185166]]
13,1908,[[0.]]
14,1916,[[0.]]
15,1913,[[0.80061518]]
16,1987,[[0.62391362]]
17,1971,[[0.64906726]]
18,1906,[[0.]]
19,1924,[[0.79399985]]
20,1955,[[0.75612319]]
21,1954,[[0.76834971]]
22,1956,[[0.71383589]]
23,1900,[[0.]]
24,1948,[[0.73621892]]
25,2004,[[0.61647846]]
26,1978,[[0.67735454]]
27,1999,[[0.66460259]]
28,1998,[[0.60639658]]
29,1934,[[0.74455129]]
30,1997,[[0.69077162]]
31,2001,[[0.65765026]]
32,1991,[[0.69218592]]
33,1903,[[0.]]
34,1962,[[0.72903506]]
35,1970,[[0.63241868]]
36,1921,[[0.63836258]]
37,1917,[[0.74165474]]
38,1923,[[0.79145693]]
39,1949,[[0.75372861]]
40,1905,[[0.]]
41,1914,[[0.83115624]]
42,2009,[[0.68804246]]
43,1912,[[0.66759801]]
44,1994,[[0.63192449]]
45,1935,[[0.72343414]]
46,1984,[[0.6771067]]
47,1952,[[0.70952756]]
48,1989,[[0.66006279]]
49,1929,[[0.7664336]]
50,2005,[[0.59467886]]
51,1996,[[0.68597608]]
52,1911,[[0.81465292]]
53,1933,[[0.71713408]]
54,1982,[[0.66004997]]
55,1904,[[0.75982513]]
56,1964,[[0.73431686]]
57,1941,[[0.72972118]]
58,1979,[[0.67577581]]
59,1907,[[0.]]
60,1992,[[0.68544295]]
61,1926,[[0.77339819]]
62,1976,[[0.70455822]]
63,1986,[[0.65875497]]
64,1957,[[0.69376082]]
65,1947,[[0.71433053]]
66,1920,[[0.77198684]]
67,1968,[[0.66749578]]
68,1946,[[0.67555378]]
69,1961,[[0.69395368]]
70,2002,[[0.62605484]]
71,1932,[[0.78447405]]
72,1980,[[0.68237114]]
73,1977,[[0.70622237]]
74,1902,[[0.]]
75,1931,[[0.78358565]]
76,2007,[[0.685317]]
77,1918,[[0.65143397]]
78,1990,[[0.67397018]]
79,1939,[[0.62992107]]
80,1925,[[0.80850969]]
81,1910,[[0.]]
82,1944,[[0.61864541]]
83,1940,[[0.64134627]]
84,1945,[[0.66879057]]
85,1969,[[0.70820132]]
86,1973,[[0.65536024]]
87,2003,[[0.62702555]]
88,1959,[[0.72270571]]
89,1966,[[0.7599607]]
90,1915,[[0.]]
91,1942,[[0.65188276]]
92,1951,[[0.71208734]]
93,1901,[[0.]]
94,1930,[[0.82320009]]
95,1967,[[0.68008771]]
96,1963,[[0.73702083]]
97,1981,[[0.66510363]]
98,1938,[[0.72528916]]
99,1974,[[0.56994234]]
100,2000,[[0.66725863]]
101,1950,[[0.73042652]]
102,1927,[[0.76705354]]
103,1937,[[0.75549585]]
104,1936,[[0.7806815]]
105,2008,[[0.72998018]]
106,1965,[[0.68724385]]
107,1909,[[0.]]
108,1988,[[0.67526446]]
109,1953,[[0.69282879]]
