,year,words
0,1985,"['underdevelopment', 'stagnation', 'bearish']"
1,1943,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
2,1993,"['underdevelopment', 'stagnation', 'bearish']"
3,1995,"['underdevelopment', 'bearish']"
4,1958,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
5,1983,"['underdevelopment', 'stagnation', 'bearish']"
6,1919,"['underdevelopment', 'unemployment', 'stagnation', 'recession', 'bearish']"
7,1975,"['underdevelopment', 'bearish']"
8,1960,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
9,1922,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
10,1928,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
11,2006,"['underdevelopment', 'stagnation', 'bearish']"
12,1972,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
13,1908,"['underdevelopment', 'unemployment', 'stagnation', 'recession', 'bearish']"
14,1916,"['underdevelopment', 'unemployment', 'stagnation', 'recession', 'bearish']"
15,1913,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
16,1987,"['underdevelopment', 'stagnation', 'bearish']"
17,1971,"['underdevelopment', 'recession', 'bearish']"
18,1906,"['underdevelopment', 'unemployment', 'stagnation', 'recession', 'bearish']"
19,1924,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
20,1955,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
21,1954,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
22,1956,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
23,1900,"['underdevelopment', 'unemployment', 'stagnation', 'recession', 'bearish']"
24,1948,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
25,2004,"['underdevelopment', 'stagnation', 'bearish']"
26,1978,"['underdevelopment', 'stagnation', 'bearish']"
27,1999,"['underdevelopment', 'stagnation', 'bearish']"
28,1998,"['underdevelopment', 'stagnation', 'bearish']"
29,1934,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
30,1997,"['underdevelopment', 'bearish']"
31,2001,"['underdevelopment', 'bearish']"
32,1991,"['underdevelopment', 'bearish']"
33,1903,"['underdevelopment', 'unemployment', 'stagnation', 'recession', 'bearish']"
34,1962,"['underdevelopment', 'stagnation', 'bearish']"
35,1970,"['underdevelopment', 'stagnation', 'recession', 'bearish']"
