ideology,governance,economics
démocratie,gouvernance,économique
 dictature, gouvernement, économie
 autoritaire, administration, développement
 autoritarisme, administratif, développement
 communisme, juridiction, inflation
 communiste, juridictionnel, emploi
 totaliarisme, bureaucratie, chômage
 socialisme, bureaucrate, fiscal
 socialiste, bureaucrates, financier
 anarchie, autorité, financier
 anarchiste, autorités, commercial
 anarchisme, politique, monétaire
 conservatisme, politique, capital
 fascisme, souveraineté, marché
 fasciste, ministère, stock
 libéralisme, régime, corporatisme
 libéral, public, monnaie
 libertarianisme, fiscalité, monopole
 libertaire, impôt, entreprises
 libéralisation,, mondialisation
 nationalisme,, globaliser
 nationaliste,, modernisation
 populisme,, moderniser
 populiste,, industrie
 progressisme,, industrialisation
 progressiste,, industrialiser
 humanisme,, matérialisme
 humaniste,, matérialiste
 capitalisme,, capital
 capitaliste,, retranchement
 utopie,, commerce
 utopique,,
 égalité,,
 équité,,
