,year,cosine_similarity
0,1985,[[0.61542664]]
1,1943,[[0.41123725]]
2,1993,[[0.61976894]]
3,1995,[[0.58251779]]
4,1958,[[0.45020201]]
5,1983,[[0.52551091]]
6,1919,[[0.35237615]]
7,1975,[[0.51158374]]
8,1960,[[0.51748833]]
9,1922,[[0.48035055]]
10,1928,[[0.51938733]]
11,2006,[[0.58742186]]
12,1972,[[0.56313114]]
13,1908,0
14,1916,0
15,1913,[[0.34856629]]
16,1987,[[0.47279363]]
17,1971,[[0.47770152]]
18,1906,[[0.53106044]]
19,1924,[[0.52549212]]
20,1955,[[0.52247032]]
21,1954,[[0.52276112]]
22,1956,[[0.49019086]]
23,1900,0
24,1948,[[0.48581624]]
25,2004,[[0.54874798]]
26,1978,[[0.56919882]]
27,1999,[[0.55283136]]
28,1998,[[0.613947]]
29,1934,[[0.50539033]]
30,1997,[[0.5213296]]
31,2001,[[0.55637136]]
32,1991,[[0.61372996]]
33,1903,0
34,1962,[[0.53282454]]
35,1970,[[0.54621438]]
36,1921,[[0.47411787]]
37,1917,[[0.51335486]]
38,1923,[[0.52852177]]
39,1949,[[0.48211572]]
40,1905,[[0.4420636]]
41,1914,0
42,2009,[[0.61924986]]
43,1912,0
44,1994,[[0.59421141]]
45,1935,[[0.53124595]]
46,1984,[[0.50313614]]
47,1952,[[0.52104372]]
48,1989,[[0.61741819]]
49,1929,[[0.53617973]]
50,2005,[[0.56729145]]
51,1996,[[0.47927034]]
52,1911,0
53,1933,[[0.51685681]]
54,1982,[[0.5093783]]
55,1904,0
56,1964,[[0.49513085]]
57,1941,[[0.56795464]]
58,1979,[[0.50626137]]
59,1907,[[0.51214734]]
60,1992,[[0.56617178]]
61,1926,[[0.54156158]]
62,1976,[[0.5174779]]
63,1986,[[0.50769059]]
64,1957,[[0.53237565]]
65,1947,[[0.47881447]]
66,1920,[[0.4183503]]
67,1968,[[0.53160675]]
68,1946,[[0.4357437]]
69,1961,[[0.55747858]]
70,2002,[[0.53446978]]
71,1932,[[0.49823489]]
72,1980,[[0.50936406]]
73,1977,[[0.51912595]]
74,1902,0
75,1931,[[0.59711696]]
76,2007,[[0.52647519]]
77,1918,[[0.42777857]]
78,1990,[[0.55021475]]
79,1939,[[0.49299362]]
80,1925,[[0.48906706]]
81,1910,0
82,1944,[[0.45662206]]
83,1940,[[0.57756699]]
84,1945,[[0.50741113]]
85,1969,[[0.54480836]]
86,1973,[[0.58533225]]
87,2003,[[0.65218437]]
88,1959,[[0.55016938]]
89,1966,[[0.43981981]]
90,1915,0
91,1942,[[0.44325277]]
92,1951,[[0.50913642]]
93,1901,0
94,1930,[[0.44358774]]
95,1967,[[0.5855809]]
96,1963,[[0.57519357]]
97,1981,[[0.52468644]]
98,1938,[[0.47660417]]
99,1974,[[0.5101055]]
100,2000,[[0.57545776]]
101,1950,[[0.60863818]]
102,1927,[[0.53333439]]
103,1937,[[0.55379341]]
104,1936,[[0.52551496]]
105,2008,[[0.62467539]]
106,1965,[[0.4817942]]
107,1909,0
108,1988,[[0.58828202]]
109,1953,[[0.46669413]]
