,year,words
0,1985,['авторитарный']
1,1943,"['бюрократия', 'авторитарный']"
2,1993,['авторитарный']
3,1995,['авторитарный']
4,1958,"['бюрократия', 'авторитарный']"
5,1983,"['бюрократия', 'авторитарный']"
6,1919,"['бюрократия', 'суверенитет', 'авторитарный']"
7,1975,"['бюрократия', 'авторитарный']"
8,1960,"['бюрократия', 'авторитарный']"
9,1922,"['бюрократия', 'авторитарный']"
10,1928,"['бюрократия', 'суверенитет', 'авторитарный']"
11,2006,['авторитарный']
12,1972,"['бюрократия', 'авторитарный']"
13,1908,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
14,1916,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
15,1913,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
16,1987,"['бюрократия', 'авторитарный']"
17,1971,"['бюрократия', 'авторитарный']"
18,1906,"['бюрократия', 'суверенитет', 'авторитарный', 'коммунизм']"
19,1924,"['бюрократия', 'авторитарный']"
20,1955,"['бюрократия', 'авторитарный']"
21,1954,"['бюрократия', 'авторитарный']"
22,1956,"['бюрократия', 'авторитарный']"
23,1900,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный']"
24,1948,"['бюрократия', 'авторитарный']"
25,2004,['авторитарный']
26,1978,['авторитарный']
27,1999,['авторитарный']
28,1998,['авторитарный']
29,1934,['авторитарный']
30,1997,['авторитарный']
31,2001,['авторитарный']
32,1991,['авторитарный']
33,1903,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
34,1962,"['бюрократия', 'авторитарный']"
35,1970,"['бюрократия', 'авторитарный']"
36,1921,"['суверенитет', 'авторитарный']"
37,1917,"['бюрократия', 'авторитарный']"
38,1923,"['суверенитет', 'авторитарный']"
39,1949,"['бюрократия', 'авторитарный']"
40,1905,"['суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
41,1914,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
42,2009,['авторитарный']
43,1912,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
44,1994,['авторитарный']
45,1935,['авторитарный']
46,1984,"['бюрократия', 'авторитарный']"
47,1952,"['бюрократия', 'авторитарный']"
48,1989,['авторитарный']
49,1929,"['суверенитет', 'авторитарный']"
50,2005,['авторитарный']
51,1996,['авторитарный']
52,1911,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
53,1933,"['суверенитет', 'авторитарный']"
54,1982,"['бюрократия', 'авторитарный']"
55,1904,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
56,1964,"['бюрократия', 'авторитарный']"
57,1941,"['суверенитет', 'авторитарный']"
58,1979,"['бюрократия', 'авторитарный']"
59,1907,"['бюрократия', 'суверенитет', 'авторитарный', 'коммунизм']"
60,1992,['авторитарный']
61,1926,"['суверенитет', 'авторитарный']"
62,1976,['авторитарный']
63,1986,"['бюрократия', 'авторитарный']"
64,1957,"['бюрократия', 'авторитарный']"
65,1947,"['бюрократия', 'авторитарный']"
66,1920,"['бюрократия', 'суверенитет', 'авторитарный']"
67,1968,"['бюрократия', 'авторитарный']"
68,1946,"['бюрократия', 'авторитарный']"
69,1961,"['бюрократия', 'авторитарный']"
70,2002,['авторитарный']
71,1932,"['суверенитет', 'авторитарный']"
72,1980,"['бюрократия', 'авторитарный']"
73,1977,"['бюрократия', 'авторитарный']"
74,1902,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
75,1931,['авторитарный']
76,2007,['авторитарный']
77,1918,"['бюрократия', 'суверенитет', 'авторитарный', 'коммунизм']"
78,1990,['авторитарный']
79,1939,"['суверенитет', 'авторитарный']"
80,1925,['авторитарный']
81,1910,"['бюрократия', 'суверенитет', 'авторитарный', 'коммунизм']"
82,1944,"['бюрократия', 'авторитарный']"
83,1940,['авторитарный']
84,1945,['авторитарный']
85,1969,"['бюрократия', 'авторитарный']"
86,1973,['авторитарный']
87,2003,['авторитарный']
88,1959,"['бюрократия', 'авторитарный']"
89,1966,"['бюрократия', 'авторитарный']"
90,1915,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
91,1942,"['бюрократия', 'авторитарный']"
92,1951,"['бюрократия', 'авторитарный']"
93,1901,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
94,1930,"['бюрократия', 'суверенитет', 'авторитарный']"
95,1967,['авторитарный']
96,1963,['авторитарный']
97,1981,"['бюрократия', 'авторитарный']"
98,1938,['авторитарный']
99,1974,"['бюрократия', 'авторитарный']"
100,2000,['авторитарный']
101,1950,['авторитарный']
102,1927,"['суверенитет', 'авторитарный']"
103,1937,['авторитарный']
104,1936,['авторитарный']
105,2008,['авторитарный']
106,1965,"['бюрократия', 'авторитарный']"
107,1909,"['бюрократия', 'суверенитет', 'диктатура', 'авторитарный', 'коммунизм']"
108,1988,['авторитарный']
109,1953,"['бюрократия', 'авторитарный']"
