,year,cosine_similarity
0,1985,[[0.45851672]]
1,1943,[[0.40841027]]
2,1993,[[0.46509722]]
3,1995,[[0.54681909]]
4,1958,[[0.56179975]]
5,1983,[[0.54478801]]
6,1919,[[0.18864111]]
7,1975,[[0.25844926]]
8,1960,[[0.54712986]]
9,1922,[[0.50912286]]
10,1928,[[0.47681311]]
11,2006,[[0.63534118]]
12,1972,[[0.49732049]]
13,1908,0
14,1916,0
15,1913,[[0.40193375]]
16,1987,[[0.37406621]]
17,1971,[[0.34662994]]
18,1906,[[0.50152602]]
19,1924,[[0.44437919]]
20,1955,[[0.51890598]]
21,1954,[[0.46826433]]
22,1956,[[0.49047406]]
23,1900,0
24,1948,[[0.45039122]]
25,2004,[[0.60996392]]
26,1978,[[0.45164009]]
27,1999,[[0.53909053]]
28,1998,[[0.63145483]]
29,1934,[[0.42959244]]
30,1997,[[0.59870095]]
31,2001,[[0.58092076]]
32,1991,[[0.62303212]]
33,1903,0
34,1962,[[0.49813116]]
35,1970,[[0.58744544]]
36,1921,[[0.33217005]]
37,1917,[[0.20438737]]
38,1923,[[0.4868646]]
39,1949,[[0.4944228]]
40,1905,[[0.29262834]]
41,1914,0
42,2009,[[0.56982481]]
43,1912,0
44,1994,[[0.58983529]]
45,1935,[[0.53618204]]
46,1984,[[0.39130411]]
47,1952,[[0.48581365]]
48,1989,[[0.5773986]]
49,1929,[[0.51609816]]
50,2005,[[0.61463718]]
51,1996,[[0.55447985]]
52,1911,0
53,1933,[[0.48607679]]
54,1982,[[0.32029018]]
55,1904,0
56,1964,[[0.50579947]]
57,1941,[[0.53463775]]
58,1979,[[0.48588199]]
59,1907,[[0.3705445]]
60,1992,[[0.51646065]]
61,1926,[[0.4112337]]
62,1976,[[0.49557309]]
63,1986,[[0.50088754]]
64,1957,[[0.44849304]]
65,1947,[[0.44889485]]
66,1920,[[0.42192044]]
67,1968,[[0.45027579]]
68,1946,[[0.56959656]]
69,1961,[[0.51357283]]
70,2002,[[0.57541828]]
71,1932,[[0.43795809]]
72,1980,[[0.56554878]]
73,1977,[[0.45433716]]
74,1902,0
75,1931,[[0.58208865]]
76,2007,[[0.57964894]]
77,1918,[[0.38438309]]
78,1990,[[0.58230081]]
79,1939,[[0.48755309]]
80,1925,[[0.47960862]]
81,1910,0
82,1944,[[0.34572664]]
83,1940,[[0.49449485]]
84,1945,[[0.50404212]]
85,1969,[[0.55766041]]
86,1973,[[0.42586355]]
87,2003,[[0.68391566]]
88,1959,[[0.41081946]]
89,1966,[[0.52264087]]
90,1915,0
91,1942,[[0.48715951]]
92,1951,[[0.45252634]]
93,1901,0
94,1930,[[0.3754023]]
95,1967,[[0.51221359]]
96,1963,[[0.48059771]]
97,1981,[[0.54072012]]
98,1938,[[0.52373441]]
99,1974,[[0.39999279]]
100,2000,[[0.63561407]]
101,1950,[[0.51918106]]
102,1927,[[0.44227259]]
103,1937,[[0.46629764]]
104,1936,[[0.43878392]]
105,2008,[[0.66800855]]
106,1965,[[0.50804286]]
107,1909,0
108,1988,[[0.47694083]]
109,1953,[[0.38620944]]
