,year,words
0,1985,"['анархизм', 'либертарианство', 'федерализм', 'индивидуализм', 'плюрализм']"
1,1943,"['анархизм', 'либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
2,1993,"['анархизм', 'либертарианство', 'федерализм', 'индивидуализм', 'плюрализм']"
3,1995,"['анархизм', 'либертарианство', 'федерализм', 'плюрализм']"
4,1958,"['либертарианство', 'федерализм', 'плюрализм']"
5,1983,"['анархизм', 'либертарианство', 'федерализм', 'плюрализм']"
6,1919,"['либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
7,1975,"['анархизм', 'либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
8,1960,"['либертарианство', 'федерализм', 'индивидуализм', 'плюрализм']"
9,1922,"['либертарианство', 'федерализм', 'плюрализм']"
10,1928,"['анархизм', 'либертарианство', 'федерализм', 'плюрализм']"
11,2006,"['анархизм', 'либертарианство', 'индивидуализм', 'плюрализм']"
12,1972,"['анархизм', 'либертарианство', 'федерализм', 'индивидуализм', 'плюрализм']"
13,1908,"['анархизм', 'либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
14,1916,"['анархизм', 'либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
15,1913,"['анархизм', 'либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
16,1987,"['анархизм', 'либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
17,1971,"['анархизм', 'либертарианство', 'федерализм', 'индивидуализм', 'плюрализм']"
18,1906,"['анархизм', 'либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
19,1924,"['либертарианство', 'федерализм', 'плюрализм']"
20,1955,"['либертарианство', 'федерализм', 'индивидуализм', 'плюрализм']"
21,1954,"['либертарианство', 'федерализм', 'плюрализм']"
22,1956,"['анархизм', 'либертарианство', 'федерализм', 'индивидуализм', 'плюрализм']"
23,1900,"['анархизм', 'либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
24,1948,"['либертарианство', 'федерализм', 'индивидуализм', 'плюрализм']"
25,2004,"['либертарианство', 'федерализм', 'индивидуализм']"
26,1978,"['анархизм', 'либертарианство', 'федерализм', 'индивидуализм', 'плюрализм']"
27,1999,"['анархизм', 'либертарианство', 'федерализм', 'плюрализм']"
28,1998,"['анархизм', 'либертарианство']"
29,1934,"['либертарианство', 'федерализм', 'плюрализм']"
30,1997,"['анархизм', 'либертарианство', 'федерализм']"
31,2001,"['анархизм', 'либертарианство', 'федерализм']"
32,1991,"['анархизм', 'либертарианство', 'федерализм']"
33,1903,"['анархизм', 'либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
34,1962,"['либертарианство', 'федерализм', 'плюрализм']"
35,1970,"['либертарианство', 'федерализм', 'плюрализм']"
36,1921,"['анархизм', 'либертарианство', 'либерализм', 'федерализм', 'индивидуализм', 'плюрализм']"
