,year,cosine_similarity
0,1985,[[0.61628108]]
1,1943,[[0.50009911]]
2,1993,[[0.57879834]]
3,1995,[[0.59822357]]
4,1958,[[0.43125449]]
5,1983,[[0.56439405]]
6,1919,[[0.37930028]]
7,1975,[[0.4198339]]
8,1960,[[0.45922707]]
9,1922,[[0.39412767]]
10,1928,[[0.45280638]]
11,2006,[[0.61794956]]
12,1972,[[0.54767647]]
13,1908,0
14,1916,0
15,1913,[[0.58693511]]
16,1987,[[0.53259233]]
17,1971,[[0.53375998]]
18,1906,[[0.]]
19,1924,[[0.42019343]]
20,1955,[[0.51236922]]
21,1954,[[0.45393195]]
22,1956,[[0.45558466]]
23,1900,0
24,1948,[[0.51352365]]
25,2004,[[0.59121941]]
26,1978,[[0.52689791]]
27,1999,[[0.56393748]]
28,1998,[[0.63494066]]
29,1934,[[0.43109213]]
30,1997,[[0.59395053]]
31,2001,[[0.64505176]]
32,1991,[[0.61521309]]
33,1903,0
34,1962,[[0.52549378]]
35,1970,[[0.53407862]]
36,1921,[[0.29094743]]
37,1917,[[0.56301843]]
38,1923,[[0.32846623]]
39,1949,[[0.57039403]]
40,1905,[[0.]]
41,1914,0
42,2009,[[0.50376081]]
43,1912,0
44,1994,[[0.65664845]]
45,1935,[[0.46908553]]
46,1984,[[0.51672621]]
47,1952,[[0.50985479]]
48,1989,[[0.57164518]]
49,1929,[[0.48082908]]
50,2005,[[0.62180032]]
51,1996,[[0.50345939]]
52,1911,0
53,1933,[[0.47797802]]
54,1982,[[0.54231105]]
55,1904,0
56,1964,[[0.51681501]]
57,1941,[[0.52312215]]
58,1979,[[0.57543474]]
59,1907,[[0.]]
60,1992,[[0.60646629]]
61,1926,[[0.43292609]]
62,1976,[[0.54330726]]
63,1986,[[0.50699093]]
64,1957,[[0.50422547]]
65,1947,[[0.43370255]]
66,1920,[[0.37459553]]
67,1968,[[0.50638166]]
68,1946,[[0.51085004]]
69,1961,[[0.4825008]]
70,2002,[[0.5908192]]
71,1932,[[0.42437529]]
72,1980,[[0.54175296]]
73,1977,[[0.51746958]]
74,1902,0
75,1931,[[0.46783841]]
76,2007,[[0.60463634]]
77,1918,[[0.62025444]]
78,1990,[[0.55282281]]
79,1939,[[0.40488562]]
80,1925,[[0.38885014]]
81,1910,0
82,1944,[[0.57457436]]
83,1940,[[0.55581444]]
84,1945,[[0.46281772]]
85,1969,[[0.54342835]]
86,1973,[[0.54089399]]
87,2003,[[0.62075566]]
88,1959,[[0.48150657]]
89,1966,[[0.55949499]]
90,1915,0
91,1942,[[0.61085652]]
92,1951,[[0.59017346]]
93,1901,0
94,1930,[[0.44158026]]
95,1967,[[0.55210817]]
96,1963,[[0.53610029]]
97,1981,[[0.55578549]]
98,1938,[[0.47344075]]
99,1974,[[0.4565821]]
100,2000,[[0.63607263]]
101,1950,[[0.49840362]]
102,1927,[[0.36603181]]
103,1937,[[0.47366239]]
104,1936,[[0.47489942]]
105,2008,[[0.63241199]]
106,1965,[[0.53652391]]
107,1909,0
108,1988,[[0.48477642]]
109,1953,[[0.47069494]]
