,year,words
0,1985,['глобализация']
1,1943,"['индустриализация', 'глобализация']"
2,1993,"['индустриализация', 'глобализация']"
3,1995,"['индустриализация', 'глобализация']"
4,1958,['глобализация']
5,1983,['глобализация']
6,1919,"['индустриализация', 'модернизация', 'глобализация']"
7,1975,['глобализация']
8,1960,['глобализация']
9,1922,"['индустриализация', 'модернизация', 'глобализация']"
10,1928,"['модернизация', 'глобализация']"
11,2006,['индустриализация']
12,1972,['глобализация']
13,1908,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
14,1916,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
15,1913,"['индустриализация', 'модернизация', 'глобализация', 'капитализм']"
16,1987,['глобализация']
17,1971,['глобализация']
18,1906,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
19,1924,"['индустриализация', 'глобализация']"
20,1955,['глобализация']
21,1954,"['модернизация', 'глобализация']"
22,1956,['глобализация']
23,1900,"['индустриализация', 'модернизация', 'глобализация', 'капитализм']"
24,1948,"['модернизация', 'глобализация']"
25,2004,['индустриализация']
26,1978,['глобализация']
27,1998,"['индустриализация', 'глобализация']"
28,1934,"['модернизация', 'глобализация']"
29,1997,['глобализация']
30,2001,['индустриализация']
31,1991,"['индустриализация', 'глобализация']"
32,1903,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
33,1962,['глобализация']
34,1970,['глобализация']
35,1921,"['индустриализация', 'модернизация', 'глобализация']"
36,1917,"['модернизация', 'глобализация']"
37,1923,"['индустриализация', 'модернизация', 'глобализация']"
38,1949,"['модернизация', 'глобализация']"
39,1905,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
40,1914,"['индустриализация', 'модернизация', 'глобализация', 'капитализм']"
41,2009,['индустриализация']
42,1912,"['индустриализация', 'модернизация', 'глобализация', 'капитализм']"
43,1994,"['индустриализация', 'глобализация']"
44,1935,"['модернизация', 'глобализация']"
45,1984,['глобализация']
46,1952,"['модернизация', 'глобализация']"
47,1989,['глобализация']
48,1929,"['модернизация', 'глобализация']"
49,2005,['индустриализация']
50,1996,"['индустриализация', 'глобализация']"
51,1911,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
52,1933,"['модернизация', 'глобализация']"
53,1982,['глобализация']
54,1904,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
55,1964,['глобализация']
56,1941,"['модернизация', 'глобализация']"
57,1979,['глобализация']
58,1907,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
59,1992,"['индустриализация', 'глобализация']"
60,1926,"['модернизация', 'глобализация']"
61,1976,['глобализация']
62,1986,['глобализация']
63,1957,['глобализация']
64,1947,['глобализация']
65,1920,"['индустриализация', 'модернизация', 'глобализация']"
66,1968,['глобализация']
67,1946,"['модернизация', 'глобализация']"
68,1961,['глобализация']
69,2002,['индустриализация']
70,1932,"['модернизация', 'глобализация']"
71,1980,['глобализация']
72,1977,['глобализация']
73,1902,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
74,1931,"['модернизация', 'глобализация']"
75,2007,['индустриализация']
76,1918,"['индустриализация', 'модернизация', 'глобализация', 'капитализм']"
77,1990,['глобализация']
78,1939,"['модернизация', 'глобализация']"
79,1925,"['индустриализация', 'модернизация', 'глобализация']"
80,1910,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
81,1944,"['модернизация', 'глобализация']"
82,1940,"['модернизация', 'глобализация']"
83,1945,"['модернизация', 'глобализация']"
84,1969,['глобализация']
85,1973,['глобализация']
86,2003,['индустриализация']
87,1959,['глобализация']
88,1966,['глобализация']
89,1915,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
90,1942,"['модернизация', 'глобализация']"
91,1951,"['модернизация', 'глобализация']"
92,1901,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
93,1930,"['модернизация', 'глобализация']"
94,1967,['глобализация']
95,1963,['глобализация']
96,1981,['глобализация']
97,1938,"['модернизация', 'глобализация']"
98,1974,['глобализация']
99,1950,"['модернизация', 'глобализация']"
100,1927,"['модернизация', 'глобализация']"
101,1937,"['модернизация', 'глобализация']"
102,1936,"['модернизация', 'глобализация']"
103,2008,['индустриализация']
104,1965,['глобализация']
105,1909,"['индустриализация', 'модернизация', 'глобализация', 'капитализм', 'рынок']"
106,1988,['глобализация']
107,1953,"['модернизация', 'глобализация']"
