,year,cosine_similarity
0,1985,[[0.41507183]]
1,1943,[[0.4618847]]
2,1993,[[0.38114355]]
3,1995,[[0.36199732]]
4,1958,[[0.29030697]]
5,1983,[[0.4254465]]
6,1919,[[0.32973758]]
7,1975,[[0.36253186]]
8,1960,[[0.42953412]]
9,1922,[[0.52418248]]
10,1928,[[0.42774454]]
11,2006,[[0.36948375]]
12,1972,[[0.39055358]]
13,1908,0
14,1916,0
15,1913,[[0.5064831]]
16,1987,[[0.34781781]]
17,1971,[[0.41088398]]
18,1906,[[0.73743937]]
19,1924,[[0.29999134]]
20,1955,[[0.40822763]]
21,1954,[[0.41347302]]
22,1956,[[0.4753147]]
23,1900,0
24,1948,[[0.33552194]]
25,2004,[[0.41422104]]
26,1978,[[0.39913741]]
27,1999,[[0.42988251]]
28,1998,[[0.41759712]]
29,1934,[[0.35927486]]
30,1997,[[0.34690829]]
31,2001,[[0.3771514]]
32,1991,[[0.39177589]]
33,1903,0
34,1962,[[0.38061737]]
35,1970,[[0.36661651]]
36,1921,[[0.51968961]]
37,1917,[[0.40702918]]
38,1923,[[0.49470277]]
39,1949,[[0.48386904]]
40,1905,[[0.57413252]]
41,1914,0
42,2009,[[0.45955487]]
43,1912,0
44,1994,[[0.4293817]]
45,1935,[[0.3588422]]
46,1984,[[0.40504651]]
47,1952,[[0.44152041]]
48,1989,[[0.4382466]]
49,1929,[[0.35216771]]
50,2005,[[0.46742443]]
51,1996,[[0.34768032]]
52,1911,0
53,1933,[[0.39620802]]
54,1982,[[0.39404739]]
55,1904,0
56,1964,[[0.37710394]]
57,1941,[[0.46767619]]
58,1979,[[0.36527299]]
59,1907,[[0.63191268]]
60,1992,[[0.358915]]
61,1926,[[0.48860335]]
62,1976,[[0.37473871]]
63,1986,[[0.40986307]]
64,1957,[[0.36957062]]
65,1947,[[0.32917333]]
66,1920,[[0.33667174]]
67,1968,[[0.35548621]]
68,1946,[[0.45157545]]
69,1961,[[0.34561236]]
70,2002,[[0.37542863]]
71,1932,[[0.38258614]]
72,1980,[[0.3325227]]
73,1977,[[0.32987304]]
74,1902,0
75,1931,[[0.37223053]]
76,2007,[[0.369502]]
77,1918,[[0.58450299]]
78,1990,[[0.35177272]]
79,1939,[[0.45295932]]
80,1925,[[0.38997944]]
81,1910,0
82,1944,[[0.42672544]]
83,1940,[[0.38829485]]
84,1945,[[0.47412178]]
85,1969,[[0.38140914]]
86,1973,[[0.31820617]]
87,2003,[[0.39324147]]
88,1959,[[0.36260974]]
89,1966,[[0.36182528]]
90,1915,0
91,1942,[[0.38690147]]
92,1951,[[0.43010834]]
93,1901,0
94,1930,[[0.42737036]]
95,1967,[[0.34428569]]
96,1963,[[0.39007308]]
97,1981,[[0.33652752]]
98,1938,[[0.47009923]]
99,1974,[[0.39656053]]
100,2000,[[0.38857134]]
101,1950,[[0.38125773]]
102,1927,[[0.38188751]]
103,1937,[[0.36894777]]
104,1936,[[0.35812104]]
105,2008,[[0.43058504]]
106,1965,[[0.35926731]]
107,1909,0
108,1988,[[0.43719584]]
109,1953,[[0.35172953]]
