,year,words
0,1985,['бычий']
1,1943,"['бум', 'бычий']"
2,1993,['бычий']
3,1995,['бычий']
4,1958,['бычий']
5,1983,['бычий']
6,1919,"['процветание', 'бум', 'бычий']"
7,1975,['бычий']
8,1960,"['бум', 'бычий']"
9,1922,"['процветание', 'бум', 'бычий']"
10,1928,"['процветание', 'бычий']"
11,2006,['бычий']
12,1972,"['процветание', 'бычий']"
13,1908,"['процветание', 'бум', 'бычий']"
14,1916,"['процветание', 'бум', 'бычий']"
15,1913,"['процветание', 'бум', 'бычий']"
16,1987,['бычий']
17,1971,['бычий']
18,1906,"['процветание', 'бум', 'бычий']"
19,1924,"['процветание', 'бум', 'бычий']"
20,1955,"['бум', 'бычий']"
21,1954,"['бум', 'бычий']"
22,1956,"['бум', 'бычий']"
23,1900,"['процветание', 'бум', 'бычий']"
24,1948,"['бум', 'бычий']"
25,2004,['бычий']
26,1978,['бычий']
27,1999,['бычий']
28,1998,['бычий']
29,1934,"['процветание', 'бычий']"
30,1997,['бычий']
31,2001,['бычий']
32,1991,['бычий']
33,1903,"['процветание', 'бум', 'бычий']"
34,1962,['бычий']
35,1970,['бычий']
36,1921,"['процветание', 'бум', 'бычий']"
37,1917,"['бум', 'бычий']"
38,1923,"['процветание', 'бычий']"
39,1949,"['бум', 'бычий']"
40,1905,"['процветание', 'бум', 'бычий']"
41,1914,"['процветание', 'бум', 'бычий']"
42,2009,['бычий']
43,1912,"['процветание', 'бум', 'бычий']"
44,1994,['бычий']
45,1935,['бычий']
46,1984,['бычий']
47,1952,"['бум', 'бычий']"
48,1989,['бычий']
49,1929,"['процветание', 'бум', 'бычий']"
50,2005,['бычий']
51,1996,['бычий']
52,1911,"['процветание', 'бум', 'бычий']"
53,1933,"['процветание', 'бум', 'бычий']"
54,1982,['бычий']
55,1904,"['процветание', 'бум', 'бычий']"
56,1964,['бычий']
57,1941,"['бум', 'бычий']"
58,1979,['бычий']
59,1907,"['процветание', 'бум', 'бычий']"
60,1992,['бычий']
61,1926,"['процветание', 'бычий']"
62,1976,['бычий']
63,1986,['бычий']
64,1957,['бычий']
65,1947,"['бум', 'бычий']"
66,1920,"['бум', 'бычий']"
67,1968,"['процветание', 'бычий']"
68,1946,"['бум', 'бычий']"
69,1961,"['бум', 'бычий']"
70,2002,['бычий']
71,1932,['бычий']
72,1980,"['бум', 'бычий']"
73,1977,['бычий']
74,1902,"['процветание', 'бум', 'бычий']"
75,1931,"['процветание', 'бум', 'бычий']"
76,2007,['бычий']
77,1918,"['процветание', 'бум', 'бычий']"
78,1990,"['процветание', 'бычий']"
79,1939,['бычий']
80,1925,"['бум', 'бычий']"
81,1910,"['процветание', 'бум', 'бычий']"
82,1944,['бычий']
83,1940,['бычий']
84,1945,"['бум', 'бычий']"
85,1969,['бычий']
86,1973,"['процветание', 'бычий']"
87,2003,['бычий']
88,1959,['бычий']
89,1966,['бычий']
90,1915,"['процветание', 'бум', 'бычий']"
91,1942,['бычий']
92,1951,"['бум', 'бычий']"
93,1901,"['процветание', 'бум', 'бычий']"
94,1930,"['бум', 'бычий']"
95,1967,['бычий']
96,1963,['бычий']
97,1938,['бычий']
98,1974,['бычий']
99,2000,['бычий']
100,1950,"['бум', 'бычий']"
101,1927,"['процветание', 'бум', 'бычий']"
102,1937,"['бум', 'бычий']"
103,1936,['бычий']
104,2008,['бычий']
105,1965,['бычий']
106,1909,"['процветание', 'бум', 'бычий']"
107,1988,['бычий']
108,1953,"['бум', 'бычий']"
