,year,cosine_similarity
0,1985,[[0.56268073]]
1,1943,[[0.53995978]]
2,1993,[[0.57529726]]
3,1995,[[0.56383301]]
4,1958,[[0.42338023]]
5,1983,[[0.53671311]]
6,1919,[[0.40484193]]
7,1975,[[0.54281229]]
8,1960,[[0.50463365]]
9,1922,[[0.45092539]]
10,1928,[[0.46394569]]
11,2006,[[0.54435425]]
12,1972,[[0.53406399]]
13,1908,0
14,1916,0
15,1913,[[0.56633479]]
16,1987,[[0.55148592]]
17,1971,[[0.48228419]]
18,1906,[[0.47326544]]
19,1924,[[0.47383474]]
20,1955,[[0.47546818]]
21,1954,[[0.45330951]]
22,1956,[[0.40218651]]
23,1900,0
24,1948,[[0.49042127]]
25,2004,[[0.51453467]]
26,1978,[[0.52944615]]
27,1999,[[0.56821246]]
28,1998,[[0.56598395]]
29,1934,[[0.47034331]]
30,1997,[[0.44348043]]
31,2001,[[0.55769361]]
32,1991,[[0.53464921]]
33,1903,0
34,1962,[[0.48552159]]
35,1970,[[0.55337174]]
36,1921,[[0.45101389]]
37,1917,[[0.54919964]]
38,1923,[[0.46197788]]
39,1949,[[0.48574281]]
40,1905,[[0.33004369]]
41,1914,0
42,2009,[[0.54216936]]
43,1912,0
44,1994,[[0.57782917]]
45,1935,[[0.44233119]]
46,1984,[[0.52435926]]
47,1952,[[0.49287129]]
48,1989,[[0.59933009]]
49,1929,[[0.47086352]]
50,2005,[[0.53458856]]
51,1996,[[0.53527655]]
52,1911,0
53,1933,[[0.41039302]]
54,1982,[[0.53579819]]
55,1904,0
56,1964,[[0.49494968]]
57,1941,[[0.50736138]]
58,1979,[[0.56852222]]
59,1907,[[0.50645337]]
60,1992,[[0.53708565]]
61,1926,[[0.47661183]]
62,1976,[[0.4419315]]
63,1986,[[0.5118246]]
64,1957,[[0.44813456]]
65,1947,[[0.44676152]]
66,1920,[[0.51200528]]
67,1968,[[0.4865858]]
68,1946,[[0.52463419]]
69,1961,[[0.46149237]]
70,2002,[[0.51206435]]
71,1932,[[0.47096375]]
72,1980,[[0.5575822]]
73,1977,[[0.54700314]]
74,1902,0
75,1931,[[0.4705419]]
76,2007,[[0.63741222]]
77,1918,[[0.73245047]]
78,1990,[[0.55560635]]
79,1939,[[0.40675101]]
80,1925,[[0.46606968]]
81,1910,0
82,1944,[[0.60313662]]
83,1940,[[0.43797029]]
84,1945,[[0.50010127]]
85,1969,[[0.47514252]]
86,1973,[[0.48849476]]
87,2003,[[0.59506094]]
88,1959,[[0.46079884]]
89,1966,[[0.45355027]]
90,1915,0
91,1942,[[0.57880966]]
92,1951,[[0.47745259]]
93,1901,0
94,1930,[[0.47029065]]
95,1967,[[0.56851098]]
96,1963,[[0.51438161]]
97,1981,[[0.58012587]]
98,1938,[[0.46015865]]
99,1974,[[0.51183909]]
100,2000,[[0.48997501]]
101,1950,[[0.48546137]]
102,1927,[[0.50067352]]
103,1937,[[0.49527873]]
104,1936,[[0.47487367]]
105,2008,[[0.56805911]]
106,1965,[[0.45971469]]
107,1909,0
108,1988,[[0.55645999]]
109,1953,[[0.41743056]]
