,year,words
0,1985,['защита окружающей среды']
1,1943,['защита окружающей среды']
2,1993,['защита окружающей среды']
3,1995,['защита окружающей среды']
4,1958,['защита окружающей среды']
5,1983,['защита окружающей среды']
6,1919,['защита окружающей среды']
7,1975,['защита окружающей среды']
8,1960,['защита окружающей среды']
9,1922,['защита окружающей среды']
10,1928,['защита окружающей среды']
11,2006,['защита окружающей среды']
12,1972,['защита окружающей среды']
13,1908,"['социализм', 'защита окружающей среды']"
14,1916,"['социализм', 'защита окружающей среды']"
15,1913,"['социализм', 'защита окружающей среды', 'налог']"
16,1987,['защита окружающей среды']
17,1971,['защита окружающей среды']
18,1906,"['социализм', 'защита окружающей среды', 'налог']"
19,1924,['защита окружающей среды']
20,1955,['защита окружающей среды']
21,1954,['защита окружающей среды']
22,1956,['защита окружающей среды']
23,1900,['защита окружающей среды']
24,1948,['защита окружающей среды']
25,2004,['защита окружающей среды']
26,1978,['защита окружающей среды']
27,1999,['защита окружающей среды']
28,1998,['защита окружающей среды']
29,1934,['защита окружающей среды']
30,1997,['защита окружающей среды']
31,2001,['защита окружающей среды']
32,1991,['защита окружающей среды']
33,1903,"['социализм', 'защита окружающей среды']"
34,1962,['защита окружающей среды']
35,1970,['защита окружающей среды']
36,1921,['защита окружающей среды']
37,1917,['защита окружающей среды']
38,1923,['защита окружающей среды']
39,1949,['защита окружающей среды']
40,1905,"['социализм', 'защита окружающей среды', 'налог']"
41,1914,"['социализм', 'защита окружающей среды']"
42,2009,['защита окружающей среды']
43,1912,"['социализм', 'защита окружающей среды', 'налог']"
44,1994,['защита окружающей среды']
45,1935,['защита окружающей среды']
46,1984,['защита окружающей среды']
47,1952,['защита окружающей среды']
48,1989,['защита окружающей среды']
49,1929,['защита окружающей среды']
50,2005,['защита окружающей среды']
51,1996,['защита окружающей среды']
52,1911,"['социализм', 'защита окружающей среды', 'благосостояние']"
53,1933,['защита окружающей среды']
54,1982,['защита окружающей среды']
55,1904,"['социализм', 'защита окружающей среды', 'налог']"
56,1964,['защита окружающей среды']
57,1941,['защита окружающей среды']
58,1979,['защита окружающей среды']
59,1907,"['социализм', 'защита окружающей среды', 'налог']"
60,1992,['защита окружающей среды']
61,1926,['защита окружающей среды']
62,1976,['защита окружающей среды']
63,1986,['защита окружающей среды']
64,1957,['защита окружающей среды']
65,1947,['защита окружающей среды']
66,1920,['защита окружающей среды']
67,1968,['защита окружающей среды']
68,1946,['защита окружающей среды']
69,1961,['защита окружающей среды']
70,2002,['защита окружающей среды']
71,1932,['защита окружающей среды']
72,1980,['защита окружающей среды']
73,1977,['защита окружающей среды']
74,1902,"['социализм', 'защита окружающей среды']"
75,1931,['защита окружающей среды']
76,2007,['защита окружающей среды']
77,1918,['защита окружающей среды']
78,1990,['защита окружающей среды']
79,1939,['защита окружающей среды']
80,1925,['защита окружающей среды']
81,1910,"['социализм', 'защита окружающей среды']"
82,1944,['защита окружающей среды']
83,1940,['защита окружающей среды']
84,1945,['защита окружающей среды']
85,1969,['защита окружающей среды']
86,1973,['защита окружающей среды']
87,2003,['защита окружающей среды']
88,1959,['защита окружающей среды']
89,1966,['защита окружающей среды']
90,1915,"['социализм', 'защита окружающей среды', 'налог', 'благосостояние']"
91,1942,['защита окружающей среды']
92,1951,['защита окружающей среды']
93,1901,"['социализм', 'защита окружающей среды']"
94,1930,['защита окружающей среды']
95,1967,['защита окружающей среды']
96,1963,['защита окружающей среды']
97,1981,['защита окружающей среды']
98,1938,['защита окружающей среды']
99,1974,['защита окружающей среды']
100,2000,['защита окружающей среды']
101,1950,['защита окружающей среды']
102,1927,['защита окружающей среды']
103,1937,['защита окружающей среды']
104,1936,['защита окружающей среды']
105,2008,['защита окружающей среды']
106,1965,['защита окружающей среды']
107,1909,"['социализм', 'защита окружающей среды', 'налог']"
108,1988,['защита окружающей среды']
109,1953,['защита окружающей среды']
