,year,cosine_similarity
0,1985,[[0.45700428]]
1,1943,[[0.45424421]]
2,1993,[[0.5101003]]
3,1995,[[0.44378614]]
4,1958,[[0.45264159]]
5,1983,[[0.45771243]]
6,1919,[[0.38462164]]
7,1975,[[0.38933561]]
8,1960,[[0.47741582]]
9,1922,[[0.38934122]]
10,1928,[[0.38857469]]
11,2006,[[0.27929539]]
12,1972,[[0.53108244]]
13,1908,0
14,1916,0
15,1913,[[0.71141896]]
16,1987,[[0.41851734]]
17,1971,[[0.42955059]]
18,1906,[[0.82791752]]
19,1924,[[0.33254665]]
20,1955,[[0.43038236]]
21,1954,[[0.44386087]]
22,1956,[[0.43749477]]
23,1900,0
24,1948,[[0.46489542]]
25,2004,[[0.43332059]]
26,1978,[[0.51591648]]
27,1999,[[0.44099476]]
28,1998,[[0.55443625]]
29,1934,[[0.43333083]]
30,1997,[[0.33040598]]
31,2001,[[0.47360816]]
32,1991,[[0.53573152]]
33,1903,0
34,1962,[[0.44354323]]
35,1970,[[0.52359912]]
36,1921,[[0.54249258]]
37,1917,[[0.50356233]]
38,1923,[[0.45413082]]
39,1949,[[0.46495704]]
40,1905,[[0.57181068]]
41,1914,0
42,2009,[[0.37039693]]
43,1912,0
44,1994,[[0.47948287]]
45,1935,[[0.52532504]]
46,1984,[[0.51232626]]
47,1952,[[0.37713969]]
48,1989,[[0.47505736]]
49,1929,[[0.35745539]]
50,2005,[[0.3647553]]
51,1996,[[0.36714351]]
52,1911,0
53,1933,[[0.38408179]]
54,1982,[[0.41312117]]
55,1904,0
56,1964,[[0.58329593]]
57,1941,[[0.45931876]]
58,1979,[[0.493049]]
59,1907,[[0.85695846]]
60,1992,[[0.5725844]]
61,1926,[[0.39900496]]
62,1976,[[0.43421191]]
63,1986,[[0.37367367]]
64,1957,[[0.48952287]]
65,1947,[[0.43479234]]
66,1920,[[0.32364193]]
67,1968,[[0.54297489]]
68,1946,[[0.36811962]]
69,1961,[[0.50356764]]
70,2002,[[0.48788623]]
71,1932,[[0.36635321]]
72,1980,[[0.5618626]]
73,1977,[[0.45131026]]
74,1902,0
75,1931,[[0.36218466]]
76,2007,[[0.37732532]]
77,1918,[[0.7598674]]
78,1990,[[0.40158307]]
79,1939,[[0.40247385]]
80,1925,[[0.33586691]]
81,1910,0
82,1944,[[0.]]
83,1940,[[0.49243549]]
84,1945,[[0.46000135]]
85,1969,[[0.41235167]]
86,1973,[[0.43809599]]
87,2003,[[0.5055941]]
88,1959,[[0.41849475]]
89,1966,[[0.39940001]]
90,1915,0
91,1942,[[0.35264921]]
92,1951,[[0.46841707]]
93,1901,0
94,1930,[[0.4422659]]
95,1967,[[0.44799537]]
96,1963,[[0.46358979]]
97,1981,[[0.50062637]]
98,1938,[[0.34894556]]
99,1974,[[0.39094905]]
100,2000,[[0.57900899]]
101,1950,[[0.45440647]]
102,1927,[[0.39950933]]
103,1937,[[0.43422642]]
104,1936,[[0.44726535]]
105,2008,[[0.48509408]]
106,1965,[[0.43799635]]
107,1909,0
108,1988,[[0.4800925]]
109,1953,[[0.33911652]]
