,year,words
0,1985,"['в разработке', 'рецессия', 'медвежий']"
1,1943,"['в разработке', 'рецессия', 'медвежий']"
2,1993,"['в разработке', 'рецессия', 'медвежий']"
3,1995,"['в разработке', 'застой', 'рецессия', 'медвежий']"
4,1958,"['в разработке', 'рецессия', 'медвежий']"
5,1983,"['в разработке', 'рецессия', 'медвежий']"
6,1919,"['в разработке', 'рецессия', 'медвежий']"
7,1975,"['в разработке', 'застой', 'рецессия', 'медвежий']"
8,1960,"['в разработке', 'рецессия', 'медвежий']"
9,1922,"['в разработке', 'рецессия', 'медвежий']"
10,1928,"['в разработке', 'рецессия', 'медвежий']"
11,2006,"['в разработке', 'застой', 'рецессия', 'медвежий']"
12,1972,"['в разработке', 'рецессия', 'медвежий']"
13,1908,"['в разработке', 'безработица', 'рецессия', 'медвежий']"
14,1916,"['в разработке', 'безработица', 'рецессия', 'медвежий']"
15,1913,"['в разработке', 'безработица', 'рецессия', 'медвежий']"
16,1987,"['в разработке', 'рецессия', 'медвежий']"
17,1971,"['в разработке', 'рецессия', 'медвежий']"
18,1906,"['в разработке', 'рецессия', 'медвежий']"
19,1924,"['в разработке', 'застой', 'рецессия', 'медвежий']"
20,1955,"['в разработке', 'рецессия', 'медвежий']"
21,1954,"['в разработке', 'рецессия', 'медвежий']"
22,1956,"['в разработке', 'рецессия', 'медвежий']"
23,1900,"['в разработке', 'безработица', 'рецессия', 'медвежий']"
24,1948,"['в разработке', 'рецессия', 'медвежий']"
25,2004,"['в разработке', 'застой', 'рецессия', 'медвежий']"
26,1978,"['в разработке', 'рецессия', 'медвежий']"
27,1999,"['в разработке', 'рецессия', 'медвежий']"
28,1998,"['в разработке', 'рецессия', 'медвежий']"
29,1934,"['в разработке', 'рецессия', 'медвежий']"
30,1997,"['в разработке', 'застой', 'рецессия', 'медвежий']"
31,2001,"['в разработке', 'застой', 'рецессия', 'медвежий']"
32,1991,"['в разработке', 'рецессия', 'медвежий']"
33,1903,"['в разработке', 'безработица', 'рецессия', 'медвежий']"
34,1962,"['в разработке', 'рецессия', 'медвежий']"
35,1970,"['в разработке', 'рецессия', 'медвежий']"
36,1921,"['в разработке', 'рецессия', 'медвежий']"
37,1917,"['в разработке', 'рецессия', 'медвежий']"
38,1923,"['в разработке', 'рецессия', 'медвежий']"
39,1949,"['в разработке', 'рецессия', 'медвежий']"
40,1905,"['в разработке', 'безработица', 'рецессия', 'медвежий']"
41,1914,"['в разработке', 'рецессия', 'медвежий']"
42,2009,"['в разработке', 'рецессия', 'медвежий']"
43,1912,"['в разработке', 'безработица', 'рецессия', 'медвежий']"
44,1994,"['в разработке', 'рецессия', 'медвежий']"
45,1935,"['в разработке', 'рецессия', 'медвежий']"
46,1984,"['в разработке', 'рецессия', 'медвежий']"
47,1952,"['в разработке', 'рецессия', 'медвежий']"
48,1989,"['в разработке', 'рецессия', 'медвежий']"
49,1929,"['в разработке', 'рецессия', 'медвежий']"
50,2005,"['в разработке', 'рецессия', 'медвежий']"
