,year,cosine_similarity
0,1985,[[0.28270143]]
1,1993,[[0.32586463]]
2,1995,[[0.31906222]]
3,1958,[[0.26561862]]
4,1983,[[0.29178234]]
5,1975,[[0.31660795]]
6,1960,[[0.34010223]]
7,2006,[[0.30794736]]
8,1972,[[0.30549334]]
9,1987,[[0.29880474]]
10,1971,[[0.27452999]]
11,1955,[[0.23959478]]
12,1956,[[0.31557137]]
13,2004,[[0.30347564]]
14,1978,[[0.32106006]]
15,1999,[[0.34286489]]
16,1998,[[0.29021241]]
17,1997,[[0.28579694]]
18,2001,[[0.31207567]]
19,1991,[[0.30407304]]
20,1962,[[0.2437682]]
21,1970,[[0.28573624]]
22,2009,[[0.29027099]]
23,1994,[[0.32157465]]
24,1984,[[0.3480012]]
25,1989,[[0.33540444]]
26,2005,[[0.3228526]]
27,1996,[[0.28062045]]
28,1982,[[0.29299801]]
29,1964,[[0.28442219]]
30,1979,[[0.32344678]]
31,1992,[[0.30900325]]
32,1976,[[0.30980472]]
33,1986,[[0.3215754]]
34,1957,[[0.30810424]]
35,1968,[[0.22937537]]
36,1961,[[0.28118737]]
37,2002,[[0.28801509]]
38,1980,[[0.28371432]]
39,1977,[[0.28752271]]
40,2007,[[0.27661115]]
41,1990,[[0.2784787]]
42,1969,[[0.29544525]]
43,1973,[[0.31929993]]
44,2003,[[0.32436936]]
45,1959,[[0.27940055]]
46,1966,[[0.30063512]]
47,1967,[[0.24123315]]
48,1963,[[0.29154983]]
49,1981,[[0.29726091]]
50,1974,[[0.30108926]]
51,2000,[[0.28898713]]
52,2008,[[0.30758735]]
53,1965,[[0.26823877]]
54,1988,[[0.31186018]]
