,year,cosine_similarity
0,1985,[[0.71036411]]
1,1943,[[0.70623033]]
2,1993,[[0.7101897]]
3,1995,[[0.69281565]]
4,1958,[[0.75265821]]
5,1983,[[0.70136049]]
6,1919,[[0.76906073]]
7,1975,[[0.68320098]]
8,1960,[[0.69974446]]
9,1922,[[0.70885498]]
10,1928,[[0.75336122]]
11,2006,[[0.70560462]]
12,1972,[[0.70940064]]
13,1908,[[0.66018963]]
14,1916,[[0.72932389]]
15,1913,[[0.77708974]]
16,1987,[[0.70331386]]
17,1971,[[0.69219319]]
18,1906,[[0.80273722]]
19,1924,[[0.67563804]]
20,1955,[[0.7858872]]
21,1954,[[0.71466851]]
22,1956,[[0.74077787]]
23,1900,[[0.75606928]]
24,1948,[[0.67603822]]
25,2004,[[0.66926765]]
26,1978,[[0.72686976]]
27,1999,[[0.71096093]]
28,1998,[[0.72015121]]
29,1934,[[0.75944378]]
30,1997,[[0.70325897]]
31,2001,[[0.65441819]]
32,1991,[[0.7140314]]
33,1903,[[0.75125437]]
34,1962,[[0.71274566]]
35,1970,[[0.7524712]]
36,1921,[[0.72296996]]
37,1917,[[0.81056484]]
38,1923,[[0.7318887]]
39,1949,[[0.77995895]]
40,1905,[[0.76759709]]
41,1914,[[0.76192405]]
42,2009,[[0.69906205]]
43,1912,[[0.71957435]]
44,1994,[[0.69877466]]
45,1935,[[0.69681418]]
46,1984,[[0.66386882]]
47,1952,[[0.68441185]]
48,1989,[[0.69473592]]
49,1929,[[0.78418821]]
50,2005,[[0.6656647]]
51,1996,[[0.66435802]]
52,1911,[[0.70217729]]
53,1933,[[0.79203441]]
54,1982,[[0.67029082]]
55,1904,[[0.67186042]]
56,1964,[[0.75304561]]
57,1941,[[0.69067939]]
58,1979,[[0.71045703]]
59,1907,[[0.68197772]]
60,1992,[[0.73882001]]
61,1926,[[0.77281205]]
62,1976,[[0.72453217]]
63,1986,[[0.6928564]]
64,1957,[[0.69374338]]
65,1947,[[0.7540931]]
66,1920,[[0.75231492]]
67,1968,[[0.70464599]]
68,1946,[[0.69658069]]
69,1961,[[0.71028073]]
70,2002,[[0.62378068]]
71,1932,[[0.70369834]]
72,1980,[[0.73509947]]
73,1977,[[0.71340004]]
74,1902,[[0.76868913]]
75,1931,[[0.77290819]]
76,2007,[[0.73098336]]
77,1918,[[0.66874066]]
78,1990,[[0.70897108]]
79,1939,[[0.70676184]]
80,1925,[[0.73539962]]
81,1910,[[0.71674754]]
82,1944,[[0.69616948]]
83,1940,[[0.66285563]]
84,1945,[[0.68849854]]
85,1969,[[0.7002128]]
86,1973,[[0.71063751]]
87,2003,[[0.68410911]]
88,1959,[[0.70711788]]
89,1966,[[0.70701872]]
90,1915,[[0.69784356]]
91,1942,[[0.65630507]]
92,1951,[[0.67279302]]
93,1901,[[0.74508906]]
94,1930,[[0.73280645]]
95,1967,[[0.74638949]]
96,1963,[[0.71895591]]
97,1981,[[0.71599725]]
98,1938,[[0.70633606]]
99,1974,[[0.73305586]]
100,2000,[[0.67520527]]
101,1950,[[0.7364098]]
102,1927,[[0.68862962]]
103,1937,[[0.72000207]]
104,1936,[[0.7674923]]
105,2008,[[0.75426338]]
106,1965,[[0.74921278]]
107,1909,[[0.78687991]]
108,1988,[[0.72745677]]
109,1953,[[0.68021625]]
