,year,cosine_similarity
0,1985,[[0.57861009]]
1,1943,[[0.59766205]]
2,1993,[[0.61046159]]
3,1995,[[0.6235483]]
4,1958,[[0.58971591]]
5,1983,[[0.5807153]]
6,1919,[[0.62954641]]
7,1975,[[0.60983617]]
8,1960,[[0.60474468]]
9,1922,[[0.60463315]]
10,1928,[[0.58124598]]
11,2006,[[0.65794487]]
12,1972,[[0.59299714]]
13,1908,[[0.57565242]]
14,1916,[[0.56847648]]
15,1913,[[0.58878207]]
16,1987,[[0.60565061]]
17,1971,[[0.5821561]]
18,1906,[[0.56160826]]
19,1924,[[0.60001122]]
20,1955,[[0.62157335]]
21,1954,[[0.58943732]]
22,1956,[[0.63649061]]
23,1900,[[0.59383238]]
24,1948,[[0.60205532]]
25,2004,[[0.61669131]]
26,1978,[[0.5931058]]
27,1999,[[0.61251189]]
28,1998,[[0.60754884]]
29,1934,[[0.65122897]]
30,1997,[[0.60749796]]
31,2001,[[0.63476885]]
32,1991,[[0.59557795]]
33,1903,[[0.60239801]]
34,1962,[[0.60891295]]
35,1970,[[0.58301313]]
36,1921,[[0.60269538]]
37,1917,[[0.59766267]]
38,1923,[[0.60589533]]
39,1949,[[0.60311233]]
40,1905,[[0.55367688]]
41,1914,[[0.58244693]]
42,2009,[[0.63296595]]
43,1912,[[0.61640359]]
44,1994,[[0.62433878]]
45,1935,[[0.60232334]]
46,1984,[[0.61586352]]
47,1952,[[0.61762835]]
48,1989,[[0.58138944]]
49,1929,[[0.60157893]]
50,2005,[[0.66936537]]
51,1996,[[0.64466264]]
52,1911,[[0.60358971]]
53,1933,[[0.63217954]]
54,1982,[[0.60336642]]
55,1904,[[0.57108096]]
56,1964,[[0.58133031]]
57,1941,[[0.60141289]]
58,1979,[[0.6342674]]
59,1907,[[0.59684201]]
60,1992,[[0.61488261]]
61,1926,[[0.62121535]]
62,1976,[[0.60145128]]
63,1986,[[0.57017732]]
64,1957,[[0.62660627]]
65,1947,[[0.61311076]]
66,1920,[[0.60645953]]
67,1968,[[0.60791174]]
68,1946,[[0.58768889]]
69,1961,[[0.61207772]]
70,2002,[[0.62962378]]
71,1932,[[0.60841762]]
72,1980,[[0.61644935]]
73,1977,[[0.60614691]]
74,1902,[[0.57014113]]
75,1931,[[0.54786345]]
76,2007,[[0.59897731]]
77,1918,[[0.58971053]]
78,1990,[[0.60622829]]
79,1939,[[0.63968437]]
80,1925,[[0.61667883]]
81,1910,[[0.53636847]]
82,1944,[[0.60551713]]
83,1940,[[0.62725105]]
84,1945,[[0.61942009]]
85,1969,[[0.59302643]]
86,1973,[[0.60822877]]
87,2003,[[0.64186483]]
88,1959,[[0.59149495]]
89,1966,[[0.61729308]]
90,1915,[[0.58372013]]
91,1942,[[0.59972009]]
92,1951,[[0.61736779]]
93,1901,[[0.59079376]]
94,1930,[[0.60032462]]
95,1967,[[0.60668813]]
96,1963,[[0.61931054]]
97,1981,[[0.57358206]]
98,1938,[[0.63570547]]
99,1974,[[0.58959018]]
100,2000,[[0.61249769]]
101,1950,[[0.64662624]]
102,1927,[[0.60093964]]
103,1937,[[0.62014308]]
104,1936,[[0.62167401]]
105,2008,[[0.61521963]]
106,1965,[[0.61128221]]
107,1909,[[0.55799452]]
108,1988,[[0.62125447]]
109,1953,[[0.59990904]]
