,year,cosine_similarity
0,1985,[[0.60822685]]
1,1943,[[0.69649011]]
2,1993,[[0.65406573]]
3,1995,[[0.66856014]]
4,1958,[[0.6418573]]
5,1983,[[0.6584957]]
6,1919,[[0.64811429]]
7,1975,[[0.62923768]]
8,1960,[[0.66246453]]
9,1922,[[0.69785766]]
10,1928,[[0.63699221]]
11,2006,[[0.64705091]]
12,1972,[[0.67096783]]
13,1908,[[0.66793503]]
14,1916,[[0.61662223]]
15,1913,[[0.6505247]]
16,1987,[[0.63009362]]
17,1971,[[0.62891202]]
18,1906,[[0.70628213]]
19,1924,[[0.64491149]]
20,1955,[[0.63333724]]
21,1954,[[0.64420149]]
22,1956,[[0.62437141]]
23,1900,[[0.70579021]]
24,1948,[[0.68143097]]
25,2004,[[0.63562743]]
26,1978,[[0.62322483]]
27,1999,[[0.66357659]]
28,1998,[[0.65110228]]
29,1934,[[0.69567706]]
30,1997,[[0.61988275]]
31,2001,[[0.63477101]]
32,1991,[[0.63677175]]
33,1903,[[0.70067224]]
34,1962,[[0.63642922]]
35,1970,[[0.64013595]]
36,1921,[[0.64182252]]
37,1917,[[0.60205986]]
38,1923,[[0.6666994]]
39,1949,[[0.60083774]]
40,1905,[[0.64191268]]
41,1914,[[0.70744005]]
42,2009,[[0.62998194]]
43,1912,[[0.69311088]]
44,1994,[[0.61159339]]
45,1935,[[0.72708146]]
46,1984,[[0.68802085]]
47,1952,[[0.67295025]]
48,1989,[[0.65399391]]
49,1929,[[0.640244]]
50,2005,[[0.66966265]]
51,1996,[[0.63886962]]
52,1911,[[0.63509904]]
53,1933,[[0.68217221]]
54,1982,[[0.66105227]]
55,1904,[[0.66510815]]
56,1964,[[0.65536211]]
57,1941,[[0.64060834]]
58,1979,[[0.66045739]]
59,1907,[[0.72468627]]
60,1992,[[0.67460174]]
61,1926,[[0.66662098]]
62,1976,[[0.66618094]]
63,1986,[[0.62517381]]
64,1957,[[0.64013651]]
65,1947,[[0.69512517]]
66,1920,[[0.67630385]]
67,1968,[[0.65733395]]
68,1946,[[0.6600364]]
69,1961,[[0.60898276]]
70,2002,[[0.64088981]]
71,1932,[[0.71182233]]
72,1980,[[0.63936778]]
73,1977,[[0.65409738]]
74,1902,[[0.67527529]]
75,1931,[[0.67763456]]
76,2007,[[0.67442796]]
77,1918,[[0.64694519]]
78,1990,[[0.6681821]]
79,1939,[[0.71826274]]
80,1925,[[0.68781715]]
81,1910,[[0.68041304]]
82,1944,[[0.66247575]]
83,1940,[[0.66253933]]
84,1945,[[0.65116594]]
85,1969,[[0.61707635]]
86,1973,[[0.6597023]]
87,2003,[[0.62765188]]
88,1959,[[0.61342919]]
89,1966,[[0.63461059]]
90,1915,[[0.60440696]]
91,1942,[[0.57533886]]
92,1951,[[0.64433323]]
93,1901,[[0.67692436]]
94,1930,[[0.61087281]]
95,1967,[[0.69340982]]
96,1963,[[0.61382603]]
97,1981,[[0.65860453]]
98,1938,[[0.63048099]]
99,1974,[[0.66525783]]
100,2000,[[0.69942846]]
101,1950,[[0.66690952]]
102,1927,[[0.61338073]]
103,1937,[[0.70209872]]
104,1936,[[0.65319919]]
105,2008,[[0.69324753]]
106,1965,[[0.67040694]]
107,1909,[[0.67406173]]
108,1988,[[0.6373212]]
109,1953,[[0.63994664]]
