,year,cosine_similarity
0,1985,[[0.45138938]]
1,1943,[[0.47452958]]
2,1993,[[0.45108797]]
3,1995,[[0.43951998]]
4,1958,[[0.48462292]]
5,1983,[[0.4557645]]
6,1919,[[0.47152557]]
7,1975,[[0.45641386]]
8,1960,[[0.47132213]]
9,1922,[[0.47038679]]
10,1928,[[0.4890022]]
11,2006,[[0.45678614]]
12,1972,[[0.46813555]]
13,1908,[[0.48396234]]
14,1916,[[0.47031556]]
15,1913,[[0.49365513]]
16,1987,[[0.48050911]]
17,1971,[[0.47903978]]
18,1906,[[0.47909976]]
19,1924,[[0.39666729]]
20,1955,[[0.51317946]]
21,1954,[[0.5050269]]
22,1956,[[0.46567569]]
23,1900,[[0.47157112]]
24,1948,[[0.46173815]]
25,2004,[[0.46235666]]
26,1978,[[0.48263805]]
27,1999,[[0.43179494]]
28,1998,[[0.44928277]]
29,1934,[[0.44376757]]
30,1997,[[0.44999343]]
31,2001,[[0.4929285]]
32,1991,[[0.47375469]]
33,1903,[[0.4579672]]
34,1962,[[0.47704393]]
35,1970,[[0.47076773]]
36,1921,[[0.49155186]]
37,1917,[[0.49902728]]
38,1923,[[0.45386862]]
39,1949,[[0.43133508]]
40,1905,[[0.46512293]]
41,1914,[[0.41940765]]
42,2009,[[0.45579593]]
43,1912,[[0.44682174]]
44,1994,[[0.43820507]]
45,1935,[[0.41061517]]
46,1984,[[0.48168006]]
47,1952,[[0.49550701]]
48,1989,[[0.47658143]]
49,1929,[[0.42118336]]
50,2005,[[0.49311458]]
51,1996,[[0.47437274]]
52,1911,[[0.46037636]]
53,1933,[[0.44529022]]
54,1982,[[0.47102846]]
55,1904,[[0.4428469]]
56,1964,[[0.43864064]]
57,1941,[[0.45433427]]
58,1979,[[0.43947886]]
59,1907,[[0.4558748]]
60,1992,[[0.46464867]]
61,1926,[[0.47388043]]
62,1976,[[0.51243659]]
63,1986,[[0.49277241]]
64,1957,[[0.4635708]]
65,1947,[[0.44574565]]
66,1920,[[0.43824525]]
67,1968,[[0.49871446]]
68,1946,[[0.41256681]]
69,1961,[[0.47901026]]
70,2002,[[0.50715342]]
71,1932,[[0.45786994]]
72,1980,[[0.47066025]]
73,1977,[[0.43433344]]
74,1902,[[0.42527049]]
75,1931,[[0.40322433]]
76,2007,[[0.44977034]]
77,1918,[[0.48424186]]
78,1990,[[0.4709927]]
79,1939,[[0.44777504]]
80,1925,[[0.42069492]]
81,1910,[[0.51268718]]
82,1944,[[0.4414806]]
83,1940,[[0.45656252]]
84,1945,[[0.45066217]]
85,1969,[[0.51070088]]
86,1973,[[0.45032339]]
87,2003,[[0.45310612]]
88,1959,[[0.47715895]]
89,1966,[[0.47082939]]
90,1915,[[0.48446337]]
91,1942,[[0.37567372]]
92,1951,[[0.48251758]]
93,1901,[[0.42683028]]
94,1930,[[0.46672438]]
95,1967,[[0.45828153]]
96,1963,[[0.50766222]]
97,1981,[[0.43974501]]
98,1938,[[0.43763745]]
99,1974,[[0.44601309]]
100,2000,[[0.4366975]]
101,1950,[[0.48658443]]
102,1927,[[0.39196397]]
103,1937,[[0.43327189]]
104,1936,[[0.4626492]]
105,2008,[[0.44413394]]
106,1965,[[0.47743706]]
107,1909,[[0.50295112]]
108,1988,[[0.47740741]]
109,1953,[[0.45887823]]
