,year,cosine_similarity
0,1985,[[0.50572661]]
1,1943,[[0.55370326]]
2,1993,[[0.50599534]]
3,1995,[[0.50718809]]
4,1958,[[0.43023154]]
5,1983,[[0.50276164]]
6,1919,[[0.39336443]]
7,1975,[[0.4354257]]
8,1960,[[0.44809685]]
9,1922,[[0.41895239]]
10,1928,[[0.45135174]]
11,2006,[[0.52878763]]
12,1972,[[0.42897532]]
13,1908,0
14,1916,0
15,1913,[[0.78767088]]
16,1987,[[0.48818708]]
17,1971,[[0.42601511]]
18,1906,[[0.85338422]]
19,1924,[[0.42427824]]
20,1955,[[0.43196318]]
21,1954,[[0.43894059]]
22,1956,[[0.47295268]]
23,1900,0
24,1948,[[0.49758312]]
25,2004,[[0.53034118]]
26,1978,[[0.43611664]]
27,1999,[[0.54599831]]
28,1998,[[0.55905868]]
29,1934,[[0.41973591]]
30,1997,[[0.53382954]]
31,2001,[[0.57274041]]
32,1991,[[0.53934019]]
33,1903,0
34,1962,[[0.40920454]]
35,1970,[[0.36959528]]
36,1921,[[0.49771049]]
37,1917,[[0.3607959]]
38,1923,[[0.52282576]]
39,1949,[[0.54625458]]
40,1905,[[0.67146931]]
41,1914,0
42,2009,[[0.55098075]]
43,1912,0
44,1994,[[0.55271177]]
45,1935,[[0.49826659]]
46,1984,[[0.39397179]]
47,1952,[[0.42483637]]
48,1989,[[0.47593848]]
49,1929,[[0.47380544]]
50,2005,[[0.5435487]]
51,1996,[[0.54370786]]
52,1911,0
53,1933,[[0.5207514]]
54,1982,[[0.41052836]]
55,1904,0
56,1964,[[0.46212377]]
57,1941,[[0.48460364]]
58,1979,[[0.43944588]]
59,1907,[[0.80908622]]
60,1992,[[0.50936927]]
61,1926,[[0.48469229]]
62,1976,[[0.45825308]]
63,1986,[[0.46020198]]
64,1957,[[0.46804757]]
65,1947,[[0.4534039]]
66,1920,[[0.45641555]]
67,1968,[[0.37557179]]
68,1946,[[0.47866237]]
69,1961,[[0.47241518]]
70,2002,[[0.58236976]]
71,1932,[[0.43990674]]
72,1980,[[0.43678588]]
73,1977,[[0.46745294]]
74,1902,0
75,1931,[[0.47973816]]
76,2007,[[0.56100868]]
77,1918,[[0.64889493]]
78,1990,[[0.52771233]]
79,1939,[[0.42975994]]
80,1925,[[0.49392623]]
81,1910,0
82,1944,[[0.55696845]]
83,1940,[[0.48945093]]
84,1945,[[0.48241036]]
85,1969,[[0.44515993]]
86,1973,[[0.407627]]
87,2003,[[0.56699963]]
88,1959,[[0.35247163]]
89,1966,[[0.37875375]]
90,1915,0
91,1942,[[0.5716323]]
92,1951,[[0.45349865]]
93,1901,0
94,1930,[[0.4401647]]
95,1967,[[0.41735275]]
96,1963,[[0.41246613]]
97,1981,[[0.44263061]]
98,1938,[[0.53571802]]
99,1974,[[0.45336773]]
100,2000,[[0.51567434]]
101,1950,[[0.53694467]]
102,1927,[[0.43285342]]
103,1937,[[0.3929939]]
104,1936,[[0.37371853]]
105,2008,[[0.57536351]]
106,1965,[[0.41688477]]
107,1909,0
108,1988,[[0.4119758]]
109,1953,[[0.38429708]]
