,year,words
0,1985,['通货膨胀']
1,1993,['通货膨胀']
2,1995,['通货膨胀']
3,1958,['通货膨胀']
4,1983,['通货膨胀']
5,1975,['通货膨胀']
6,1960,['通货膨胀']
7,2006,['通货膨胀']
8,1972,['通货膨胀']
9,1987,['通货膨胀']
10,1971,['通货膨胀']
11,1955,['通货膨胀']
12,1956,['通货膨胀']
13,2004,['通货膨胀']
14,1978,['通货膨胀']
15,1999,['通货膨胀']
16,1998,['通货膨胀']
17,1997,['通货膨胀']
18,2001,['通货膨胀']
19,1991,['通货膨胀']
20,1962,['通货膨胀']
21,1970,['通货膨胀']
22,2009,['通货膨胀']
23,1994,['通货膨胀']
24,1984,['通货膨胀']
25,1989,['通货膨胀']
26,2005,['通货膨胀']
27,1996,['通货膨胀']
28,1982,['通货膨胀']
29,1964,['通货膨胀']
30,1979,['通货膨胀']
31,1992,['通货膨胀']
32,1976,['通货膨胀']
33,1986,['通货膨胀']
34,1957,['通货膨胀']
35,1968,['通货膨胀']
36,1961,['通货膨胀']
37,2002,['通货膨胀']
38,1980,['通货膨胀']
39,1977,['通货膨胀']
40,2007,['通货膨胀']
41,1990,['通货膨胀']
42,1969,['通货膨胀']
43,1973,['通货膨胀']
44,2003,['通货膨胀']
45,1959,['通货膨胀']
46,1966,['通货膨胀']
47,1967,['通货膨胀']
48,1963,['通货膨胀']
49,1981,['通货膨胀']
50,1974,['通货膨胀']
51,2000,['通货膨胀']
52,2008,['通货膨胀']
53,1965,['通货膨胀']
54,1988,['通货膨胀']
