,year,words
0,1985,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
1,1943,"['inflation', 'fiscal', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
2,1993,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
3,1995,"['corporatism', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
4,1958,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
5,1983,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
6,1919,"['inflation', 'unemployment', 'fiscal', 'monetary', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialist', 'retrenchment']"
7,1975,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
8,1960,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
9,1922,"['inflation', 'monetary', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
10,1928,"['inflation', 'fiscal', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
11,2006,"['corporatism', 'globalize', 'modernization', 'modernize', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
12,1972,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
13,1908,"['inflation', 'unemployment', 'monetary', 'corporatism', 'firms', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
14,1916,"['inflation', 'unemployment', 'monetary', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
15,1913,"['inflation', 'monetary', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
16,1987,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
17,1971,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
18,1906,"['inflation', 'unemployment', 'fiscal', 'monetary', 'corporatism', 'firms', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
19,1924,"['inflation', 'fiscal', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
20,1955,"['fiscal', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
21,1954,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialist', 'retrenchment']"
22,1956,"['inflation', 'fiscal', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
23,1900,"['inflation', 'unemployment', 'fiscal', 'finance', 'monetary', 'corporatism', 'firms', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
24,1948,"['fiscal', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
25,2004,"['corporatism', 'globalize', 'modernize', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
26,1978,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
27,1999,"['corporatism', 'globalize', 'modernize', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
28,1998,"['corporatism', 'globalize', 'modernize', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
29,1934,"['fiscal', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
30,1997,"['corporatism', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
31,2001,"['corporatism', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
32,1991,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
33,1903,"['inflation', 'unemployment', 'fiscal', 'monetary', 'corporatism', 'firms', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
34,1962,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
35,1970,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialize', 'materialism', 'materialist', 'retrenchment']"
