,year,words
0,1985,"['globalization', 'globalize', 'industrialize']"
1,1943,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
2,1993,"['globalize', 'industrialize']"
3,1995,"['globalize', 'industrialize', 'retrenchment']"
4,1958,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
5,1983,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
6,1919,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
7,1975,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
8,1960,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
9,1922,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialist']"
10,1928,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'materialist']"
11,2006,"['corporatism', 'globalize', 'industrialize']"
12,1972,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
13,1908,"['unemployment', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize']"
14,1916,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialist', 'retrenchment']"
15,1913,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
16,1987,"['globalization', 'globalize', 'industrialize', 'retrenchment']"
17,1971,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
18,1906,"['unemployment', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialist', 'retrenchment']"
19,1924,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize']"
20,1955,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
21,1954,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
22,1956,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
23,1900,"['unemployment', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize']"
24,1948,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
25,2004,"['corporatism', 'globalize', 'industrialize', 'retrenchment']"
26,1978,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
27,1999,"['globalize', 'industrialize', 'retrenchment']"
28,1998,"['globalize', 'industrialize', 'retrenchment']"
29,1934,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize']"
30,1997,"['globalize', 'industrialize', 'retrenchment']"
31,2001,"['globalize', 'industrialize', 'retrenchment']"
32,1991,"['globalize', 'industrialize', 'retrenchment']"
33,1903,"['unemployment', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
34,1962,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
35,1970,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
36,1921,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
37,1917,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialist', 'retrenchment']"
38,1923,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize']"
39,1949,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
40,1905,"['unemployment', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize']"
41,1914,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
42,2009,"['corporatism', 'globalize', 'industrialize', 'retrenchment']"
43,1912,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialist', 'retrenchment']"
44,1994,"['globalize', 'industrialize', 'retrenchment']"
45,1935,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize']"
46,1984,"['corporatism', 'globalization', 'globalize', 'industrialize']"
47,1952,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
48,1989,"['globalize', 'industrialize', 'retrenchment']"
49,1929,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialize', 'retrenchment']"
50,2005,"['corporatism', 'globalize', 'industrialize', 'retrenchment']"
51,1996,"['globalize', 'industrialize', 'retrenchment']"
52,1911,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
53,1933,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize']"
54,1982,"['corporatism', 'globalization', 'globalize', 'industrialize']"
55,1904,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize']"
56,1964,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
57,1941,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
58,1979,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
59,1907,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
60,1992,"['globalize', 'industrialize']"
61,1926,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize']"
62,1976,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
63,1986,"['globalization', 'globalize', 'industrialize', 'retrenchment']"
64,1957,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
65,1947,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
66,1920,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialist']"
67,1968,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
68,1946,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
