,year,words
0,1985,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
1,1943,"['corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialiser', 'retranchement']"
2,1993,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
3,1995,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
4,1958,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
5,1983,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
6,1919,"['corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
7,1975,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
8,1960,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
9,1922,"['corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
10,1928,"['stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
11,2006,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
12,1972,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
13,1908,"['inflation', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'retranchement']"
14,1916,"['inflation', 'stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
15,1913,"['inflation', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'retranchement']"
16,1987,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
17,1971,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
18,1906,"['inflation', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialiste', 'retranchement']"
19,1924,"['stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialiste', 'retranchement']"
20,1955,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
21,1954,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
22,1956,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
23,1900,"['inflation', 'stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
24,1948,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
25,2004,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
26,1978,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
27,1999,"['corporatisme', 'globaliser', 'industrialiser', 'retranchement']"
28,1998,"['corporatisme', 'globaliser', 'industrialiser', 'matérialiste', 'retranchement']"
29,1934,"['corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
30,1997,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
31,2001,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
32,1991,"['corporatisme', 'globaliser', 'industrialiser', 'matérialiste', 'retranchement']"
33,1903,"['inflation', 'stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
34,1962,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
35,1970,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
36,1921,"['stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
37,1917,"['inflation', 'stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
38,1923,"['corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'retranchement']"
39,1949,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
40,1905,"['inflation', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialiste', 'retranchement']"
