,year,words
0,1985,"['globalizzazione', 'globalizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
1,1943,"['corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
2,1993,"['industrializzare', 'materialista', 'ridimensionamento']"
3,1995,"['industrializzare', 'materialista']"
4,1958,"['corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
5,1983,"['globalizzazione', 'globalizzazione', 'industrializzare', 'materialista']"
6,1919,"['inflazione', 'corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
7,1975,"['globalizzazione', 'globalizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
8,1960,"['corporativismo', 'globalizzazione', 'globalizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
9,1922,"['inflazione', 'corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
10,1928,"['corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
11,2006,"['industrializzare', 'materialista']"
12,1972,"['corporativismo', 'globalizzazione', 'globalizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
13,1908,"['inflazione', 'corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
14,1916,"['inflazione', 'corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
15,1913,"['inflazione', 'corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
16,1987,"['globalizzazione', 'globalizzazione', 'industrializzare', 'materialista']"
17,1971,"['globalizzazione', 'globalizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
18,1906,"['inflazione', 'corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
19,1924,"['corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
20,1955,"['globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
21,1954,"['corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
22,1956,"['corporativismo', 'globalizzazione', 'globalizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
23,1900,"['inflazione', 'corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
24,1948,"['corporativismo', 'globalizzazione', 'globalizzazione', 'modernizzazione', 'modernizzazione', 'industrializzare', 'materialista', 'ridimensionamento']"
