,year,words
0,1985,"['инфляция', 'фискальный', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизировать']"
1,1943,"['инфляция', 'занятость', 'фискальный', 'финансовый', 'коммерческий', 'корпоративизм', 'валюта', 'монополия', 'глобализация', 'глобализация', 'модернизировать', 'индустриализация', 'индустриализация', 'материалист']"
2,1993,"['фискальный', 'корпоративизм', 'глобализация', 'глобализация', 'модернизировать', 'индустриализация', 'индустриализация', 'материалист']"
3,1995,"['фискальный', 'корпоративизм', 'глобализация', 'глобализация', 'модернизировать', 'индустриализация', 'индустриализация', 'материалист']"
4,1958,"['инфляция', 'фискальный', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизировать']"
5,1983,"['фискальный', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизировать']"
6,1919,"['инфляция', 'занятость', 'фискальный', 'коммерческий', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизация', 'модернизировать', 'индустриализация', 'индустриализация', 'материализм', 'материалист']"
7,1975,"['фискальный', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизировать', 'материалист']"
8,1960,"['инфляция', 'фискальный', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизировать']"
9,1922,"['инфляция', 'занятость', 'фискальный', 'коммерческий', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизация', 'модернизировать', 'индустриализация', 'индустриализация', 'материалист']"
10,1928,"['инфляция', 'занятость', 'фискальный', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизация', 'модернизировать']"
11,2006,"['фискальный', 'корпоративизм', 'валюта', 'модернизировать', 'индустриализация', 'индустриализация', 'материалист']"
12,1972,"['фискальный', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизировать', 'материалист']"
13,1908,"['экономика', 'инфляция', 'занятость', 'безработица', 'фискальный', 'коммерческий', 'рынок', 'акции', 'корпоративизм', 'валюта', 'монополия', 'глобализация', 'глобализация', 'модернизация', 'модернизировать', 'индустриализация', 'индустриализация', 'материализм', 'материалист']"
14,1916,"['экономика', 'инфляция', 'занятость', 'безработица', 'фискальный', 'коммерческий', 'рынок', 'акции', 'корпоративизм', 'валюта', 'монополия', 'глобализация', 'глобализация', 'модернизация', 'модернизировать', 'индустриализация', 'индустриализация', 'материализм', 'материалист']"
15,1913,"['инфляция', 'занятость', 'безработица', 'фискальный', 'коммерческий', 'акции', 'корпоративизм', 'валюта', 'монополия', 'глобализация', 'глобализация', 'модернизация', 'модернизировать', 'индустриализация', 'индустриализация', 'материализм', 'материалист']"
16,1987,"['фискальный', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'материалист']"
17,1971,"['инфляция', 'фискальный', 'коммерческий', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизировать', 'материалист']"
18,1906,"['инфляция', 'занятость', 'фискальный', 'коммерческий', 'рынок', 'акции', 'корпоративизм', 'валюта', 'монополия', 'глобализация', 'глобализация', 'модернизация', 'модернизировать', 'индустриализация', 'индустриализация', 'материализм', 'материалист']"
19,1924,"['инфляция', 'занятость', 'фискальный', 'корпоративизм', 'глобализация', 'глобализация', 'модернизировать', 'индустриализация', 'индустриализация']"
20,1955,"['инфляция', 'фискальный', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизировать']"
21,1954,"['фискальный', 'коммерческий', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизация', 'модернизировать']"
22,1956,"['инфляция', 'занятость', 'фискальный', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизировать', 'материалист']"
23,1900,"['инфляция', 'занятость', 'безработица', 'фискальный', 'коммерческий', 'акции', 'корпоративизм', 'валюта', 'глобализация', 'глобализация', 'модернизация', 'модернизировать', 'индустриализация', 'индустриализация', 'материализм', 'материалист']"
