,year,cosine_similarity
0,1985,[[0.33001886]]
1,1993,[[0.30061045]]
2,1995,[[0.33113628]]
3,1958,[[0.41779284]]
4,1983,[[0.37578686]]
5,1975,[[0.31362318]]
6,1960,[[0.44859011]]
7,2006,[[0.35275154]]
8,1972,[[0.38452789]]
9,1987,[[0.2476348]]
10,1971,[[0.34652722]]
11,1955,[[0.27032123]]
12,1956,[[0.40521063]]
13,2004,[[0.35910495]]
14,1978,[[0.33096866]]
15,1999,[[0.3121491]]
16,1998,[[0.29911402]]
17,1997,[[0.29676974]]
18,2001,[[0.33418825]]
19,1991,[[0.31969305]]
20,1962,[[0.43399922]]
21,1970,[[0.42251176]]
22,2009,[[0.38772214]]
23,1994,[[0.30841011]]
24,1984,[[0.34714014]]
25,1989,[[0.28599779]]
26,2005,[[0.34404582]]
27,1996,[[0.33341855]]
28,1982,[[0.39912008]]
29,1964,[[0.43355575]]
30,1979,[[0.38366442]]
31,1992,[[0.29881312]]
32,1976,[[0.33334387]]
33,1986,[[0.3237289]]
34,1957,[[0.43295825]]
35,1968,[[0.43730795]]
36,1961,[[0.4079994]]
37,2002,[[0.35039857]]
38,1980,[[0.32153107]]
39,1977,[[0.36627215]]
40,2007,[[0.3222737]]
41,1990,[[0.27213328]]
42,1969,[[0.45779565]]
43,1973,[[0.33662667]]
44,2003,[[0.34015123]]
45,1959,[[0.41974199]]
46,1966,[[0.36542972]]
47,1967,[[0.39524449]]
48,1963,[[0.45798073]]
49,1981,[[0.39609911]]
50,1974,[[0.31696452]]
51,2000,[[0.33834781]]
52,2008,[[0.31272546]]
53,1965,[[0.33672954]]
54,1988,[[0.29229706]]
