,year,cosine_similarity
0,1985,[[0.65335278]]
1,1943,[[0.67936732]]
2,1993,[[0.75297292]]
3,1995,[[0.75212256]]
4,1958,[[0.73416585]]
5,1983,[[0.62848739]]
6,1919,[[0.67630014]]
7,1975,[[0.65189025]]
8,1960,[[0.71468656]]
9,1922,[[0.70737941]]
10,1928,[[0.69654384]]
11,2006,[[0.749987]]
12,1972,[[0.6922169]]
13,1908,[[0.69081238]]
14,1916,[[0.69283982]]
15,1913,[[0.65732341]]
16,1987,[[0.66822955]]
17,1971,[[0.6601234]]
18,1906,[[0.7057326]]
19,1924,[[0.6539046]]
20,1955,[[0.72467469]]
21,1954,[[0.70731336]]
22,1956,[[0.66450885]]
23,1900,[[0.67773503]]
24,1948,[[0.67546416]]
25,2004,[[0.74191915]]
26,1978,[[0.66404874]]
27,1999,[[0.7678922]]
28,1998,[[0.72121224]]
29,1934,[[0.69437567]]
30,1997,[[0.75233599]]
31,2001,[[0.72265681]]
32,1991,[[0.75335229]]
33,1903,[[0.72244651]]
34,1962,[[0.72465911]]
35,1970,[[0.65879436]]
36,1921,[[0.7090775]]
37,1917,[[0.74592039]]
38,1923,[[0.75622632]]
39,1949,[[0.74567562]]
40,1905,[[0.6983365]]
41,1914,[[0.74346798]]
42,2009,[[0.72727949]]
43,1912,[[0.70468662]]
44,1994,[[0.74027819]]
45,1935,[[0.65222382]]
46,1984,[[0.66270169]]
47,1952,[[0.68301472]]
48,1989,[[0.68236125]]
49,1929,[[0.75089506]]
50,2005,[[0.72629589]]
51,1996,[[0.72369285]]
52,1911,[[0.72403686]]
53,1933,[[0.70892451]]
54,1982,[[0.62279423]]
55,1904,[[0.70817399]]
56,1964,[[0.69987097]]
57,1941,[[0.72412055]]
58,1979,[[0.66506891]]
59,1907,[[0.64426648]]
60,1992,[[0.61006894]]
61,1926,[[0.71792451]]
62,1976,[[0.69917265]]
63,1986,[[0.66782812]]
64,1957,[[0.62120892]]
65,1947,[[0.71185191]]
66,1920,[[0.68946266]]
67,1968,[[0.6951603]]
68,1946,[[0.67403726]]
69,1961,[[0.70987978]]
70,2002,[[0.71543466]]
71,1932,[[0.71180028]]
72,1980,[[0.70204255]]
73,1977,[[0.70781666]]
74,1902,[[0.74337161]]
75,1931,[[0.70041693]]
76,2007,[[0.75178229]]
77,1918,[[0.64497965]]
78,1990,[[0.73849254]]
79,1939,[[0.65816141]]
80,1925,[[0.75865139]]
81,1910,[[0.69010453]]
82,1944,[[0.67406085]]
83,1940,[[0.63523221]]
84,1945,[[0.70784267]]
85,1969,[[0.69967514]]
86,1973,[[0.63428257]]
87,2003,[[0.75300278]]
88,1959,[[0.69452473]]
89,1966,[[0.69149036]]
90,1915,[[0.71597813]]
91,1942,[[0.63895853]]
92,1951,[[0.70782557]]
93,1901,[[0.69467244]]
94,1930,[[0.76553592]]
95,1967,[[0.73085694]]
96,1963,[[0.71186369]]
97,1981,[[0.63945237]]
98,1938,[[0.67278969]]
99,1974,[[0.66351516]]
100,2000,[[0.72814107]]
101,1950,[[0.71688538]]
102,1927,[[0.68041136]]
103,1937,[[0.72637368]]
104,1936,[[0.73128928]]
105,2008,[[0.79351208]]
106,1965,[[0.69253234]]
107,1909,[[0.72275768]]
108,1988,[[0.68184604]]
109,1953,[[0.66383623]]
