,year,cosine_similarity
0,1985,[[0.55511789]]
1,1943,[[0.52349605]]
2,1993,[[0.5968171]]
3,1995,[[0.63098853]]
4,1958,[[0.49656966]]
5,1983,[[0.57416274]]
6,1919,[[0.55698028]]
7,1975,[[0.56076535]]
8,1960,[[0.56278186]]
9,1922,[[0.56149729]]
10,1928,[[0.52050248]]
11,2006,[[0.57363212]]
12,1972,[[0.5593145]]
13,1908,[[0.61206477]]
14,1916,[[0.56784701]]
15,1913,[[0.59092076]]
16,1987,[[0.54829393]]
17,1971,[[0.52448008]]
18,1906,[[0.51525522]]
19,1924,[[0.59891522]]
20,1955,[[0.55138829]]
21,1954,[[0.54154485]]
22,1956,[[0.57202946]]
23,1900,[[0.63226811]]
24,1948,[[0.54862553]]
25,2004,[[0.59151616]]
26,1978,[[0.55039725]]
27,1999,[[0.63157087]]
28,1998,[[0.60595212]]
29,1934,[[0.57137979]]
30,1997,[[0.62335068]]
31,2001,[[0.60258471]]
32,1991,[[0.57846551]]
33,1903,[[0.6083316]]
34,1962,[[0.58834558]]
35,1970,[[0.54709947]]
36,1921,[[0.56266269]]
37,1917,[[0.59346222]]
38,1923,[[0.55634953]]
39,1949,[[0.54532766]]
40,1905,[[0.65530501]]
41,1914,[[0.56281129]]
42,2009,[[0.59683927]]
43,1912,[[0.53192301]]
44,1994,[[0.58709332]]
45,1935,[[0.56788506]]
46,1984,[[0.57555301]]
47,1952,[[0.54553201]]
48,1989,[[0.55169965]]
49,1929,[[0.50114122]]
50,2005,[[0.59633791]]
51,1996,[[0.63120173]]
52,1911,[[0.54643485]]
53,1933,[[0.57072352]]
54,1982,[[0.53580725]]
55,1904,[[0.59691129]]
56,1964,[[0.56081957]]
57,1941,[[0.55393538]]
58,1979,[[0.58368993]]
59,1907,[[0.50122864]]
60,1992,[[0.56750615]]
61,1926,[[0.54736827]]
62,1976,[[0.56143462]]
63,1986,[[0.54448649]]
64,1957,[[0.47569669]]
65,1947,[[0.50522882]]
66,1920,[[0.55114601]]
67,1968,[[0.57914779]]
68,1946,[[0.47348312]]
69,1961,[[0.55168099]]
70,2002,[[0.63343111]]
71,1932,[[0.55220045]]
72,1980,[[0.58403606]]
73,1977,[[0.56156149]]
74,1902,[[0.50916377]]
75,1931,[[0.50916764]]
76,2007,[[0.60673319]]
77,1918,[[0.53813037]]
78,1990,[[0.59770682]]
79,1939,[[0.56511718]]
80,1925,[[0.57129745]]
81,1910,[[0.58800308]]
82,1944,[[0.56416724]]
83,1940,[[0.56491489]]
84,1945,[[0.59285376]]
85,1969,[[0.54552018]]
86,1973,[[0.55905132]]
87,2003,[[0.63065536]]
88,1959,[[0.56586265]]
89,1966,[[0.56166156]]
90,1915,[[0.46537153]]
91,1942,[[0.51038022]]
92,1951,[[0.57032278]]
93,1901,[[0.52468625]]
94,1930,[[0.55752247]]
95,1967,[[0.57219187]]
96,1963,[[0.57419438]]
97,1981,[[0.56029066]]
98,1938,[[0.52705044]]
99,1974,[[0.54532216]]
100,2000,[[0.63311259]]
101,1950,[[0.56321365]]
102,1927,[[0.5512737]]
103,1937,[[0.55252562]]
104,1936,[[0.59523975]]
105,2008,[[0.61669648]]
106,1965,[[0.57659639]]
107,1909,[[0.56033189]]
108,1988,[[0.59644469]]
109,1953,[[0.50869139]]
