,year,cosine_similarity
0,1985,[[0.49749361]]
1,1943,[[0.55686786]]
2,1993,[[0.51903678]]
3,1995,[[0.5577722]]
4,1958,[[0.4825579]]
5,1983,[[0.53107236]]
6,1919,[[0.5544201]]
7,1975,[[0.49347204]]
8,1960,[[0.52891873]]
9,1922,[[0.5492464]]
10,1928,[[0.48591965]]
11,2006,[[0.69090556]]
12,1972,[[0.49794137]]
13,1908,[[0.57200857]]
14,1916,[[0.45032775]]
15,1913,[[0.58610661]]
16,1987,[[0.49380276]]
17,1971,[[0.48800032]]
18,1906,[[0.54047288]]
19,1924,[[0.50602532]]
20,1955,[[0.49822993]]
21,1954,[[0.50597305]]
22,1956,[[0.49252135]]
23,1900,[[0.5831415]]
24,1948,[[0.57710922]]
25,2004,[[0.63811263]]
26,1978,[[0.46620861]]
27,1999,[[0.65468206]]
28,1998,[[0.6391127]]
29,1934,[[0.53331286]]
30,1997,[[0.63413674]]
31,2001,[[0.65883266]]
32,1991,[[0.59632652]]
33,1903,[[0.59169862]]
34,1962,[[0.47168367]]
35,1970,[[0.47705375]]
36,1921,[[0.53098471]]
37,1917,[[0.44633849]]
38,1923,[[0.49611544]]
39,1949,[[0.47776695]]
40,1905,[[0.54048735]]
41,1914,[[0.58233118]]
42,2009,[[0.63421154]]
43,1912,[[0.54241325]]
44,1994,[[0.51832545]]
45,1935,[[0.60052979]]
46,1984,[[0.55280046]]
47,1952,[[0.54160813]]
48,1989,[[0.48565708]]
49,1929,[[0.51274409]]
50,2005,[[0.65894372]]
51,1996,[[0.54723723]]
52,1911,[[0.55862509]]
53,1933,[[0.52088981]]
54,1982,[[0.52387525]]
55,1904,[[0.56290735]]
56,1964,[[0.5097127]]
57,1941,[[0.52631554]]
58,1979,[[0.45446718]]
59,1907,[[0.56396857]]
60,1992,[[0.51704469]]
61,1926,[[0.5221733]]
62,1976,[[0.52326719]]
63,1986,[[0.48551099]]
64,1957,[[0.48813056]]
65,1947,[[0.57170793]]
66,1920,[[0.47376845]]
67,1968,[[0.53033214]]
68,1946,[[0.53351032]]
69,1961,[[0.50178657]]
70,2002,[[0.65762661]]
71,1932,[[0.54280468]]
72,1980,[[0.53513666]]
73,1977,[[0.53857802]]
74,1902,[[0.49260241]]
75,1931,[[0.52984301]]
76,2007,[[0.69763857]]
77,1918,[[0.57896385]]
78,1990,[[0.49630543]]
79,1939,[[0.4868498]]
80,1925,[[0.539035]]
81,1910,[[0.53781462]]
82,1944,[[0.53538304]]
83,1940,[[0.48096678]]
84,1945,[[0.53211369]]
85,1969,[[0.485394]]
86,1973,[[0.51547269]]
87,2003,[[0.60653919]]
88,1959,[[0.5003151]]
89,1966,[[0.49381895]]
90,1915,[[0.50990132]]
91,1942,[[0.48935025]]
92,1951,[[0.53339275]]
93,1901,[[0.53130681]]
94,1930,[[0.53494658]]
95,1967,[[0.50932598]]
96,1963,[[0.51447795]]
97,1981,[[0.54556342]]
98,1938,[[0.52028205]]
99,1974,[[0.46024257]]
100,2000,[[0.65811392]]
101,1950,[[0.51754274]]
102,1927,[[0.53689094]]
103,1937,[[0.53076775]]
104,1936,[[0.54328598]]
105,2008,[[0.68775685]]
106,1965,[[0.55154993]]
107,1909,[[0.50940489]]
108,1988,[[0.4667305]]
109,1953,[[0.51634728]]
